dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.612141,0.964829,0.000198,0.019831,0.991552,49.577582,6.280404
0.020000,0.612038,0.964829,0.000302,0.005177,-0.732724,-86.213764,6.280744
0.020000,0.611831,0.964830,0.000509,0.010357,0.259037,49.588020,6.281423
0.020000,0.611520,0.964830,0.000820,0.015546,0.259453,0.020837,6.282443
0.020000,0.612549,0.964831,0.001849,0.051454,1.795359,76.795266,0.000620
0.020000,0.615995,0.964836,0.005295,0.172311,6.042877,212.375923,0.002326
0.020000,0.620129,0.964850,0.009430,0.206719,1.720399,-216.123913,0.004379
0.020000,0.624949,0.964877,0.014250,0.241010,1.714522,-0.293853,0.006781
0.020000,0.630455,0.964921,0.019755,0.275280,1.713543,-0.048954,0.009538
0.020000,0.636644,0.964990,0.025945,0.309497,1.710810,-0.136647,0.012653
0.020000,0.643516,0.965089,0.032818,0.343623,1.706339,-0.223542,0.016130
0.020000,0.651067,0.965225,0.040370,0.377626,1.700155,-0.309222,0.019975
0.020000,0.659299,0.965407,0.048604,0.411679,1.702650,0.124766,0.024195
0.020000,0.668205,0.965643,0.057513,0.445457,1.688900,-0.687524,0.028795
0.020000,0.677787,0.965943,0.067099,0.479315,1.692876,0.198829,0.033782
0.020000,0.688038,0.966317,0.077358,0.512923,1.680388,-0.624403,0.039163
0.020000,0.698958,0.966776,0.088287,0.546451,1.676414,-0.198723,0.044947
0.020000,0.710542,0.967333,0.099884,0.579864,1.670641,-0.288629,0.051140
0.020000,0.722786,0.968001,0.112147,0.613126,1.663134,-0.375337,0.057753
0.020000,0.735686,0.968792,0.125071,0.646238,1.655582,-0.377590,0.064793
0.020000,0.749241,0.969722,0.138658,0.679325,1.654318,-0.063209,0.072271
0.020000,0.763442,0.970807,0.152900,0.712096,1.638568,-0.787505,0.080196
0.020000,0.778285,0.972062,0.167796,0.744801,1.635246,-0.166093,0.088578
0.020000,0.793765,0.973506,0.183343,0.777383,1.629135,-0.305571,0.097427
0.020000,0.809876,0.975156,0.199538,0.809745,1.618098,-0.551868,0.106753
0.020000,0.826610,0.977033,0.216378,0.841980,1.611727,-0.318515,0.116567
0.020000,0.843963,0.979155,0.233860,0.874106,1.606314,-0.270678,0.126878
0.020000,0.861924,0.981545,0.251979,0.905963,1.592825,-0.674416,0.137696
0.020000,0.880488,0.984224,0.270736,0.937819,1.592797,-0.001431,0.149031
0.020000,0.899644,0.987217,0.290124,0.969430,1.580555,-0.612079,0.160892
0.020000,0.919385,0.990546,0.310144,1.000960,1.576487,-0.203425,0.173286
0.020000,0.939700,0.994237,0.330791,1.032390,1.571512,-0.248749,0.186221
0.020000,0.960579,0.998317,0.352066,1.063710,1.565999,-0.275620,0.199703
0.020000,0.982012,1.002811,0.373964,1.094943,1.561664,-0.216779,0.213736
0.020000,1.003989,1.007749,0.396489,1.126216,1.563652,0.099398,0.228323
0.020000,1.026496,1.013159,0.419637,1.157398,1.559080,-0.228577,0.243465
0.020000,1.049521,1.019070,0.443409,1.188621,1.561163,0.104163,0.259161
0.020000,1.073053,1.025514,0.467807,1.219920,1.564970,0.190339,0.275405
0.020000,1.097079,1.032521,0.492834,1.251315,1.569737,0.238359,0.292191
0.020000,1.121584,1.040124,0.518491,1.282868,1.577633,0.394788,0.309508
0.020000,1.146555,1.048355,0.544784,1.314666,1.589929,0.614785,0.327343
0.020000,1.171979,1.057249,0.571719,1.346707,1.602052,0.606176,0.345678
0.020000,1.197840,1.066838,0.599300,1.379081,1.618683,0.831544,0.364491
0.020000,1.224124,1.077157,0.627537,1.411860,1.638934,1.012528,0.383755
0.020000,1.250816,1.088242,0.656439,1.445093,1.661672,1.136907,0.403439
0.020000,1.277901,1.100126,0.686017,1.478896,1.690159,1.424334,0.423510
0.020000,1.305364,1.112845,0.716282,1.513250,1.717660,1.375084,0.443927
0.020000,1.333189,1.126435,0.747249,1.548318,1.753418,1.787881,0.464648
0.020000,1.361361,1.140928,0.778930,1.584083,1.788232,1.740706,0.485623
0.020000,1.389864,1.156360,0.811343,1.620632,1.827464,1.961595,0.506802
0.020000,1.418683,1.172765,0.844504,1.658034,1.870124,2.133006,0.528131
0.020000,1.447800,1.190175,0.878429,1.696286,1.912581,2.122842,0.549551
0.020000,1.477202,1.208621,0.913138,1.735459,1.958653,2.303614,0.571003
0.020000,1.506872,1.228135,0.948650,1.775553,2.004708,2.302761,0.592427
0.020000,1.536793,1.248743,0.984981,1.816592,2.051920,2.360561,0.613760
0.020000,1.566950,1.270474,1.022153,1.858570,2.098902,2.349099,0.634942
0.020000,1.597329,1.293352,1.060182,1.901477,2.145367,2.323250,0.655910
