dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.610446,0.355231,0.000198,0.019831,0.991552,49.577582,6.280404
0.020000,0.610549,0.355231,0.000302,0.005177,-0.732724,-86.213764,6.280744
0.020000,0.610756,0.355231,0.000509,0.010357,0.259037,49.588020,6.281423
0.020000,0.611067,0.355230,0.000820,0.015546,0.259453,0.020837,6.282443
0.020000,0.612927,0.355231,0.002679,0.092969,3.871150,180.584804,0.000620
0.020000,0.617413,0.355237,0.007165,0.224298,6.566440,134.764538,0.002326
0.020000,0.622798,0.355255,0.012551,0.269292,2.249678,-215.838114,0.004379
0.020000,0.629083,0.355291,0.018836,0.314244,2.247601,-0.103848,0.006781
0.020000,0.636269,0.355349,0.026022,0.359300,2.252832,0.261538,0.009538
0.020000,0.644357,0.355439,0.034111,0.404435,2.256707,0.193754,0.012653
0.020000,0.653349,0.355568,0.043103,0.449619,2.259234,0.126366,0.016130
0.020000,0.663244,0.355747,0.053000,0.494828,2.260427,0.059638,0.019975
0.020000,0.674047,0.355986,0.063806,0.540306,2.273912,0.674263,0.024195
0.020000,0.685756,0.356296,0.075519,0.585646,2.266981,-0.346559,0.028795
0.020000,0.698376,0.356691,0.088145,0.631330,2.284218,0.861861,0.033782
0.020000,0.711906,0.357184,0.101684,0.676943,2.280659,-0.177960,0.039163
0.020000,0.726348,0.357792,0.116139,0.722726,2.289130,0.423524,0.044947
0.020000,0.741703,0.358530,0.131512,0.768646,2.296032,0.345098,0.051140
0.020000,0.757972,0.359417,0.147805,0.814674,2.301383,0.267570,0.057753
0.020000,0.775157,0.360471,0.165021,0.860821,2.307355,0.298608,0.064793
0.020000,0.793259,0.361714,0.183167,0.907268,2.322348,0.749667,0.072271
0.020000,0.812277,0.363166,0.202240,0.953639,2.318539,-0.190480,0.080196
0.020000,0.832211,0.364852,0.222245,1.000274,2.331752,0.660666,0.088578
0.020000,0.853063,0.366797,0.243187,1.047105,2.341577,0.491244,0.097427
0.020000,0.874829,0.369027,0.265067,1.094004,2.344926,0.167447,0.106753
0.020000,0.897509,0.371569,0.287889,1.141095,2.354546,0.480978,0.116567
0.020000,0.921101,0.374455,0.311657,1.188401,2.365280,0.536715,0.126878
0.020000,0.945599,0.377715,0.336371,1.235692,2.364578,-0.035098,0.137696
0.020000,0.971002,0.381382,0.362037,1.283322,2.381505,0.846338,0.149031
0.020000,0.997302,0.385490,0.388656,1.330937,2.380747,-0.037886,0.160892
0.020000,1.024492,0.390076,0.416231,1.378733,2.389804,0.452854,0.173286
0.020000,1.052566,0.395177,0.444764,1.426651,2.395897,0.304632,0.186221
0.020000,1.081511,0.400832,0.474257,1.474633,2.399077,0.159024,0.199703
0.020000,1.111316,0.407082,0.504710,1.522657,2.401238,0.108060,0.213736
0.020000,1.141968,0.413970,0.536126,1.570839,2.409071,0.391645,0.228323
0.020000,1.173450,0.421537,0.568505,1.618921,2.404096,-0.248788,0.243465
0.020000,1.205743,0.429827,0.601845,1.667004,2.404150,0.002738,0.259161
0.020000,1.238826,0.438886,0.636146,1.715040,2.401806,-0.117197,0.275405
0.020000,1.272675,0.448759,0.671405,1.762948,2.395395,-0.320576,0.292191
0.020000,1.307262,0.459490,0.707619,1.810695,2.387383,-0.400574,0.309508
