dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.632526,0.964829,0.000199,0.019879,0.993958,49.697883,6.280363
0.020000,0.632433,0.964829,0.000292,0.004671,-0.760420,-87.718901,6.280669
0.020000,0.632246,0.964830,0.000479,0.009346,0.233758,49.708912,6.281282
0.020000,0.631966,0.964830,0.000760,0.014030,0.234199,0.022039,6.282203
0.020000,0.632229,0.964830,0.001023,0.013171,-0.042933,-13.856564,0.000247
0.020000,0.635737,0.964834,0.004531,0.175394,8.111144,407.703840,0.001787
0.020000,0.639943,0.964845,0.008737,0.210286,1.744587,-318.327839,0.003640
0.020000,0.644846,0.964869,0.013640,0.245160,1.743707,-0.044000,0.005809
0.020000,0.650449,0.964908,0.019243,0.280155,1.749768,0.303032,0.008301
0.020000,0.656747,0.964969,0.025541,0.314921,1.738268,-0.574983,0.011117
0.020000,0.663739,0.965058,0.032534,0.349623,1.735105,-0.158155,0.014262
0.020000,0.671423,0.965181,0.040219,0.384269,1.732313,-0.139593,0.017743
0.020000,0.679800,0.965345,0.048598,0.418916,1.732362,0.002432,0.021566
0.020000,0.688863,0.965560,0.057663,0.453290,1.718698,-0.683179,0.025736
0.020000,0.698612,0.965833,0.067417,0.487658,1.718373,-0.016253,0.030260
0.020000,0.709044,0.966174,0.077854,0.521846,1.709417,-0.447806,0.035148
0.020000,0.720157,0.966594,0.088974,0.556042,1.709798,0.019036,0.040407
0.020000,0.731945,0.967104,0.100774,0.589967,1.696223,-0.678750,0.046045
0.020000,0.744406,0.967716,0.113249,0.623783,1.690836,-0.269351,0.052073
0.020000,0.757535,0.968442,0.126398,0.657452,1.683415,-0.371056,0.058500
0.020000,0.771327,0.969297,0.140217,0.690932,1.674003,-0.470577,0.065337
0.020000,0.785778,0.970295,0.154703,0.724300,1.668401,-0.280118,0.072595
0.020000,0.800884,0.971452,0.169853,0.757497,1.659891,-0.425526,0.080287
0.020000,0.816636,0.972784,0.185661,0.790423,1.646270,-0.681043,0.088423
0.020000,0.833029,0.974308,0.202125,0.823174,1.637540,-0.436472,0.097016
0.020000,0.850058,0.976043,0.219242,0.855843,1.633452,-0.204396,0.106081
0.020000,0.867712,0.978008,0.237005,0.888186,1.617184,-0.813400,0.115630
0.020000,0.885985,0.980223,0.255412,0.920325,1.606924,-0.513009,0.125677
0.020000,0.904869,0.982710,0.274459,0.952352,1.601377,-0.277375,0.136236
0.020000,0.924353,0.985491,0.294141,0.984081,1.586441,-0.746802,0.147320
0.020000,0.944427,0.988589,0.314452,1.015572,1.574553,-0.594398,0.158943
0.020000,0.965081,0.992028,0.335390,1.046920,1.567391,-0.358066,0.171119
0.020000,0.986304,0.995835,0.356952,1.078081,1.558054,-0.466881,0.183862
0.020000,1.008083,1.000035,0.379132,1.108994,1.545645,-0.620452,0.197184
0.020000,1.030404,1.004655,0.401927,1.139733,1.536954,-0.434539,0.211095
0.020000,1.053255,1.009725,0.425334,1.170352,1.530932,-0.301111,0.225608
0.020000,1.076622,1.015274,0.449351,1.200842,1.524513,-0.320942,0.240731
0.020000,1.100489,1.021332,0.473974,1.231152,1.515481,-0.451576,0.256471
0.020000,1.124839,1.027931,0.499202,1.261411,1.512960,-0.126060,0.272832
0.020000,1.149657,1.035103,0.525036,1.291697,1.514322,0.068111,0.289818
0.020000,1.174926,1.042881,0.551474,1.321931,1.511666,-0.132833,0.307428
0.020000,1.200628,1.051299,0.578520,1.352280,1.517470,0.290232,0.325658
0.020000,1.226744,1.060392,0.606174,1.382678,1.519886,0.120770,0.344500
0.020000,1.253255,1.070196,0.634440,1.413313,1.531772,0.594329,0.363940
0.020000,1.280143,1.080747,0.663323,1.444176,1.543161,0.569435,0.383963
0.020000,1.307387,1.092081,0.692832,1.475414,1.561896,0.936763,0.404545
0.020000,1.334969,1.104237,0.722973,1.507079,1.583230,1.066671,0.425659
0.020000,1.362868,1.117251,0.753758,1.539235,1.607821,1.229552,0.447272
0.020000,1.391063,1.131160,0.785197,1.571960,1.636237,1.420822,0.469344
0.020000,1.419534,1.146005,0.817306,1.605449,1.674461,1.911196,0.491831
0.020000,1.448261,1.161820,0.850099,1.639645,1.709798,1.766853,0.514680
0.020000,1.477223,1.178645,0.883593,1.674716,1.753532,2.186704,0.537837
0.020000,1.506400,1.196516,0.917808,1.710718,1.800114,2.329111,0.561241
0.020000,1.535770,1.215468,0.952762,1.747709,1.849554,2.471993,0.584826
0.020000,1.565313,1.235538,0.988477,1.785765,1.902784,2.661497,0.608523
0.020000,1.595009,1.256757,1.024975,1.824896,1.956564,2.688969,0.632260
0.020000,1.624836,1.279159,1.062278,1.865159,2.013152,2.829437,0.655965
0.020000,1.654776,1.302772,1.100409,1.906541,2.069101,2.797435,0.679563
0.020000,1.684807,1.327625,1.139390,1.949052,2.125522,2.821039,0.702980
0.020000,1.714909,1.353742,1.179243,1.992669,2.180872,2.767515,0.726145
0.020000,1.745065,1.381147,1.219991,2.037357,2.234413,2.677063,0.748985
0.020000,1.775254,1.409857,1.261652,2.083069,2.285601,2.559378,0.771436
0.020000,1.805460,1.439889,1.304247,2.129753,2.334188,2.429374,0.793431
0.020000,1.835666,1.471256,1.347794,2.177338,2.379230,2.252073,0.814914
0.020000,1.865857,1.503968,1.392309,2.225739,2.420081,2.042575,0.835829
0.020000,1.896019,1.538032,1.437807,2.274903,2.458165,1.904166,0.856127
0.020000,1.926141,1.573450,1.484301,2.324738,2.491741,1.678822,0.875765
0.020000,1.956212,1.610224,1.531805,2.375169,2.521553,1.490580,0.894702
0.020000,1.986225,1.648350,1.580327,2.426106,2.546848,1.264742,0.912906
0.020000,2.016176,1.687823,1.629877,2.477495,2.569495,1.132376,0.930346
0.020000,2.046061,1.728637,1.680463,2.529289,2.589671,1.008804,0.946998
0.020000,2.075881,1.770782,1.732090,2.581357,2.603420,0.687463,0.962841
0.020000,2.105639,1.814246,1.784765,2.633742,2.619239,0.790911,0.977856
0.020000,2.135340,1.859016,1.838491,2.686336,2.629693,0.522739,0.992030
0.020000,2.164995,1.905077,1.893273,2.739104,2.638414,0.436014,1.005349
0.020000,2.194616,1.952415,1.949114,2.792053,2.647429,0.450773,1.017803
0.020000,2.224218,2.001011,2.006017,2.845141,2.654412,0.349126,1.029383
0.020000,2.253821,2.050850,2.063984,2.898360,2.660936,0.326194,1.040080
0.020000,2.283447,2.101912,2.123018,2.951699,2.666943,0.300374,1.049885
0.020000,2.313121,2.154179,2.183122,3.005160,2.673090,0.307371,1.058792
0.020000,2.342874,2.207631,2.244297,3.058782,2.681062,0.398579,1.066789
0.020000,2.372740,2.262250,2.306548,3.112543,2.688076,0.350721,1.073867
0.020000,2.402755,2.318016,2.369878,3.166500,2.697846,0.488500,1.080014
0.020000,2.432961,2.374907,2.434291,3.220653,2.707659,0.490625,1.085216
0.020000,2.463404,2.432904,2.499793,3.275073,2.720983,0.666218,1.089457
0.020000,2.494134,2.491986,2.566388,3.329786,2.735638,0.732719,1.092716
0.020000,2.525207,2.552130,2.634085,3.384847,2.753064,0.871319,1.094971
0.020000,2.556592,2.613139,2.702693,3.430409,2.278077,-23.749354,1.096193
0.020000,2.588093,2.674480,2.771650,3.447843,0.871733,-70.317178,1.096364
0.020000,2.619515,2.735611,2.840384,3.436692,-0.557569,-71.465131,1.095493
