dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.631666,0.660030,0.000199,0.019879,0.993958,49.697883,6.280363
0.020000,0.631666,0.660030,0.000994,0.059637,1.987915,49.697883,6.280669
0.020000,0.631666,0.660030,0.002584,0.099396,1.987915,-0.000000,6.281282
0.020000,0.631666,0.660030,0.004970,0.139154,1.987915,0.000000,6.282203
0.020000,0.632304,0.660030,0.008150,0.178912,1.987915,-0.000000,0.000247
0.020000,0.636281,0.660034,0.012126,0.218671,1.987915,0.000000,0.001787
0.020000,0.641052,0.660047,0.016897,0.258429,1.987915,-0.000000,0.003640
0.020000,0.646616,0.660074,0.022463,0.298187,1.987915,0.000000,0.005809
0.020000,0.652979,0.660119,0.028825,0.337946,1.987915,0.000000,0.008301
0.020000,0.660135,0.660188,0.035981,0.377704,1.987915,0.000000,0.011117
0.020000,0.668086,0.660289,0.043933,0.417462,1.987915,0.000000,0.014262
0.020000,0.676831,0.660429,0.052680,0.457221,1.987915,0.000000,0.017743
0.020000,0.686372,0.660616,0.062222,0.496979,1.987915,-0.000000,0.021566
0.020000,0.696706,0.660861,0.072559,0.536737,1.987915,0.000000,0.025736
0.020000,0.707834,0.661172,0.083691,0.576495,1.987915,-0.000000,0.030260
0.020000,0.719755,0.661562,0.095619,0.616254,1.987915,0.000000,0.035148
0.020000,0.732469,0.662043,0.108341,0.656012,1.987915,-0.000000,0.040407
0.020000,0.745975,0.662627,0.121859,0.695770,1.987915,0.000000,0.046045
0.020000,0.760270,0.663329,0.136172,0.735529,1.987915,-0.000000,0.052073
0.020000,0.775355,0.664164,0.151280,0.775287,1.987915,0.000000,0.058500
0.020000,0.791227,0.665147,0.167184,0.815045,1.987915,-0.000000,0.065337
0.020000,0.807886,0.666298,0.183882,0.854804,1.987915,0.000000,0.072595
0.020000,0.825329,0.667634,0.201376,0.894562,1.987915,0.000000,0.080287
0.020000,0.843552,0.669175,0.219665,0.934320,1.987915,-0.000000,0.088423
0.020000,0.862553,0.670941,0.238749,0.974079,1.987915,0.000000,0.097016
0.020000,0.882331,0.672956,0.258628,1.013837,1.987915,-0.000000,0.106081
0.020000,0.902878,0.675243,0.279302,1.053595,1.987915,0.000000,0.115630
0.020000,0.924191,0.677827,0.300772,1.093353,1.987915,-0.000000,0.125677
0.020000,0.946265,0.680734,0.323036,1.133112,1.987915,0.000000,0.136236
0.020000,0.969094,0.683992,0.346096,1.172870,1.987915,-0.000000,0.147320
0.020000,0.992669,0.687631,0.369951,1.212628,1.987915,0.000000,0.158943
0.020000,1.016984,0.691680,0.394601,1.252387,1.987915,-0.000000,0.171119
0.020000,1.042030,0.696172,0.420047,1.292145,1.987915,0.000000,0.183862
0.020000,1.067796,0.701141,0.446287,1.331903,1.987915,-0.000000,0.197184
0.020000,1.094269,0.706621,0.473323,1.371662,1.987915,0.000000,0.211095
0.020000,1.121439,0.712650,0.501153,1.411420,1.987915,-0.000000,0.225608
0.020000,1.149291,0.719264,0.529779,1.451178,1.987915,0.000000,0.240731
0.020000,1.177807,0.726502,0.559201,1.490937,1.987915,-0.000000,0.256471
0.020000,1.206970,0.734405,0.589417,1.530695,1.987915,0.000000,0.272832
0.020000,1.236762,0.743014,0.620428,1.570453,1.987915,-0.000000,0.289818
0.020000,1.267161,0.752371,0.652235,1.610211,1.987915,0.000000,0.307428
0.020000,1.298143,0.762519,0.684837,1.649970,1.987915,-0.000000,0.325658
0.020000,1.329682,0.773501,0.718234,1.689728,1.987915,0.000000,0.344500
0.020000,1.361751,0.785360,0.752426,1.729486,1.987915,0.000000,0.363940
0.020000,1.394320,0.798140,0.787413,1.769245,1.987915,0.000000,0.383963
0.020000,1.427357,0.811884,0.823196,1.809003,1.987915,-0.000000,0.404545
0.020000,1.460828,0.826635,0.859773,1.848761,1.987915,0.000000,0.425659
0.020000,1.494696,0.842434,0.897146,1.888520,1.987915,0.000000,0.447272
