dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.630806,0.355232,0.000199,0.019879,0.993958,49.697883,6.280363
0.020000,0.630899,0.355231,0.000292,0.004671,-0.760420,-87.718901,6.280669
0.020000,0.631086,0.355231,0.000479,0.009346,0.233758,49.708912,6.281282
0.020000,0.631367,0.355230,0.000760,0.014030,0.234199,0.022039,6.282203
0.020000,0.632379,0.355230,0.001772,0.050635,1.830235,79.801840,0.000247
0.020000,0.636826,0.355235,0.006219,0.222336,8.585050,337.740710,0.001787
0.020000,0.642161,0.355249,0.011554,0.266767,2.221587,-318.173127,0.003640
0.020000,0.648387,0.355279,0.017780,0.311287,2.225992,0.220237,0.005809
0.020000,0.655509,0.355329,0.024902,0.356091,2.240173,0.709050,0.008301
0.020000,0.663523,0.355407,0.032917,0.400751,2.233003,-0.358517,0.011117
0.020000,0.672433,0.355520,0.041827,0.445498,2.237377,0.218700,0.014262
0.020000,0.682239,0.355677,0.051634,0.490362,2.243203,0.291341,0.017743
0.020000,0.692945,0.355887,0.062343,0.535435,2.253661,0.522897,0.021566
0.020000,0.704550,0.356162,0.073951,0.580387,2.247587,-0.303698,0.025736
0.020000,0.717056,0.356512,0.086462,0.625579,2.259566,0.598942,0.030260
0.020000,0.730465,0.356951,0.099878,0.670809,2.261505,0.096918,0.035148
0.020000,0.744782,0.357492,0.114205,0.716338,2.276470,0.748295,0.040407
0.020000,0.760004,0.358150,0.129442,0.761828,2.274497,-0.098694,0.046045
0.020000,0.776135,0.358942,0.145592,0.807509,2.284070,0.478659,0.052073
0.020000,0.793176,0.359885,0.162659,0.853350,2.292032,0.398115,0.058500
0.020000,0.811128,0.360998,0.180645,0.899318,2.298396,0.318204,0.065337
0.020000,0.829993,0.362301,0.199556,0.945532,2.310687,0.614526,0.072595
0.020000,0.849774,0.363816,0.219395,0.991934,2.320139,0.472637,0.080287
0.020000,0.870469,0.365565,0.240163,1.038410,2.323755,0.180784,0.088423
0.020000,0.892077,0.367575,0.261865,1.085101,2.334565,0.540475,0.097016
0.020000,0.914604,0.369870,0.284508,1.132146,2.352264,0.884966,0.106081
0.020000,0.938044,0.372479,0.308092,1.179236,2.354490,0.111320,0.115630
0.020000,0.962396,0.375431,0.332623,1.226538,2.365097,0.530350,0.125677
0.020000,0.987662,0.378758,0.358107,1.274185,2.382334,0.861818,0.136236
0.020000,1.013835,0.382494,0.384545,1.321928,2.387148,0.240696,0.147320
0.020000,1.040911,0.386673,0.411942,1.369845,2.395851,0.435198,0.158943
0.020000,1.068887,0.391332,0.440303,1.418055,2.410516,0.733228,0.171119
0.020000,1.097756,0.396510,0.469633,1.466485,2.421526,0.550505,0.183862
0.020000,1.127509,0.402247,0.499934,1.515029,2.427196,0.283493,0.197184
0.020000,1.158134,0.408587,0.531209,1.563755,2.436309,0.455662,0.211095
0.020000,1.189622,0.415574,0.563463,1.612695,2.446999,0.534489,0.225608
0.020000,1.221959,0.423253,0.596699,1.661785,2.454499,0.374990,0.240731
0.020000,1.255125,0.431672,0.630916,1.710886,2.455047,0.027432,0.256471
0.020000,1.289101,0.440879,0.666118,1.760098,2.460598,0.277541,0.272832
0.020000,1.323868,0.450925,0.702307,1.809436,2.466860,0.313091,0.289818
0.020000,1.359396,0.461862,0.739480,1.858675,2.461964,-0.244817,0.307428
0.020000,1.395659,0.473739,0.777639,1.907926,2.462574,0.030499,0.325658
0.020000,1.432621,0.486610,0.816778,1.956950,2.451205,-0.568429,0.344500
0.020000,1.470248,0.500524,0.856895,2.005854,2.445194,-0.300553,0.363940
0.020000,1.508497,0.515533,0.897984,2.054448,2.429694,-0.775013,0.383963
0.020000,1.547326,0.531687,0.940039,2.102751,2.415142,-0.727582,0.404545
0.020000,1.586686,0.549034,0.983052,2.150636,2.394225,-1.045842,0.425659
0.020000,1.626525,0.567617,1.027011,2.197984,2.367448,-1.338850,0.447272
0.020000,1.666785,0.587479,1.071905,2.244692,2.335398,-1.602539,0.469344
0.020000,1.707412,0.608661,1.117722,2.290825,2.306622,-1.438787,0.491831
0.020000,1.748341,0.631194,1.164444,2.336090,2.263260,-2.168099,0.514680
0.020000,1.789509,0.655109,1.212054,2.380529,2.221964,-2.064779,0.537837
0.020000,1.830851,0.680431,1.260535,2.424042,2.175643,-2.316085,0.561241
0.020000,1.872302,0.707179,1.309866,2.466551,2.125428,-2.510740,0.584826
0.020000,1.913794,0.735365,1.360027,2.508031,2.073997,-2.571530,0.608523
0.020000,1.955264,0.764996,1.410995,2.548398,2.018367,-2.781496,0.632260
0.020000,1.996646,0.796075,1.462748,2.587667,1.963456,-2.745555,0.655965
0.020000,2.037881,0.828596,1.515264,2.625793,1.906285,-2.858565,0.679563
0.020000,2.078910,0.862550,1.568520,2.662798,1.850275,-2.800485,0.702980
0.020000,2.119679,0.897920,1.622494,2.698700,1.795106,-2.758480,0.726145
0.020000,2.160139,0.934688,1.677164,2.733530,1.741471,-2.681724,0.748985
0.020000,2.200246,0.972828,1.732511,2.767333,1.690156,-2.565752,0.771436
0.020000,2.239961,1.012313,1.788515,2.800175,1.642109,-2.402353,0.793431
0.020000,2.279252,1.053113,1.845157,2.832117,1.597095,-2.250707,0.814914
0.020000,2.318090,1.095193,1.902421,2.863218,1.555036,-2.102923,0.835829
0.020000,2.356456,1.138520,1.960293,2.893582,1.518223,-1.840688,0.856127
0.020000,2.394334,1.183056,2.018758,2.923274,1.484585,-1.681891,0.875765
0.020000,2.431714,1.228766,2.077806,2.952374,1.455019,-1.478304,0.894702
