dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.025806,0.944376,0.000199,0.019886,0.994320,49.715998,6.260018
0.020000,1.025702,0.944378,0.000303,0.005198,-0.734441,-86.438027,6.260359
0.020000,1.025494,0.944383,0.000511,0.010401,0.260156,49.729851,6.261042
0.020000,1.025182,0.944390,0.000823,0.015615,0.260710,0.027683,6.262066
0.020000,1.026205,0.944369,0.001846,0.051155,1.776991,75.814035,6.263435
0.020000,1.029659,0.944304,0.005301,0.172727,6.078629,215.081913,6.265150
0.020000,1.033802,0.944234,0.009445,0.207200,1.723653,-217.748788,6.267215
0.020000,1.038633,0.944162,0.014275,0.241533,1.716607,-0.352322,6.269634
0.020000,1.044149,0.944095,0.019792,0.275836,1.715192,-0.070754,6.272412
0.020000,1.050350,0.944038,0.025994,0.310070,1.711660,-0.176596,6.275555
0.020000,1.057234,0.943998,0.032877,0.344190,1.706013,-0.282344,6.279068
0.020000,1.064797,0.943981,0.040440,0.378155,1.698262,-0.387567,6.282958
0.020000,1.073040,0.943997,0.048684,0.412167,1.700619,0.117874,0.004048
0.020000,1.081957,0.944054,0.057601,0.445843,1.683786,-0.841640,0.008716
0.020000,1.091548,0.944162,0.067193,0.479600,1.687833,0.202320,0.013787
0.020000,1.101808,0.944331,0.077454,0.513044,1.672213,-0.781007,0.019269
0.020000,1.112732,0.944574,0.088381,0.546373,1.666451,-0.288090,0.025174
0.020000,1.124319,0.944902,0.099972,0.579541,1.658376,-0.403753,0.031513
0.020000,1.136561,0.945330,0.112222,0.612501,1.648027,-0.517442,0.038296
0.020000,1.149456,0.945871,0.125128,0.645286,1.639240,-0.439319,0.045538
0.020000,1.162998,0.946540,0.138686,0.677936,1.632478,-0.338103,0.053252
0.020000,1.177179,0.947354,0.152891,0.710255,1.615981,-0.824861,0.061451
0.020000,1.191995,0.948330,0.167739,0.742371,1.605801,-0.508993,0.070151
0.020000,1.207438,0.949487,0.183225,0.774311,1.597012,-0.439469,0.079366
0.020000,1.223501,0.950843,0.199345,0.806019,1.585380,-0.581618,0.089113
0.020000,1.240176,0.952419,0.216095,0.837463,1.572212,-0.658368,0.099408
0.020000,1.257452,0.954237,0.233467,0.868594,1.556560,-0.782612,0.110267
0.020000,1.275322,0.956318,0.251457,0.899505,1.545512,-0.552386,0.121707
0.020000,1.293773,0.958687,0.270059,0.930141,1.531821,-0.684556,0.133744
0.020000,1.312797,0.961369,0.289272,0.960607,1.523275,-0.427330,0.146397
0.020000,1.332380,0.964390,0.309086,0.990736,1.506487,-0.839360,0.159680
0.020000,1.352510,0.967775,0.329499,1.020636,1.495000,-0.574379,0.173609
0.020000,1.373176,0.971554,0.350507,1.050410,1.488702,-0.314908,0.188200
