dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.018746,0.639658,0.000199,0.019886,0.994320,49.715998,6.260018
0.020000,1.018746,0.639658,0.000994,0.059659,1.988640,49.715998,6.260359
0.020000,1.018746,0.639658,0.002585,0.099432,1.988640,0.000000,6.261042
0.020000,1.018746,0.639658,0.004972,0.139205,1.988640,0.000000,6.262066
0.020000,1.020186,0.639629,0.008153,0.178978,1.988640,-0.000000,6.263435
0.020000,1.024162,0.639554,0.012131,0.218750,1.988640,0.000000,6.265150
0.020000,1.028935,0.639473,0.016903,0.258523,1.988640,0.000000,6.267215
0.020000,1.034502,0.639390,0.022472,0.298296,1.988640,-0.000000,6.269634
0.020000,1.040865,0.639313,0.028835,0.338069,1.988640,0.000000,6.272412
0.020000,1.048024,0.639247,0.035994,0.377842,1.988640,0.000000,6.275555
0.020000,1.055979,0.639200,0.043949,0.417614,1.988640,0.000000,6.279068
0.020000,1.064727,0.639181,0.052699,0.457387,1.988640,0.000000,6.282958
0.020000,1.074274,0.639199,0.062244,0.497160,1.988640,-0.000000,0.004048
0.020000,1.084613,0.639265,0.072585,0.536933,1.988640,0.000000,0.008716
0.020000,1.095750,0.639391,0.083722,0.576706,1.988640,0.000000,0.013787
0.020000,1.107681,0.639588,0.095654,0.616478,1.988640,0.000000,0.019269
0.020000,1.120405,0.639871,0.108381,0.656251,1.988640,-0.000000,0.025174
0.020000,1.133922,0.640254,0.121904,0.696024,1.988640,0.000000,0.031513
0.020000,1.148231,0.640753,0.136222,0.735797,1.988640,0.000000,0.038296
0.020000,1.163331,0.641387,0.151335,0.775570,1.988640,-0.000000,0.045538
0.020000,1.179221,0.642172,0.167245,0.815342,1.988640,0.000000,0.053252
0.020000,1.195898,0.643129,0.183949,0.855115,1.988640,0.000000,0.061451
0.020000,1.213359,0.644280,0.201449,0.894888,1.988640,-0.000000,0.070151
0.020000,1.231603,0.645646,0.219745,0.934661,1.988640,-0.000000,0.079366
0.020000,1.250627,0.647252,0.238836,0.974434,1.988640,0.000000,0.089113
0.020000,1.270426,0.649124,0.258722,1.014206,1.988640,0.000000,0.099408
0.020000,1.290994,0.651288,0.279404,1.053979,1.988640,-0.000000,0.110267
0.020000,1.312326,0.653773,0.300881,1.093752,1.988640,0.000000,0.121707
0.020000,1.334417,0.656609,0.323154,1.133525,1.988640,-0.000000,0.133744
0.020000,1.357260,0.659830,0.346222,1.173298,1.988640,0.000000,0.146397
0.020000,1.380844,0.663467,0.370086,1.213070,1.988640,0.000000,0.159680
0.020000,1.405161,0.667557,0.394745,1.252843,1.988640,0.000000,0.173609
0.020000,1.430201,0.672136,0.420200,1.292616,1.988640,-0.000000,0.188200
0.020000,1.455948,0.677243,0.446450,1.332389,1.988640,0.000000,0.203464
0.020000,1.482392,0.682919,0.473495,1.372162,1.988640,0.000000,0.219414
0.020000,1.509514,0.689204,0.501336,1.411934,1.988640,0.000000,0.236059
0.020000,1.537297,0.696142,0.529973,1.451707,1.988640,0.000000,0.253406
0.020000,1.565720,0.703777,0.559404,1.491480,1.988640,0.000000,0.271457
0.020000,1.594763,0.712154,0.589632,1.531253,1.988640,-0.000000,0.290214
0.020000,1.624400,0.721319,0.620655,1.571026,1.988640,0.000000,0.309669
0.020000,1.654605,0.731320,0.652473,1.610798,1.988640,0.000000,0.329816
0.020000,1.685349,0.742203,0.685086,1.650571,1.988640,0.000000,0.350636
0.020000,1.716600,0.754014,0.718496,1.690344,1.988640,0.000000,0.372108
0.020000,1.748324,0.766801,0.752700,1.730117,1.988640,-0.000000,0.394206
0.020000,1.780484,0.780609,0.787700,1.769890,1.988640,0.000000,0.416892
0.020000,1.813042,0.795482,0.823496,1.809662,1.988640,0.000000,0.440124
0.020000,1.845958,0.811463,0.860087,1.849435,1.988640,-0.000000,0.463852
0.020000,1.879188,0.828592,0.897473,1.889208,1.988640,0.000000,0.488019
0.020000,1.912690,0.846907,0.935655,1.928981,1.988640,0.000000,0.512560
0.020000,1.946417,0.866443,0.974632,1.968754,1.988640,0.000000,0.537402
0.020000,1.980324,0.887230,1.014405,2.008526,1.988640,0.000000,0.562471
