dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.011685,0.334939,0.000199,0.019886,0.994320,49.715998,6.260018
0.020000,1.011789,0.334937,0.000303,0.005198,-0.734441,-86.438027,6.260359
0.020000,1.011997,0.334932,0.000511,0.010401,0.260156,49.729851,6.261042
0.020000,1.012309,0.334926,0.000823,0.015615,0.260710,0.027683,6.262066
0.020000,1.014166,0.334888,0.002681,0.092869,3.862729,180.100921,6.263435
0.020000,1.018665,0.334803,0.007180,0.224989,6.605982,137.162662,6.265150
0.020000,1.024067,0.334711,0.012583,0.270150,2.258030,-217.397596,6.267215
0.020000,1.030372,0.334618,0.018889,0.315268,2.255896,-0.106668,6.269634
0.020000,1.037582,0.334531,0.026099,0.360514,2.262312,0.320800,6.272412
0.020000,1.045699,0.334456,0.034216,0.405858,2.267196,0.244160,6.275555
0.020000,1.054724,0.334403,0.043241,0.451269,2.270550,0.167715,6.279068
0.020000,1.064658,0.334381,0.053176,0.496717,2.272385,0.091774,6.282958
0.020000,1.075508,0.334402,0.064026,0.542492,2.288785,0.819953,0.004048
0.020000,1.087270,0.334477,0.075788,0.588117,2.281223,-0.378076,0.008716
0.020000,1.099952,0.334620,0.088471,0.634166,2.302475,1.062596,0.013787
0.020000,1.113554,0.334844,0.102074,0.680148,2.299079,-0.169806,0.019269
0.020000,1.128077,0.335167,0.116601,0.726348,2.310009,0.546500,0.025174
0.020000,1.143525,0.335605,0.132056,0.772732,2.319200,0.459561,0.031513
0.020000,1.159901,0.336177,0.148441,0.819265,2.326663,0.373138,0.038296
0.020000,1.177206,0.336902,0.165761,0.866015,2.337495,0.541629,0.045538
0.020000,1.195445,0.337804,0.184023,0.913062,2.352336,0.742016,0.053252
0.020000,1.214617,0.338905,0.203226,0.960167,2.355275,0.146960,0.061451
0.020000,1.234723,0.340229,0.223377,1.007524,2.367832,0.627839,0.070151
0.020000,1.255768,0.341805,0.244480,1.055191,2.383363,0.776579,0.079366
0.020000,1.277752,0.343662,0.266543,1.103111,2.395999,0.631786,0.089113
0.020000,1.300675,0.345828,0.289568,1.151258,2.407317,0.565881,0.099408
0.020000,1.324535,0.348339,0.313559,1.199573,2.415768,0.422559,0.110267
0.020000,1.349331,0.351227,0.338523,1.248191,2.430895,0.756380,0.121707
0.020000,1.375061,0.354531,0.364464,1.297039,2.442431,0.576766,0.133744
0.020000,1.401722,0.358290,0.391389,1.346257,2.460872,0.922046,0.146397
0.020000,1.429308,0.362545,0.419301,1.395598,2.467073,0.310068,0.159680
0.020000,1.457811,0.367339,0.448205,1.445187,2.479450,0.618837,0.173609
0.020000,1.487226,0.372718,0.478107,1.495136,2.497439,0.899470,0.188200
0.020000,1.517537,0.378731,0.509009,1.545060,2.496201,-0.061882,0.203464
0.020000,1.548734,0.385427,0.540916,1.595382,2.516091,0.994463,0.219414
0.020000,1.580798,0.392857,0.573830,1.645700,2.515921,-0.008503,0.236059
0.020000,1.613711,0.401076,0.607753,1.696155,2.522739,0.340942,0.253406
0.020000,1.647448,0.410138,0.642686,1.746641,2.524309,0.078485,0.271457
0.020000,1.681984,0.420100,0.678630,1.797207,2.528306,0.199840,0.290214
0.020000,1.717286,0.431017,0.715582,1.847577,2.518470,-0.491813,0.309669
0.020000,1.753321,0.442948,0.753540,1.897928,2.517538,-0.046609,0.329816
0.020000,1.790046,0.455948,0.792499,1.947944,2.500812,-0.836286,0.350636
0.020000,1.827419,0.470073,0.832452,1.997632,2.484412,-0.819985,0.372108
0.020000,1.865390,0.485379,0.873392,2.046989,2.467832,-0.829019,0.394206
0.020000,1.903903,0.501914,0.915305,2.095653,2.433224,-1.730400,0.416892
0.020000,1.942903,0.519730,0.958181,2.143808,2.407766,-1.272877,0.440124
0.020000,1.982325,0.538869,1.002003,2.191112,2.365196,-2.128491,0.463852
0.020000,2.022102,0.559373,1.046754,2.237549,2.321824,-2.168600,0.488019
0.020000,2.062167,0.581276,1.092415,2.283044,2.274775,-2.352462,0.512560
0.020000,2.102446,0.604607,1.138963,2.327404,2.217967,-2.840388,0.537402
0.020000,2.142867,0.629387,1.186376,2.370628,2.161224,-2.837160,0.562471
0.020000,2.183357,0.655632,1.234627,2.412583,2.097727,-3.174854,0.587684
0.020000,2.223842,0.683351,1.283692,2.453242,2.032970,-3.237880,0.612954
0.020000,2.264252,0.712543,1.333543,2.492560,1.965872,-3.354898,0.638196
0.020000,2.304517,0.743204,1.384154,2.530527,1.898362,-3.375488,0.663318
0.020000,2.344574,0.775321,1.435497,2.567136,1.830479,-3.394161,0.688233
0.020000,2.384363,0.808876,1.487545,2.602420,1.764200,-3.313925,0.712853
0.020000,2.423829,0.843843,1.540273,2.636423,1.700150,-3.202519,0.737095
0.020000,2.462924,0.880195,1.593658,2.669208,1.639214,-3.046798,0.760878
0.020000,2.501607,0.917898,1.647675,2.700851,1.582161,-2.852646,0.784127
0.020000,2.539842,0.956915,1.702303,2.731444,1.529665,-2.624793,0.806773
0.020000,2.577602,0.997208,1.757525,2.761055,1.480552,-2.455646,0.828753
0.020000,2.614867,1.038737,1.813321,2.789844,1.439422,-2.056508,0.850012
0.020000,2.651622,1.081459,1.869678,2.817835,1.399566,-1.992809,0.870498
0.020000,2.687860,1.125332,1.926582,2.845189,1.367691,-1.593731,0.890168
0.020000,2.723580,1.170314,1.984021,2.871974,1.339254,-1.421849,0.908986
0.020000,2.758787,1.216363,2.041987,2.898276,1.315108,-1.207305,0.926920
0.020000,2.793491,1.263437,2.100470,2.924178,1.295087,-1.001040,0.943943
0.020000,2.827707,1.311495,2.159466,2.949752,1.278703,-0.819200,0.960034
0.020000,2.861456,1.360499,2.218966,2.975028,1.263824,-0.743971,0.975174
0.020000,2.894761,1.410409,2.278968,3.000098,1.253496,-0.516380,0.989349
0.020000,2.927651,1.461187,2.339467,3.024969,1.243559,-0.496861,1.002546
0.020000,2.960156,1.512798,2.400461,3.049684,1.235728,-0.391543,1.014755
0.020000,2.992311,1.565204,2.461945,3.074218,1.226718,-0.450529,1.025964
0.020000,3.024154,1.618369,2.523918,3.098628,1.220496,-0.311059,1.036164
0.020000,3.055726,1.672260,2.586376,3.122879,1.212546,-0.397514,1.045346
0.020000,3.087069,1.726840,2.649315,3.146959,1.203980,-0.428306,1.053498
0.020000,3.118230,1.782073,2.712732,3.170844,1.194259,-0.486024,1.060606
0.020000,3.149256,1.837923,2.776621,3.194485,1.182067,-0.609631,1.066657
0.020000,3.180198,1.894354,2.840979,3.217866,1.169053,-0.650708,1.071632
0.020000,3.211111,1.951326,2.905797,3.240913,1.152350,-0.835115,1.075509
0.020000,3.242049,2.008800,2.971068,3.263572,1.132949,-0.970057,1.078263
0.020000,3.272976,2.066556,3.036584,3.275772,0.609962,-26.149359,1.079861
0.020000,3.303695,2.124061,3.101780,3.259788,-0.799196,-70.457925,1.080278
0.020000,3.334012,2.180791,3.166103,3.216144,-2.182185,-69.149447,1.079527
0.020000,3.363884,2.236510,3.229324,3.161068,-2.753805,-28.580990,1.077641
0.020000,3.393355,2.291161,3.291414,3.104519,-2.827445,-3.681971,1.074654
0.020000,3.422481,2.344721,3.352382,3.048406,-2.805655,1.089464,1.070595
0.020000,3.451316,2.397171,3.412236,2.992671,-2.786726,0.946454,1.065488
0.020000,3.479906,2.448490,3.470981,2.937263,-2.770423,0.815170,1.059356
0.020000,3.508293,2.498658,3.528624,2.882133,-2.756496,0.696358,1.052216
0.020000,3.536514,2.547657,3.585169,2.827241,-2.744606,0.594493,1.044084
0.020000,3.564602,2.595468,3.640620,2.772553,-2.734391,0.510736,1.034973
0.020000,3.592587,2.642072,3.694980,2.718044,-2.725461,0.446499,1.024896
0.020000,3.620493,2.687454,3.748255,2.663726,-2.715876,0.479264,1.013864
0.020000,3.648341,2.731594,3.800446,2.609560,-2.708305,0.378558,1.001889
0.020000,3.676148,2.774480,3.851558,2.555596,-2.698220,0.504243,0.988982
0.020000,3.703929,2.816095,3.901594,2.501801,-2.689762,0.422886,0.975155
0.020000,3.731694,2.856427,3.950559,2.448227,-2.678686,0.553781,0.960423
0.020000,3.759450,2.895463,3.998457,2.394905,-2.666076,0.630500,0.944802
0.020000,3.787200,2.933195,4.045294,2.341876,-2.651481,0.729777,0.928311
0.020000,3.814946,2.969613,4.091078,2.289187,-2.634437,0.852221,0.910973
0.020000,3.842686,3.004713,4.135816,2.236904,-2.614123,1.015671,0.892814
0.020000,3.870415,3.038492,4.179518,2.185115,-2.589464,1.232944,0.873867
0.020000,3.898125,3.070949,4.222195,2.133850,-2.563255,1.310459,0.854166
0.020000,3.925809,3.102087,4.263860,2.083237,-2.530631,1.631181,0.833753
0.020000,3.953454,3.131912,4.304527,2.033339,-2.494906,1.786255,0.812677
0.020000,3.981048,3.160433,4.344212,1.984240,-2.454958,1.997418,0.790988
0.020000,4.008576,3.187663,4.382932,1.936032,-2.410409,2.227437,0.768746
