dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.987337,3.492639,0.000199,0.019891,0.994547,49.727353,3.128247
0.020000,4.987224,3.492641,0.000312,0.005630,-0.713059,-85.380324,3.127878
0.020000,4.986999,3.492644,0.000537,0.011269,0.281967,49.751326,3.127139
0.020000,4.986270,3.492655,0.001266,0.036435,1.258275,48.815412,3.126028
0.020000,4.982635,3.492714,0.004901,0.181796,7.268066,300.489544,3.124542
0.020000,4.978089,3.492796,0.009449,0.227352,2.277784,-249.514105,3.122677
0.020000,4.972630,3.492906,0.014908,0.272982,2.281507,0.186141,3.120426
0.020000,4.966258,3.493049,0.021282,0.318699,2.285878,0.218544,3.117784
0.020000,4.958967,3.493234,0.028576,0.364669,2.298464,0.629303,3.114741
0.020000,4.950758,3.493468,0.036787,0.410597,2.296424,-0.102000,3.111290
0.020000,4.941626,3.493763,0.045925,0.456865,2.313388,0.848206,3.107418
0.020000,4.931568,3.494128,0.055989,0.503189,2.316219,0.141572,3.103114
0.020000,4.920583,3.494577,0.066983,0.549733,2.327200,0.549049,3.098366
0.020000,4.908665,3.495124,0.078914,0.596524,2.339538,0.616875,3.093157
0.020000,4.895809,3.495783,0.091786,0.643629,2.355241,0.785171,3.087471
0.020000,4.882014,3.496573,0.105604,0.690911,2.364113,0.443594,3.081291
0.020000,4.867273,3.497513,0.120375,0.738526,2.380731,0.830876,3.074597
0.020000,4.851582,3.498622,0.136105,0.786497,2.398551,0.891028,3.067366
0.020000,4.834938,3.499925,0.152800,0.834778,2.414070,0.775958,3.059576
0.020000,4.817333,3.501446,0.170471,0.883512,2.436718,1.132378,3.051200
0.020000,4.798765,3.503213,0.189122,0.932586,2.453695,0.848865,3.042211
0.020000,4.779228,3.505256,0.208766,0.982200,2.480687,1.349570,3.032580
0.020000,4.758716,3.507608,0.229412,1.032300,2.505018,1.216546,3.022273
0.020000,4.737228,3.510304,0.251069,1.082834,2.526662,1.082208,3.011258
0.020000,4.714758,3.513383,0.273750,1.134018,2.559211,1.627442,2.999496
0.020000,4.691303,3.516888,0.297464,1.185727,2.585452,1.312061,2.986951
0.020000,4.666863,3.520865,0.322226,1.238076,2.617474,1.601085,2.973581
0.020000,4.641437,3.525364,0.348047,1.291076,2.649970,1.624799,2.959342
0.020000,4.615024,3.530438,0.374943,1.344778,2.685099,1.756483,2.944191
0.020000,4.587629,3.536146,0.402926,1.399182,2.720201,1.755115,2.928080
0.020000,4.559256,3.542552,0.432013,1.454333,2.757562,1.868021,2.910962
0.020000,4.529917,3.549721,0.462215,1.510122,2.789452,1.594523,2.892792
0.020000,4.499623,3.557728,0.493549,1.566702,2.828979,1.976339,2.873520
0.020000,4.468395,3.566649,0.526027,1.623896,2.859729,1.537504,2.853103
0.020000,4.436253,3.576565,0.559664,1.681855,2.897957,1.911406,2.831498
0.020000,4.403230,3.587563,0.594470,1.740257,2.920068,1.105547,2.808668
0.020000,4.369367,3.599730,0.630453,1.799166,2.945475,1.270333,2.784582
0.020000,4.334709,3.613158,0.667621,1.858406,2.961998,0.826129,2.759219
0.020000,4.299316,3.627941,0.705977,1.917795,2.969463,0.373262,2.732568
0.020000,4.263258,3.644172,0.745520,1.977136,2.967007,-0.122762,2.704635
0.020000,4.226618,3.661940,0.786241,2.036066,2.946526,-1.024081,2.675443
0.020000,4.189489,3.681332,0.828129,2.094409,2.917149,-1.468864,2.645034
0.020000,4.151979,3.702428,0.871164,2.151734,2.866252,-2.544821,2.613475
0.020000,4.114210,3.725295,0.915316,2.207616,2.794081,-3.608576,2.580856
0.020000,4.076311,3.749990,0.960551,2.261741,2.706276,-4.390209,2.547297
0.020000,4.038423,3.776554,1.006824,2.313638,2.594830,-5.572327,2.512942
0.020000,4.000691,3.805010,1.054083,2.362956,2.465925,-6.445239,2.477961
0.020000,3.963264,3.835360,1.102269,2.409322,2.318287,-7.381926,2.442547
0.020000,3.926288,3.867589,1.151319,2.452484,2.158074,-8.010622,2.406911
0.020000,3.889904,3.901658,1.201164,2.492228,1.987204,-8.543521,2.371278
0.020000,3.854242,3.937512,1.251733,2.528478,1.812494,-8.735502,2.335877
0.020000,3.819419,3.975078,1.302958,2.561229,1.637550,-8.747167,2.300937
0.020000,3.785531,4.014272,1.354770,2.590604,1.468772,-8.438916,2.266680
0.020000,3.752660,4.054997,1.407106,2.616812,1.310381,-7.919549,2.233314
0.020000,3.720862,4.097152,1.459909,2.640131,1.165992,-7.219465,2.201029
0.020000,3.690175,4.140632,1.513127,2.660904,1.038623,-6.368426,2.169992
0.020000,3.660617,4.185333,1.566716,2.679477,0.928670,-5.497683,2.140346
0.020000,3.632186,4.231154,1.620641,2.696242,0.838255,-4.520724,2.112212
0.020000,3.604864,4.277999,1.674872,2.711540,0.764899,-3.667785,2.085685
0.020000,3.578618,4.325779,1.729386,2.725702,0.708073,-2.841326,2.060840
0.020000,3.553403,4.374411,1.784166,2.739013,0.665544,-2.126453,2.037732
0.020000,3.529163,4.423819,1.839200,2.751692,0.633947,-1.579832,2.016403
0.020000,3.505833,4.473934,1.894479,2.763951,0.612980,-1.048365,1.996881
0.020000,3.483343,4.524693,1.949997,2.775905,0.597690,-0.764496,1.979186
0.020000,3.461617,4.576038,2.005750,2.787636,0.586543,-0.557343,1.963331
0.020000,3.440572,4.627915,2.061734,2.799183,0.577330,-0.460643,1.949330
0.020000,3.420125,4.680275,2.117944,2.810534,0.567570,-0.488033,1.937194
0.020000,3.400186,4.733068,2.174377,2.821627,0.554665,-0.645216,1.926941
0.020000,3.380666,4.786246,2.231025,2.832389,0.538097,-0.828413,1.918593
0.020000,3.361469,4.839761,2.287878,2.842683,0.514687,-1.170501,1.912180
0.020000,3.342498,4.893561,2.344925,2.852347,0.483223,-1.573190,1.907743
0.020000,3.323654,4.947593,2.402149,2.861185,0.441871,-2.067596,1.905337
0.020000,3.304832,5.001798,2.459528,2.868964,0.388934,-2.646886,1.905031
0.020000,3.285926,5.056109,2.517036,2.875415,0.322563,-3.318543,1.906911
0.020000,3.266824,5.110454,2.574641,2.880230,0.240746,-4.090825,1.911086
0.020000,3.247411,5.164750,2.632302,2.883069,0.141983,-4.938161,1.917685
0.020000,3.227568,5.218899,2.689973,2.883537,0.023367,-5.930795,1.926864
0.020000,3.207171,5.272793,2.747598,2.881221,-0.115789,-6.957809,1.938804
0.020000,3.186095,5.326305,2.805111,2.875661,-0.277988,-8.109963,1.953719
0.020000,3.164209,5.379291,2.862439,2.866396,-0.463248,-9.262994,1.971851
0.020000,3.141383,5.431586,2.919498,2.852951,-0.672241,-10.449648,1.993474
0.020000,3.117488,5.483003,2.976196,2.834927,-0.901219,-11.448883,2.018890
0.020000,3.092395,5.533335,3.032437,2.812017,-1.145477,-12.212896,2.048417
0.020000,3.065984,5.582356,3.088120,2.784153,-1.393232,-12.387750,2.082381
0.020000,3.038140,5.629825,3.143152,2.751616,-1.626818,-11.679329,2.121087
0.020000,3.008759,5.675495,3.197457,2.715232,-1.819237,-9.620938,2.164789
0.020000,2.977746,5.719127,3.250988,2.676576,-1.932799,-5.678070,2.213634
0.020000,2.945008,5.760506,3.303751,2.638149,-1.921326,0.573648,2.267607
0.020000,2.910549,5.799346,3.355674,2.596147,-2.100089,-8.938188,2.326290
0.020000,2.874561,5.835270,3.406524,2.542491,-2.682842,-29.137643,2.388614
0.020000,2.837973,5.867474,3.455265,2.437076,-5.270728,-129.394305,2.446549
0.020000,2.781870,5.915052,3.528826,3.678045,62.048431,3365.957941,2.430184
0.020000,2.727566,5.962559,3.600978,3.607607,-3.521889,-3278.515974,2.415830
0.020000,2.674927,6.009868,3.671752,3.538701,-3.445272,3.830872,2.403388
0.020000,2.623829,6.056867,3.741178,3.471273,-3.371437,3.691716,2.392761
0.020000,2.574156,6.103460,3.809283,3.405242,-3.301524,3.495647,2.383856
0.020000,2.525798,6.149559,3.876093,3.340519,-3.236170,3.267732,2.376588
0.020000,2.478654,6.195089,3.941633,3.277010,-3.175439,3.036532,2.370878
0.020000,2.432630,6.239980,4.005926,3.214615,-3.119743,2.784795,2.366651
0.020000,2.387639,6.284173,4.068990,3.153242,-3.068639,2.555191,2.363841
0.020000,2.343604,6.327613,4.130847,3.092800,-3.022102,2.326885,2.362387
0.020000,2.300451,6.370251,4.191511,3.033206,-2.979741,2.118050,2.362232
0.020000,2.258115,6.412041,4.250998,2.974382,-2.941161,1.928958,2.363328
