dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.991404,3.797412,0.000199,0.019891,0.994547,49.727353,3.128247
0.020000,4.991404,3.797412,0.000995,0.059673,1.989094,49.727353,3.127878
0.020000,4.991404,3.797412,0.002586,0.099455,1.989094,0.000000,3.127139
0.020000,4.991014,3.797418,0.004973,0.139237,1.989094,0.000000,3.126028
0.020000,4.987832,3.797470,0.008155,0.179018,1.989094,-0.000000,3.124542
0.020000,4.983854,3.797542,0.012133,0.218800,1.989094,0.000000,3.122677
0.020000,4.979081,3.797637,0.016907,0.258582,1.989094,0.000000,3.120426
0.020000,4.973514,3.797762,0.022477,0.298364,1.989094,0.000000,3.117784
0.020000,4.967150,3.797924,0.028842,0.338146,1.989094,0.000000,3.114741
0.020000,4.959993,3.798128,0.036003,0.377928,1.989094,0.000000,3.111290
0.020000,4.952040,3.798385,0.043959,0.417710,1.989094,0.000000,3.107418
0.020000,4.943294,3.798703,0.052711,0.457492,1.989094,-0.000000,3.103114
0.020000,4.933754,3.799092,0.062259,0.497274,1.989094,0.000000,3.098366
0.020000,4.923422,3.799566,0.072602,0.537055,1.989094,-0.000000,3.093157
0.020000,4.912297,3.800137,0.083741,0.576837,1.989094,-0.000000,3.087471
0.020000,4.900382,3.800819,0.095675,0.616619,1.989094,0.000000,3.081291
0.020000,4.887678,3.801629,0.108406,0.656401,1.989094,-0.000000,3.074597
0.020000,4.874186,3.802583,0.121931,0.696183,1.989094,0.000000,3.067366
0.020000,4.859908,3.803701,0.136253,0.735965,1.989094,0.000000,3.059576
0.020000,4.844847,3.805002,0.151370,0.775747,1.989094,-0.000000,3.051200
0.020000,4.829007,3.806509,0.167283,0.815529,1.989094,0.000000,3.042211
0.020000,4.812389,3.808247,0.183991,0.855310,1.989094,0.000000,3.032580
0.020000,4.794998,3.810241,0.201495,0.895092,1.989094,0.000000,3.022273
0.020000,4.776842,3.812519,0.219795,0.934874,1.989094,-0.000000,3.011258
0.020000,4.757923,3.815111,0.238890,0.974656,1.989094,0.000000,2.999496
0.020000,4.738251,3.818051,0.258781,1.014438,1.989094,0.000000,2.986951
0.020000,4.717833,3.821373,0.279468,1.054220,1.989094,-0.000000,2.973581
0.020000,4.696680,3.825116,0.300950,1.094002,1.989094,0.000000,2.959342
0.020000,4.674802,3.829318,0.323228,1.133784,1.989094,-0.000000,2.944191
0.020000,4.652214,3.834025,0.346301,1.173566,1.989094,0.000000,2.928080
0.020000,4.628931,3.839281,0.370170,1.213347,1.989094,0.000000,2.910962
0.020000,4.604972,3.845136,0.394835,1.253129,1.989094,0.000000,2.892792
0.020000,4.580357,3.851642,0.420296,1.292911,1.989094,0.000000,2.873520
0.020000,4.555112,3.858853,0.446552,1.332693,1.989094,-0.000000,2.853103
0.020000,4.529262,3.866828,0.473603,1.372475,1.989094,0.000000,2.831498
0.020000,4.502842,3.875626,0.501451,1.412257,1.989094,0.000000,2.808668
0.020000,4.475887,3.885311,0.530094,1.452039,1.989094,0.000000,2.784582
0.020000,4.448437,3.895946,0.559532,1.491821,1.989094,0.000000,2.759219
0.020000,4.420540,3.907598,0.589766,1.531602,1.989094,-0.000000,2.732568
0.020000,4.392245,3.920334,0.620796,1.571384,1.989094,0.000000,2.704635
0.020000,4.363610,3.934219,0.652622,1.611166,1.989094,-0.000000,2.675443
0.020000,4.334696,3.949321,0.685243,1.650948,1.989094,0.000000,2.645034
0.020000,4.305571,3.965701,0.718660,1.690730,1.989094,-0.000000,2.613475
0.020000,4.276306,3.983419,0.752872,1.730512,1.989094,-0.000000,2.580856
0.020000,4.246976,4.002530,0.787880,1.770294,1.989094,0.000000,2.547297
0.020000,4.217662,4.023083,0.823684,1.810076,1.989094,-0.000000,2.512942
0.020000,4.188442,4.045119,0.860283,1.849858,1.989094,0.000000,2.477961
0.020000,4.159399,4.068672,0.897678,1.889639,1.989094,0.000000,2.442547
0.020000,4.130611,4.093764,0.935869,1.929421,1.989094,-0.000000,2.406911
0.020000,4.102155,4.120410,0.974855,1.969203,1.989094,0.000000,2.371278
0.020000,4.074103,4.148615,1.014637,2.008985,1.989094,0.000000,2.335877
0.020000,4.046519,4.178372,1.055214,2.048767,1.989094,-0.000000,2.300937
0.020000,4.019462,4.209668,1.096588,2.088549,1.989094,0.000000,2.266680
0.020000,3.992978,4.242481,1.138756,2.128331,1.989094,0.000000,2.233314
0.020000,3.967107,4.276780,1.181721,2.168113,1.989094,0.000000,2.201029
0.020000,3.941876,4.312532,1.225481,2.207894,1.989094,0.000000,2.169992
0.020000,3.917303,4.349697,1.270037,2.247676,1.989094,-0.000000,2.140346
0.020000,3.893394,4.388232,1.315388,2.287458,1.989094,0.000000,2.112212
0.020000,3.870146,4.428094,1.361535,2.327240,1.989094,0.000000,2.085685
