dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.995472,4.102185,0.000199,0.019891,0.994547,49.727353,3.128247
0.020000,4.995585,4.102183,0.000312,0.005630,-0.713059,-85.380324,3.127878
0.020000,4.995810,4.102180,0.000537,0.011269,0.281967,49.751326,3.127139
0.020000,4.995758,4.102181,0.000588,0.002573,-0.434823,-35.839491,3.126028
0.020000,4.993029,4.102226,0.003319,0.136511,6.696914,356.586818,3.124542
0.020000,4.989619,4.102287,0.006729,0.170498,1.699330,-249.879158,3.122677
0.020000,4.985532,4.102369,0.010816,0.204391,1.694666,-0.233200,3.120426
0.020000,4.980770,4.102476,0.015580,0.238169,1.688912,-0.287703,3.117784
0.020000,4.975333,4.102614,0.021018,0.271922,1.687659,-0.062682,3.114741
0.020000,4.969228,4.102788,0.027126,0.305399,1.673811,-0.692376,3.111290
0.020000,4.962454,4.103007,0.033903,0.338846,1.672368,-0.072152,3.107418
0.020000,4.955019,4.103277,0.041343,0.372018,1.658597,-0.688551,3.103114
0.020000,4.946926,4.103608,0.049443,0.404998,1.648987,-0.480521,3.098366
0.020000,4.938180,4.104009,0.058199,0.437765,1.638383,-0.530191,3.093157
0.020000,4.928786,4.104491,0.067605,0.470328,1.628149,-0.511710,3.087471
0.020000,4.918751,4.105065,0.077656,0.502543,1.610741,-0.870386,3.081291
0.020000,4.908083,4.105745,0.088346,0.534477,1.596718,-0.701150,3.074597
0.020000,4.896789,4.106544,0.099668,0.566100,1.581155,-0.778172,3.067366
0.020000,4.884879,4.107476,0.111614,0.597329,1.561437,-0.985885,3.059576
0.020000,4.872362,4.108558,0.124178,0.628214,1.544219,-0.860880,3.051200
0.020000,4.859248,4.109805,0.137351,0.658619,1.520256,-1.198166,3.042211
0.020000,4.845551,4.111238,0.151123,0.688630,1.500587,-0.983448,3.032580
0.020000,4.831281,4.112874,0.165487,0.718153,1.476130,-1.222866,3.022273
0.020000,4.816455,4.114733,0.180428,0.747092,1.446927,-1.460144,3.011258
0.020000,4.801088,4.116839,0.195939,0.775539,1.422350,-1.228822,2.999496
0.020000,4.785198,4.119214,0.212006,0.803349,1.390542,-1.590442,2.986951
0.020000,4.768802,4.121882,0.228617,0.830548,1.359926,-1.530797,2.973581
0.020000,4.751923,4.124868,0.245759,0.857089,1.327046,-1.643961,2.959342
0.020000,4.734580,4.128199,0.263418,0.882962,1.293646,-1.670014,2.944191
0.020000,4.716800,4.131904,0.281581,0.908130,1.258394,-1.762588,2.928080
0.020000,4.698606,4.136011,0.300233,0.932598,1.223397,-1.749876,2.910962
0.020000,4.680026,4.140551,0.319358,0.956289,1.184546,-1.942528,2.892792
0.020000,4.661090,4.145555,0.338945,0.979314,1.151281,-1.663255,2.873520
0.020000,4.641828,4.151057,0.358977,1.001606,1.114574,-1.835377,2.853103
0.020000,4.622271,4.157090,0.379443,1.023331,1.086247,-1.416322,2.831498
0.020000,4.602453,4.163690,0.400332,1.044408,1.053885,-1.618093,2.808668
0.020000,4.582407,4.170892,0.421632,1.065045,1.031854,-1.101576,2.784582
0.020000,4.562165,4.178734,0.443340,1.085357,1.015561,-0.814626,2.759219
0.020000,4.541763,4.187255,0.465450,1.105520,1.008150,-0.370588,2.732568
0.020000,4.521231,4.196496,0.487965,1.125771,1.012562,0.220633,2.704635
0.020000,4.500602,4.206499,0.510892,1.146326,1.027780,0.760872,2.675443
0.020000,4.479904,4.217309,0.534243,1.167576,1.062484,1.735197,2.645034
0.020000,4.459162,4.228974,0.558040,1.189830,1.112698,2.510724,2.613475
0.020000,4.438401,4.241543,0.582309,1.213453,1.181140,3.422097,2.580856
0.020000,4.417642,4.255070,0.607087,1.238901,1.272387,4.562342,2.547297
0.020000,4.396901,4.269612,0.632418,1.266544,1.382150,5.488142,2.512942
0.020000,4.376194,4.285229,0.658354,1.296790,1.512314,6.508228,2.477961
0.020000,4.355534,4.301983,0.684953,1.329967,1.658871,7.327855,2.442547
0.020000,4.334934,4.319939,0.712281,1.366370,1.820123,8.062596,2.406911
0.020000,4.314406,4.339163,0.740404,1.406180,1.990503,8.518994,2.371278
0.020000,4.293963,4.359718,0.769394,1.449501,2.166068,8.778241,2.335877
0.020000,4.273620,4.381666,0.799320,1.496313,2.340581,8.725632,2.300937
0.020000,4.253392,4.405065,0.830250,1.546504,2.509571,8.449509,2.266680
0.020000,4.233296,4.429964,0.862248,1.599868,2.668190,7.930938,2.233314
0.020000,4.213352,4.456409,0.895370,1.656120,2.812618,7.221420,2.201029
0.020000,4.193577,4.484433,0.929669,1.714930,2.940465,6.392331,2.169992
0.020000,4.173988,4.514061,0.965187,1.775922,3.049607,5.457105,2.140346
0.020000,4.154601,4.545311,1.001962,1.838741,3.140939,4.566609,2.112212
0.020000,4.135428,4.578189,1.040023,1.903021,3.214006,3.653382,2.085685
0.020000,4.116476,4.612696,1.079391,1.968440,3.270954,2.847352,2.060840
0.020000,4.097746,4.648824,1.120086,2.034715,3.313755,2.140096,2.037732
0.020000,4.079235,4.686560,1.162118,2.101597,3.344112,1.517852,2.016403
0.020000,4.060929,4.725887,1.205496,2.168924,3.366334,1.111079,1.996881
0.020000,4.042811,4.766784,1.250227,2.236549,3.381257,0.746144,1.979186
0.020000,4.024852,4.809229,1.296315,2.304392,3.392136,0.543945,1.963331
0.020000,4.007017,4.853198,1.343763,2.372422,3.401514,0.468901,1.949330
0.020000,3.989262,4.898667,1.392576,2.440650,3.411412,0.494929,1.937194
0.020000,3.971533,4.945613,1.442759,2.509118,3.423417,0.600223,1.926941
0.020000,3.953766,4.994014,1.494317,2.577932,3.440695,0.863900,1.918593
0.020000,3.935890,5.043849,1.547261,2.647210,3.463890,1.159774,1.912180
0.020000,3.917819,5.095099,1.601604,2.717115,3.495250,1.567962,1.907743
0.020000,3.899459,5.147746,1.657361,2.787844,3.536439,2.059459,1.905337
0.020000,3.880698,5.201774,1.714553,2.859630,3.589291,2.642631,1.905031
0.020000,3.861415,5.257169,1.773208,2.932742,3.655601,3.315483,1.906911
0.020000,3.841468,5.313915,1.833358,3.007484,3.737123,4.076081,1.911086
0.020000,3.820700,5.371998,1.895042,3.084210,3.836268,4.957286,1.917685
0.020000,3.798930,5.431400,1.958308,3.163289,3.953982,5.885668,1.926864
0.020000,3.775956,5.492101,2.023211,3.245156,4.093355,6.968645,1.938804
0.020000,3.751545,5.554072,2.089816,3.330254,4.254871,8.075798,1.953719
0.020000,3.725437,5.617272,2.158197,3.419061,4.440345,9.273707,1.971851
0.020000,3.697335,5.681646,2.228438,3.512024,4.648143,10.389888,1.993474
0.020000,3.666905,5.747111,2.300629,3.609568,4.877230,11.454382,2.018890
0.020000,3.633776,5.813548,2.374868,3.711973,5.120268,12.151913,2.048417
