dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.509035,7.850772,0.000199,0.019893,0.994635,49.731773,0.001299
0.020000,0.509148,7.850772,0.000312,0.005661,-0.711598,-85.311674,0.000927
0.020000,0.509374,7.850772,0.000539,0.011323,0.283088,49.734309,0.000184
0.020000,0.511707,7.850771,0.002871,0.116632,5.265481,249.119652,6.282255
0.020000,0.515343,7.850765,0.006507,0.181813,3.259019,-100.323091,6.280767
0.020000,0.519889,7.850750,0.011053,0.227292,2.273970,-49.252451,6.278905
0.020000,0.525345,7.850720,0.016510,0.272815,2.276134,0.108175,6.276668
0.020000,0.531712,7.850671,0.022876,0.318338,2.276154,0.000990,6.274054
0.020000,0.538989,7.850593,0.030154,0.363892,2.277702,0.077416,6.271061
0.020000,0.547178,7.850480,0.038344,0.409477,2.279270,0.078407,6.267688
0.020000,0.556279,7.850322,0.047446,0.455108,2.281541,0.113541,6.263931
0.020000,0.566292,7.850108,0.057461,0.500765,2.282850,0.065477,6.259789
0.020000,0.577217,7.849828,0.068390,0.546452,2.284344,0.074655,6.255259
0.020000,0.589056,7.849468,0.080234,0.592207,2.287735,0.169571,6.250339
0.020000,0.601807,7.849015,0.092994,0.637967,2.288024,0.014461,6.245025
0.020000,0.615471,7.848455,0.106669,0.683782,2.290731,0.135334,6.239317
0.020000,0.630048,7.847770,0.121262,0.729626,2.292226,0.074772,6.233210
0.020000,0.645536,7.846945,0.136772,0.775523,2.294865,0.131942,6.226703
0.020000,0.661935,7.845961,0.153201,0.821437,2.295701,0.041788,6.219793
0.020000,0.679244,7.844799,0.170549,0.867385,2.297392,0.084556,6.212479
0.020000,0.697461,7.843438,0.188816,0.913355,2.298487,0.054748,6.204759
0.020000,0.716582,7.841857,0.208003,0.959341,2.299299,0.040621,6.196632
0.020000,0.736606,7.840033,0.228110,1.005350,2.300463,0.058156,6.188098
0.020000,0.757529,7.837943,0.249137,1.051347,2.299859,-0.030175,6.179155
0.020000,0.779346,7.835562,0.271083,1.097325,2.298893,-0.048305,6.169806
0.020000,0.802052,7.832865,0.293949,1.143287,2.298074,-0.040923,6.160052
0.020000,0.825641,7.829824,0.317733,1.189205,2.295919,-0.107777,6.149895
0.020000,0.850106,7.826412,0.342434,1.235069,2.293194,-0.136249,6.139339
0.020000,0.875438,7.822601,0.368052,1.280855,2.289320,-0.193711,6.128390
0.020000,0.901628,7.818362,0.394582,1.326548,2.284619,-0.235034,6.117052
0.020000,0.928665,7.813665,0.422025,1.372118,2.278491,-0.306410,6.105336
0.020000,0.956538,7.808481,0.450376,1.417548,2.271540,-0.347551,6.093248
0.020000,0.985233,7.802779,0.479632,1.462814,2.263294,-0.412317,6.080802
0.020000,1.014736,7.796528,0.509789,1.507869,2.252715,-0.528907,6.068009
0.020000,1.045030,7.789698,0.540844,1.552714,2.242284,-0.521570,6.054884
0.020000,1.076097,7.782259,0.572790,1.597291,2.228831,-0.672671,6.041445
0.020000,1.107920,7.774180,0.605621,1.641588,2.214832,-0.699935,6.027710
0.020000,1.140476,7.765433,0.639332,1.685555,2.198348,-0.824172,6.013700
0.020000,1.173745,7.755988,0.673916,1.729170,2.180793,-0.877780,5.999439
0.020000,1.207702,7.745817,0.709364,1.772402,2.161579,-0.960708,5.984951
0.020000,1.242325,7.734895,0.745668,1.815214,2.140609,-1.048466,5.970265
0.020000,1.277586,7.723195,0.782820,1.857582,2.118385,-1.111190,5.955410
