dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.509430,7.545972,0.000199,0.019893,0.994635,49.731773,0.001299
0.020000,0.509430,7.545972,0.000995,0.059678,1.989271,49.731773,0.000927
0.020000,0.509430,7.545972,0.002586,0.099464,1.989271,0.000000,0.000184
0.020000,0.511423,7.545971,0.004973,0.139249,1.989271,0.000000,6.282255
0.020000,0.514606,7.545966,0.008156,0.179034,1.989271,0.000000,6.280767
0.020000,0.518584,7.545953,0.012135,0.218820,1.989271,-0.000000,6.278905
0.020000,0.523359,7.545927,0.016909,0.258605,1.989271,0.000000,6.276668
0.020000,0.528929,7.545883,0.022479,0.298391,1.989271,-0.000000,6.274054
0.020000,0.535294,7.545816,0.028844,0.338176,1.989271,0.000000,6.271061
0.020000,0.542454,7.545717,0.036006,0.377961,1.989271,0.000000,6.267688
0.020000,0.550410,7.545579,0.043963,0.417747,1.989271,0.000000,6.263931
0.020000,0.559161,7.545392,0.052716,0.457532,1.989271,-0.000000,6.259789
0.020000,0.568706,7.545147,0.062264,0.497318,1.989271,0.000000,6.255259
0.020000,0.579046,7.544833,0.072608,0.537103,1.989271,-0.000000,6.250339
0.020000,0.590179,7.544437,0.083748,0.576889,1.989271,-0.000000,6.245025
0.020000,0.602104,7.543948,0.095684,0.616674,1.989271,0.000000,6.239317
0.020000,0.614822,7.543351,0.108415,0.656459,1.989271,0.000000,6.233210
0.020000,0.628330,7.542631,0.121942,0.696245,1.989271,-0.000000,6.226703
0.020000,0.642627,7.541773,0.136265,0.736030,1.989271,0.000000,6.219793
0.020000,0.657711,7.540760,0.151384,0.775816,1.989271,0.000000,6.212479
0.020000,0.673581,7.539575,0.167298,0.815601,1.989271,-0.000000,6.204759
0.020000,0.690234,7.538198,0.184008,0.855386,1.989271,0.000000,6.196632
0.020000,0.707667,7.536610,0.201513,0.895172,1.989271,0.000000,6.188098
0.020000,0.725878,7.534791,0.219814,0.934957,1.989271,-0.000000,6.179155
0.020000,0.744862,7.532719,0.238911,0.974743,1.989271,0.000000,6.169806
