dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.509826,7.241173,0.000199,0.019893,0.994635,49.731773,0.001299
0.020000,0.509713,7.241172,0.000312,0.005661,-0.711598,-85.311674,0.000927
0.020000,0.509487,7.241172,0.000539,0.011323,0.283088,49.734309,0.000184
0.020000,0.511140,7.241171,0.002192,0.082649,3.566340,164.162615,6.282255
0.020000,0.513869,7.241167,0.004921,0.136468,2.690915,-43.771287,6.280767
0.020000,0.517280,7.241155,0.008332,0.170549,1.704052,-49.343140,6.278905
0.020000,0.521372,7.241133,0.012424,0.204626,1.703863,-0.009448,6.276668
0.020000,0.526145,7.241096,0.017198,0.238661,1.701745,-0.105910,6.274054
0.020000,0.531598,7.241038,0.022651,0.272670,1.700476,-0.063438,6.271061
0.020000,0.537731,7.240953,0.028784,0.306649,1.698953,-0.076161,6.267688
0.020000,0.544542,7.240835,0.035596,0.340604,1.697719,-0.061670,6.263931
0.020000,0.552031,7.240675,0.043086,0.374515,1.695569,-0.107530,6.259789
0.020000,0.560195,7.240466,0.051254,0.408383,1.693403,-0.108267,6.255259
0.020000,0.569036,7.240197,0.060099,0.442234,1.692554,-0.042484,6.250339
0.020000,0.578551,7.239859,0.069619,0.476021,1.689342,-0.160597,6.245025
0.020000,0.588738,7.239441,0.079815,0.509780,1.687955,-0.069341,6.239317
0.020000,0.599595,7.238931,0.090685,0.543495,1.685756,-0.109950,6.233210
0.020000,0.611123,7.238317,0.102228,0.577187,1.684580,-0.058782,6.226703
0.020000,0.623318,7.237585,0.114445,0.610833,1.682323,-0.112884,6.219793
0.020000,0.636178,7.236722,0.127334,0.644455,1.681060,-0.063128,6.212479
0.020000,0.649701,7.235712,0.140895,0.678051,1.679819,-0.062060,6.204759
0.020000,0.663885,7.234539,0.155128,0.711630,1.678949,-0.043517,6.196632
0.020000,0.678728,7.233187,0.170032,0.745211,1.679043,0.004742,6.188098
0.020000,0.694227,7.231639,0.185608,0.778784,1.678668,-0.018768,6.179155
0.020000,0.710378,7.229876,0.201855,0.812364,1.679008,0.016983,6.169806
0.020000,0.727179,7.227880,0.218775,0.845976,1.680590,0.079122,6.160052
0.020000,0.744628,7.225631,0.236367,0.879626,1.682474,0.094194,6.149895
0.020000,0.762719,7.223108,0.254634,0.913333,1.685391,0.145868,6.139339
0.020000,0.781451,7.220290,0.273576,0.947115,1.689081,0.184470,6.128390
0.020000,0.800818,7.217155,0.293196,0.980994,1.693950,0.243464,6.117052
0.020000,0.820819,7.213681,0.313496,1.014989,1.699723,0.288643,6.105336
0.020000,0.841447,7.209844,0.334478,1.049129,1.707011,0.364394,6.093248
0.020000,0.862701,7.205620,0.356147,1.083441,1.715621,0.430528,6.080802
0.020000,0.884574,7.200986,0.378506,1.117940,1.724932,0.465521,6.068009
0.020000,0.907063,7.195916,0.401559,1.152678,1.736909,0.598865,6.054884
0.020000,0.930163,7.190384,0.425313,1.187664,1.749314,0.620265,6.041445
0.020000,0.953870,7.184366,0.449772,1.222946,1.764072,0.737862,6.027710
0.020000,0.978179,7.177834,0.474942,1.258542,1.779797,0.786247,6.013700
0.020000,1.003084,7.170764,0.500832,1.294493,1.797565,0.888443,5.999439
0.020000,1.028582,7.163127,0.527449,1.330832,1.816932,0.968308,5.984951
0.020000,1.054666,7.154898,0.554801,1.367587,1.837772,1.042013,5.970265
0.020000,1.081333,7.146050,0.582897,1.404794,1.860372,1.130018,5.955410
0.020000,1.108576,7.136557,0.611746,1.442476,1.884067,1.184749,5.940417
0.020000,1.136390,7.126393,0.641359,1.480666,1.909486,1.270947,5.925319
0.020000,1.164771,7.115533,0.671747,1.519383,1.935896,1.320506,5.910151
0.020000,1.193713,7.103951,0.702920,1.558656,1.963624,1.386378,5.894949
0.020000,1.223210,7.091623,0.734890,1.598498,1.992111,1.424335,5.879751
0.020000,1.253258,7.078525,0.767669,1.638929,2.021555,1.472241,5.864596
0.020000,1.283852,7.064636,0.801268,1.679958,2.051425,1.493506,5.849522
0.020000,1.314987,7.049933,0.835700,1.721593,2.081756,1.516503,5.834569
0.020000,1.346658,7.034397,0.870977,1.763839,2.112315,1.527956,5.819778
0.020000,1.378862,7.018008,0.907110,1.806697,2.142883,1.528409,5.805189
0.020000,1.411594,7.000750,0.944114,1.850163,2.173306,1.521142,5.790841
0.020000,1.444851,6.982606,0.981998,1.894231,2.203415,1.505452,5.776774
0.020000,1.478631,6.963563,1.020776,1.938893,2.233072,1.482879,5.763027
0.020000,1.512931,6.943608,1.060459,1.984136,2.262163,1.454535,5.749638
0.020000,1.547751,6.922731,1.101058,2.029948,2.290580,1.420861,5.736644
0.020000,1.583091,6.900923,1.142584,2.076312,2.318209,1.381441,5.724083
0.020000,1.618951,6.878180,1.185048,2.123214,2.345131,1.346105,5.711988
