dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.651194,7.830398,0.000198,0.019792,0.989579,49.478949,0.002772
0.020000,0.651300,7.830399,0.000304,0.005310,-0.724093,-85.683584,0.002424
0.020000,0.651512,7.830399,0.000517,0.010624,0.265702,49.489733,0.001727
0.020000,0.651831,7.830400,0.000836,0.015946,0.266132,0.021522,0.000680
0.020000,0.653882,7.830399,0.002886,0.102535,4.329434,203.165081,6.282468
0.020000,0.658373,7.830392,0.007377,0.224555,6.100991,88.577835,6.280719
0.020000,0.663766,7.830373,0.012770,0.269636,2.254048,-192.347156,6.278613
0.020000,0.670059,7.830336,0.019063,0.314650,2.250721,-0.166352,6.276148
0.020000,0.677254,7.830276,0.026258,0.359764,2.255694,0.248677,6.273320
0.020000,0.685352,7.830183,0.034357,0.404950,2.259298,0.180205,6.270124
0.020000,0.694355,7.830049,0.043361,0.450181,2.261542,0.112199,6.266556
0.020000,0.704264,7.829865,0.053272,0.495529,2.267382,0.291998,6.262610
0.020000,0.715081,7.829619,0.064092,0.541030,2.275059,0.383849,6.258280
0.020000,0.726807,7.829299,0.075822,0.586498,2.273430,-0.081438,6.253560
0.020000,0.739443,7.828892,0.088464,0.632100,2.280059,0.331428,6.248442
0.020000,0.752992,7.828384,0.102023,0.677952,2.292628,0.628434,6.242919
0.020000,0.767454,7.827758,0.116499,0.723789,2.291859,-0.038447,6.236983
0.020000,0.782831,7.826998,0.131894,0.769767,2.298885,0.351330,6.230626
0.020000,0.799125,7.826086,0.148214,0.816006,2.311967,0.654072,6.223838
0.020000,0.816336,7.825001,0.165459,0.862219,2.310633,-0.066703,6.216610
0.020000,0.834464,7.823722,0.183632,0.908652,2.321633,0.550010,6.208934
0.020000,0.853509,7.822228,0.202735,0.955171,2.325948,0.215748,6.200798
0.020000,0.873473,7.820493,0.222775,1.002006,2.341765,0.790837,6.192193
0.020000,0.894355,7.818492,0.243752,1.048856,2.342516,0.037556,6.183108
0.020000,0.916152,7.816198,0.265670,1.095868,2.350588,0.403594,6.173535
0.020000,0.938865,7.813582,0.288533,1.143142,2.363722,0.656709,6.163460
0.020000,0.962488,7.810613,0.312342,1.190468,2.366299,0.128845,6.152876
0.020000,0.987019,7.807260,0.337101,1.237951,2.374127,0.391400,6.141772
0.020000,1.012452,7.803488,0.362812,1.285550,2.379980,0.292674,6.130140
0.020000,1.038783,7.799263,0.389480,1.333396,2.392286,0.615292,6.117969
0.020000,1.066002,7.794547,0.417105,1.381251,2.392736,0.022513,6.105254
0.020000,1.094103,7.789301,0.445691,1.429290,2.401947,0.460532,6.091987
0.020000,1.123072,7.783486,0.475238,1.477342,2.402601,0.032731,6.078163
0.020000,1.152896,7.777060,0.505746,1.525417,2.403744,0.057111,6.063779
0.020000,1.183561,7.769981,0.537218,1.573587,2.408519,0.238778,6.048833
0.020000,1.215050,7.762205,0.569653,1.621742,2.407722,-0.039875,6.033325
0.020000,1.247342,7.753688,0.603049,1.669806,2.403215,-0.225333,6.017259
0.020000,1.280414,7.744384,0.637405,1.717797,2.399554,-0.183073,6.000642
0.020000,1.314242,7.734248,0.672718,1.765694,2.394843,-0.235538,5.983481
0.020000,1.348795,7.723235,0.708984,1.813288,2.379720,-0.756153,5.965791
0.020000,1.384044,7.711300,0.746199,1.860727,2.371960,-0.388015,5.947587
0.020000,1.419952,7.698398,0.784355,1.907811,2.354174,-0.889262,5.928891
0.020000,1.456483,7.684486,0.823445,1.954497,2.334291,-0.994182,5.909728
0.020000,1.493595,7.669522,0.863460,2.000777,2.314023,-1.013403,5.890126
0.020000,1.531245,7.653467,0.904390,2.046499,2.286094,-1.396434,5.870121
0.020000,1.569387,7.636285,0.946223,2.091645,2.257309,-1.439236,5.849751
0.020000,1.607971,7.617942,0.988946,2.136127,2.224079,-1.661523,5.829059
0.020000,1.646947,7.598406,1.032544,2.179905,2.188896,-1.759112,5.808092
0.020000,1.686263,7.577652,1.077002,2.222900,2.149770,-1.956309,5.786901
0.020000,1.725866,7.555656,1.122303,2.265051,2.107558,-2.110631,5.765541
0.020000,1.765701,7.532401,1.168430,2.306337,2.064289,-2.163424,5.744070
0.020000,1.805716,7.507873,1.215364,2.346698,2.018046,-2.312141,5.722547
0.020000,1.845857,7.482063,1.263086,2.386135,1.971850,-2.309798,5.701034
0.020000,1.886072,7.454967,1.311578,2.424603,1.923416,-2.421712,5.679594
0.020000,1.926313,7.426585,1.360821,2.462116,1.875632,-2.389212,5.658290
0.020000,1.966530,7.396922,1.410794,2.498677,1.828069,-2.378125,5.637184
0.020000,2.006681,7.365987,1.461480,2.534305,1.781361,-2.335437,5.616338
0.020000,2.046725,7.333792,1.512861,2.569024,1.735952,-2.270445,5.595811
0.020000,2.086624,7.300355,1.564918,2.602879,1.692766,-2.159285,5.575660
0.020000,2.126347,7.265695,1.617637,2.635906,1.651364,-2.070109,5.555939
0.020000,2.165864,7.229834,1.671000,2.668155,1.612447,-1.945866,5.536700
0.020000,2.205153,7.192798,1.724993,2.699683,1.576398,-1.802407,5.517989
0.020000,2.244193,7.154611,1.779604,2.730552,1.543445,-1.647668,5.499850
0.020000,2.282972,7.115304,1.834821,2.760825,1.513669,-1.488805,5.482323
0.020000,2.321479,7.074906,1.890631,2.790519,1.484687,-1.449094,5.465444
0.020000,2.359708,7.033446,1.947026,2.819754,1.461755,-1.146618,5.449245
0.020000,2.397659,6.990956,2.003997,2.848529,1.438755,-1.150006,5.433755
0.020000,2.435335,6.947469,2.061535,2.876906,1.418856,-0.994945,5.419000
0.020000,2.472743,6.903015,2.119634,2.904943,1.401852,-0.850182,5.405003
0.020000,2.509893,6.857627,2.178287,2.932666,1.386136,-0.785827,5.391785
0.020000,2.546801,6.811338,2.237489,2.960095,1.371450,-0.734274,5.379364
0.020000,2.583483,6.764180,2.297235,2.987268,1.358650,-0.640011,5.367757
0.020000,2.619962,6.716185,2.357519,3.014217,1.347431,-0.560930,5.356980
0.020000,2.656260,6.667386,2.418337,3.040906,1.334436,-0.649762,5.347049
0.020000,2.692405,6.617817,2.479685,3.067395,1.324491,-0.497237,5.337978
0.020000,2.728427,6.567511,2.541558,3.093642,1.312312,-0.608956,5.329782
0.020000,2.764356,6.516502,2.603951,3.119645,1.300180,-0.606601,5.322476
0.020000,2.800230,6.464825,2.666859,3.145402,1.287818,-0.618092,5.316078
0.020000,2.836083,6.412515,2.730276,3.170878,1.273817,-0.700052,5.310606
0.020000,2.871958,6.359610,2.794197,3.196037,1.257947,-0.793511,5.306081
0.020000,2.907895,6.306149,2.858614,3.220860,1.241144,-0.840168,5.302524
0.020000,2.943939,6.252172,2.923520,3.245290,1.221494,-0.982460,5.299961
0.020000,2.980139,6.197721,2.988905,3.269276,1.199295,-1.109978,5.298422
