dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.652039,7.525600,0.000198,0.019792,0.989579,49.478949,0.002772
0.020000,0.652039,7.525600,0.000990,0.059375,1.979158,49.478949,0.002424
0.020000,0.652039,7.525600,0.002573,0.098958,1.979158,0.000000,0.001727
0.020000,0.652039,7.525600,0.004948,0.138541,1.979158,-0.000000,0.000680
0.020000,0.653664,7.525599,0.008115,0.178124,1.979158,0.000000,6.282468
0.020000,0.657621,7.525593,0.012073,0.217707,1.979158,-0.000000,6.280719
0.020000,0.662372,7.525576,0.016823,0.257291,1.979158,-0.000000,6.278613
0.020000,0.667914,7.525544,0.022364,0.296874,1.979158,0.000000,6.276148
0.020000,0.674247,7.525490,0.028698,0.336457,1.979158,0.000000,6.273320
0.020000,0.681371,7.525409,0.035823,0.376040,1.979158,0.000000,6.270124
0.020000,0.689286,7.525291,0.043739,0.415623,1.979158,-0.000000,6.266556
0.020000,0.697993,7.525129,0.052448,0.455206,1.979158,0.000000,6.262610
0.020000,0.707491,7.524913,0.061948,0.494789,1.979158,0.000000,6.258280
0.020000,0.717779,7.524633,0.072239,0.534373,1.979158,-0.000000,6.253560
0.020000,0.728855,7.524276,0.083323,0.573956,1.979158,0.000000,6.248442
0.020000,0.740722,7.523831,0.095197,0.613539,1.979158,-0.000000,6.242919
0.020000,0.753377,7.523283,0.107864,0.653122,1.979158,0.000000,6.236983
0.020000,0.766818,7.522619,0.121322,0.692705,1.979158,0.000000,6.230626
0.020000,0.781047,7.521822,0.135572,0.732288,1.979158,-0.000000,6.223838
0.020000,0.796059,7.520876,0.150614,0.771872,1.979158,0.000000,6.216610
0.020000,0.811853,7.519762,0.166447,0.811455,1.979158,-0.000000,6.208934
0.020000,0.828425,7.518462,0.183072,0.851038,1.979158,0.000000,6.200798
0.020000,0.845777,7.516954,0.200489,0.890621,1.979158,-0.000000,6.192193
0.020000,0.863902,7.515217,0.218697,0.930204,1.979158,0.000000,6.183108
0.020000,0.882797,7.513228,0.237697,0.969787,1.979158,-0.000000,6.173535
0.020000,0.902459,7.510964,0.257488,1.009371,1.979158,0.000000,6.163460
0.020000,0.922882,7.508397,0.278072,1.048954,1.979158,0.000000,6.152876
0.020000,0.944060,7.505502,0.299447,1.088537,1.979158,0.000000,6.141772
0.020000,0.965986,7.502251,0.321613,1.128120,1.979158,-0.000000,6.130140
0.020000,0.988654,7.498613,0.344571,1.167703,1.979158,0.000000,6.117969
0.020000,1.012055,7.494559,0.368321,1.207286,1.979158,0.000000,6.105254
0.020000,1.036180,7.490055,0.392863,1.246870,1.979158,0.000000,6.091987
0.020000,1.061018,7.485069,0.418196,1.286453,1.979158,-0.000000,6.078163
0.020000,1.086556,7.479567,0.444321,1.326036,1.979158,0.000000,6.063779
0.020000,1.112782,7.473513,0.471238,1.365619,1.979158,0.000000,6.048833
0.020000,1.139682,7.466870,0.498946,1.405202,1.979158,-0.000000,6.033325
0.020000,1.167239,7.459602,0.527446,1.444785,1.979158,0.000000,6.017259
0.020000,1.195436,7.451670,0.556737,1.484368,1.979158,0.000000,6.000642
0.020000,1.224253,7.443035,0.586820,1.523952,1.979158,0.000000,5.983481
0.020000,1.253669,7.433660,0.617695,1.563535,1.979158,-0.000000,5.965791
