dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.652884,7.220801,0.000198,0.019792,0.989579,49.478949,0.002772
0.020000,0.652777,7.220801,0.000304,0.005310,-0.724093,-85.683584,0.002424
0.020000,0.652565,7.220800,0.000517,0.010624,0.265702,49.489733,0.001727
0.020000,0.652246,7.220800,0.000836,0.015946,0.266132,0.021522,0.000680
0.020000,0.653445,7.220799,0.002034,0.059948,2.200096,96.698182,6.282468
0.020000,0.656870,7.220794,0.005459,0.171230,5.564079,168.199168,6.280719
0.020000,0.660978,7.220779,0.009568,0.205443,1.710654,-192.671277,6.278613
0.020000,0.665769,7.220751,0.014358,0.239517,1.703690,-0.348211,6.276148
0.020000,0.671240,7.220705,0.019830,0.273563,1.702317,-0.068612,6.273320
0.020000,0.677390,7.220635,0.025980,0.307547,1.699168,-0.157460,6.270124
0.020000,0.684218,7.220533,0.032809,0.341432,1.694261,-0.245366,6.266556
0.020000,0.691722,7.220394,0.040314,0.375259,1.691362,-0.144935,6.262610
0.020000,0.699901,7.220208,0.048495,0.409042,1.689133,-0.111464,6.258280
0.020000,0.708750,7.219966,0.057348,0.442625,1.679171,-0.498075,6.253560
0.020000,0.718267,7.219660,0.066870,0.476121,1.674779,-0.219616,6.248442
0.020000,0.728452,7.219278,0.077062,0.509604,1.674180,-0.029968,6.242919
0.020000,0.739299,7.218809,0.087919,0.542862,1.662908,-0.563582,6.236983
0.020000,0.750805,7.218240,0.099439,0.576001,1.656908,-0.300012,6.230626
0.020000,0.762968,7.217559,0.111621,0.609098,1.654858,-0.102495,6.223838
0.020000,0.775781,7.216751,0.124460,0.641928,1.641531,-0.666351,6.216610
0.020000,0.789241,7.215802,0.137953,0.674668,1.636967,-0.228177,6.208934
0.020000,0.803342,7.214695,0.152097,0.707209,1.627057,-0.495539,6.200798
0.020000,0.818081,7.213415,0.166892,0.739716,1.625365,-0.084560,6.192193
0.020000,0.833450,7.211942,0.182331,0.771963,1.612347,-0.650903,6.183108
0.020000,0.849443,7.210259,0.198412,0.804057,1.604694,-0.382644,6.173535
0.020000,0.866054,7.208346,0.215134,0.836073,1.600817,-0.193866,6.163460
0.020000,0.883276,7.206181,0.232491,0.867862,1.589450,-0.568359,6.152876
0.020000,0.901101,7.203745,0.250481,0.899510,1.582373,-0.353847,6.141772
0.020000,0.919519,7.201014,0.269101,0.931000,1.574511,-0.393098,6.130140
0.020000,0.938525,7.197964,0.288350,0.962444,1.572198,-0.115669,6.117969
0.020000,0.958107,7.194571,0.308224,0.993693,1.562471,-0.486322,6.105254
0.020000,0.978257,7.190809,0.328722,1.024904,1.560523,-0.097390,6.091987
0.020000,0.998964,7.186653,0.349842,1.055988,1.554214,-0.315462,6.078163
0.020000,1.020216,7.182074,0.371582,1.086997,1.550420,-0.189722,6.063779
0.020000,1.042004,7.177045,0.393942,1.118031,1.551733,0.065675,6.048833
0.020000,1.064315,7.171535,0.416924,1.149071,1.551993,0.012978,6.033325
0.020000,1.087137,7.165516,0.440526,1.180130,1.552971,0.048927,6.017259
0.020000,1.110458,7.158955,0.464752,1.211297,1.558316,0.267234,6.000642
0.020000,1.134265,7.151822,0.489605,1.242639,1.567095,0.438935,5.983481
0.020000,1.158543,7.144084,0.515087,1.274101,1.573138,0.302160,5.965791
0.020000,1.183282,7.135707,0.541205,1.305888,1.589330,0.809588,5.947587
0.020000,1.208465,7.126659,0.567964,1.337964,1.603781,0.722572,5.928891
0.020000,1.234078,7.116904,0.595372,1.370411,1.622343,0.928103,5.909728
0.020000,1.260109,7.106409,0.623439,1.403339,1.646412,1.203438,5.890126
0.020000,1.286541,7.095138,0.652174,1.436759,1.670988,1.228802,5.870121
0.020000,1.313361,7.083056,0.681590,1.470775,1.700834,1.492283,5.849751
0.020000,1.340553,7.070128,0.711698,1.505441,1.733296,1.623129,5.829059
0.020000,1.368103,7.056319,0.742515,1.540838,1.769864,1.828381,5.808092
0.020000,1.395995,7.041595,0.774055,1.577013,1.808729,1.943264,5.786901
0.020000,1.424215,7.025921,0.806336,1.614012,1.849949,2.060972,5.765541
0.020000,1.452747,7.009265,0.839374,1.651898,1.894299,2.217510,5.744070
0.020000,1.481575,6.991593,0.873188,1.690691,1.939631,2.266604,5.722547
0.020000,1.510685,6.972875,0.907796,1.730435,1.987239,2.380423,5.701034
0.020000,1.540062,6.953081,0.943219,1.771126,2.034540,2.365022,5.679594
0.020000,1.569689,6.932184,0.979474,1.812779,2.082650,2.405517,5.658290
0.020000,1.599552,6.910158,1.016582,1.855385,2.130299,2.382420,5.637184
0.020000,1.629636,6.886978,1.054561,1.898925,2.177014,2.335783,5.616338
0.020000,1.659927,6.862624,1.093428,1.943371,2.222259,2.262224,5.595811
0.020000,1.690412,6.837076,1.133202,1.988690,2.265956,2.184886,5.575660
0.020000,1.721076,6.810319,1.173898,2.034832,2.307119,2.058139,5.555939
0.020000,1.751907,6.782339,1.215533,2.081747,2.345754,1.931729,5.536700
0.020000,1.782896,6.753126,1.258121,2.129383,2.381784,1.801490,5.517989
0.020000,1.814031,6.722671,1.301675,2.177686,2.415166,1.669106,5.499850
0.020000,1.845306,6.690969,1.346207,2.226604,2.445896,1.536493,5.482323
0.020000,1.876713,6.658018,1.391728,2.276046,2.472089,1.309653,5.465444
0.020000,1.908247,6.623817,1.438248,2.326010,2.498193,1.305198,5.449245
0.020000,1.939908,6.588370,1.485776,2.376400,2.519525,1.066597,5.433755
0.020000,1.971694,6.551680,1.534320,2.427181,2.539040,0.975764,5.419000
0.020000,2.003607,6.513754,1.583886,2.478322,2.557065,0.901271,5.405003
0.020000,2.035653,6.474601,1.634482,2.529778,2.572774,0.785440,5.391785
0.020000,2.067840,6.434232,1.686112,2.581508,2.586494,0.685985,5.379364
0.020000,2.100178,6.392658,1.738782,2.633499,2.599569,0.653776,5.367757
0.020000,2.132681,6.349893,1.792497,2.685747,2.612395,0.641264,5.356980
0.020000,2.165366,6.305952,1.847261,2.738199,2.622611,0.510800,5.347049
0.020000,2.198252,6.260851,1.903079,2.790903,2.635178,0.628371,5.337978
0.020000,2.231364,6.214607,1.959955,2.843823,2.646006,0.541421,5.329782
0.020000,2.264729,6.167238,2.017895,2.896979,2.657787,0.589033,5.322476
0.020000,2.298378,6.118765,2.076903,2.950397,2.670946,0.657929,5.316078
0.020000,2.332346,6.069206,2.136984,3.004094,2.684833,0.694390,5.310606
0.020000,2.366672,6.018585,2.198146,3.058092,2.699879,0.752263,5.306081
0.020000,2.401399,5.966923,2.260395,3.112445,2.717655,0.888825,5.302524
0.020000,2.436576,5.914245,2.323739,3.167185,2.737028,0.968641,5.299961
0.020000,2.472256,5.860576,2.388186,3.222365,2.758976,1.097381,5.298422
0.020000,2.508366,5.806140,2.453510,3.266184,2.190973,-28.400107,5.297939
0.020000,2.544616,5.751499,2.519081,3.278575,0.619519,-78.572719,5.298527
0.020000,2.580753,5.697160,2.584340,3.262931,-0.782192,-70.085562,5.300164
0.020000,2.616740,5.643298,2.649117,3.238862,-1.203423,-21.061558,5.302820
0.020000,2.652622,5.589958,2.713404,3.214351,-1.225575,-1.107593,5.306465
0.020000,2.688445,5.537177,2.777193,3.189455,-1.244801,-0.961287,5.311074
0.020000,2.724250,5.484996,2.840478,3.164223,-1.261584,-0.839139,5.316624
0.020000,2.760077,5.433450,2.903251,3.138678,-1.277273,-0.784474,5.323096
0.020000,2.795962,5.382575,2.965508,3.112854,-1.291187,-0.695698,5.330471
0.020000,2.831939,5.332406,3.027244,3.086789,-1.303272,-0.604262,5.338732
0.020000,2.868042,5.282977,3.088454,3.060472,-1.315816,-0.627192,5.347864
0.020000,2.904298,5.234322,3.149132,3.033918,-1.327727,-0.595518,5.357852
0.020000,2.940734,5.186472,3.209275,3.007164,-1.337709,-0.499104,5.368681
0.020000,2.977373,5.139460,3.268878,2.980151,-1.350605,-0.644838,5.380335
0.020000,3.014237,5.093320,3.327936,2.952900,-1.362557,-0.597559,5.392799
0.020000,3.051342,5.048083,3.386444,2.925394,-1.375321,-0.638225,5.406056
0.020000,3.088703,5.003782,3.444396,2.897604,-1.389483,-0.708092,5.420086
0.020000,3.126329,4.960448,3.501786,2.869496,-1.405396,-0.795641,5.434869
0.020000,3.164228,4.918113,3.558607,2.841029,-1.423371,-0.898781,5.450382
0.020000,3.202402,4.876808,3.614850,2.812156,-1.443665,-1.014704,5.466598
0.020000,3.240850,4.836565,3.670507,2.782855,-1.465010,-1.067241,5.483488
0.020000,3.279565,4.797414,3.725568,2.753039,-1.490819,-1.290452,5.501021
0.020000,3.318538,4.759383,3.780022,2.722695,-1.517199,-1.318971,5.519158
0.020000,3.357753,4.722501,3.833856,2.691723,-1.548589,-1.569488,5.537862
0.020000,3.397193,4.686794,3.887058,2.660090,-1.581645,-1.652807,5.557087
0.020000,3.436831,4.652287,3.939613,2.627736,-1.617715,-1.803514,5.576787
0.020000,3.476641,4.619000,3.991505,2.594605,-1.656553,-1.941906,5.596910
0.020000,3.516589,4.586954,4.042718,2.560658,-1.697338,-2.039243,5.617403
0.020000,3.556638,4.556165,4.093235,2.525833,-1.741252,-2.195681,5.638208
0.020000,3.596747,4.526643,4.143037,2.490110,-1.786137,-2.244249,5.659267
0.020000,3.636873,4.498399,4.192106,2.453455,-1.832758,-2.331076,5.680517
0.020000,3.676967,4.471437,4.240423,2.415854,-1.880066,-2.365379,5.701898
0.020000,3.716981,4.445756,4.287969,2.377300,-1.927682,-2.380798,5.723347
0.020000,3.756862,4.421351,4.334725,2.337804,-1.974800,-2.355922,5.744800
0.020000,3.796559,4.398214,4.380672,2.297351,-2.022663,-2.393149,5.766198
0.020000,3.836017,4.376331,4.425793,2.256024,-2.066363,-2.185016,5.787480
0.020000,3.875184,4.355682,4.470069,2.213816,-2.110365,-2.200098,5.808589
0.020000,3.914006,4.336246,4.513484,2.170773,-2.152182,-2.090821,5.829472
0.020000,3.952431,4.317995,4.556024,2.126956,-2.190849,-1.933358,5.850078
0.020000,3.990410,4.300899,4.597672,2.082446,-2.225512,-1.733154,5.870360
0.020000,4.027893,4.284924,4.638418,2.037294,-2.257588,-1.603815,5.890275
0.020000,4.064836,4.270034,4.678249,1.991549,-2.287233,-1.482234,5.909786
0.020000,4.101194,4.256188,4.717155,1.945273,-2.313803,-1.328488,5.928859
0.020000,4.136928,4.243345,4.755127,1.898590,-2.334144,-1.017050,5.947465
0.020000,4.172000,4.231463,4.792157,1.851498,-2.354612,-1.023399,5.965579
0.020000,4.206375,4.220497,4.828238,1.804095,-2.370173,-0.778076,5.983180
0.020000,4.240024,4.210402,4.863368,1.756489,-2.380276,-0.505159,6.000253
0.020000,4.272916,4.201134,4.897542,1.708672,-2.390844,-0.528364,6.016784
0.020000,4.305027,4.192646,4.930755,1.660665,-2.400380,-0.476811,6.032765
0.020000,4.336334,4.184895,4.963007,1.612605,-2.402969,-0.129451,6.048189
0.020000,4.366816,4.177837,4.994296,1.564462,-2.407168,-0.209930,6.063053
0.020000,4.396459,4.171426,5.024624,1.516405,-2.402858,0.215493,6.077358
0.020000,4.425245,4.165623,5.053989,1.468256,-2.407428,-0.228529,6.091104
0.020000,4.453163,4.160384,5.082395,1.420257,-2.399948,0.374013,6.104295
0.020000,4.480201,4.155672,5.109840,1.372288,-2.398443,0.075265,6.116936
0.020000,4.506350,4.151447,5.136329,1.324407,-2.394053,0.219504,6.129033
0.020000,4.531603,4.147672,5.161862,1.276673,-2.386715,0.366884,6.140595
0.020000,4.555954,4.144314,5.186444,1.229101,-2.378600,0.405766,6.151630
0.020000,4.579397,4.141337,5.210075,1.181530,-2.378574,0.001296,6.162146
0.020000,4.601929,4.138711,5.232759,1.134236,-2.364664,0.695487,6.172154
0.020000,4.623548,4.136405,5.254501,1.087070,-2.358301,0.318144,6.181663
0.020000,4.644251,4.134390,5.275301,1.040027,-2.352150,0.307542,6.190683
0.020000,4.664036,4.132640,5.295164,0.993148,-2.343958,0.409618,6.199226
0.020000,4.682905,4.131129,5.314094,0.946474,-2.333695,0.513156,6.207300
0.020000,4.700856,4.129833,5.332091,0.899853,-2.331073,0.131067,6.214915
0.020000,4.717890,4.128730,5.349161,0.853491,-2.318072,0.650096,6.222083
0.020000,4.734006,4.127798,5.365303,0.807134,-2.317859,0.010649,6.228810
0.020000,4.749206,4.127019,5.380524,0.761040,-2.304706,0.657634,6.235108
0.020000,4.763493,4.126374,5.394825,0.715045,-2.299752,0.247668,6.240985
0.020000,4.776866,4.125846,5.408209,0.669180,-2.293240,0.325605,6.246450
0.020000,4.789328,4.125419,5.420678,0.623477,-2.285149,0.404561,6.251509
0.020000,4.800878,4.125080,5.432232,0.577715,-2.288097,-0.147390,6.256171
0.020000,4.811520,4.124815,5.442878,0.532284,-2.271545,0.827582,6.260442
0.020000,4.821253,4.124613,5.452613,0.486750,-2.276711,-0.258284,6.264329
0.020000,4.830081,4.124462,5.461442,0.441464,-2.264285,0.621298,6.267837
0.020000,4.838004,4.124353,5.469366,0.396201,-2.263162,0.056167,6.270973
0.020000,4.845023,4.124277,5.476386,0.350987,-2.260691,0.123550,6.273741
0.020000,4.851140,4.124226,5.482503,0.305850,-2.256858,0.191634,6.276144
0.020000,4.856356,4.124195,5.487720,0.260817,-2.251655,0.260146,6.278188
0.020000,4.860672,4.124177,5.492035,0.215796,-2.251033,0.031093,6.279875
0.020000,4.864088,4.124168,5.495451,0.170759,-2.251880,-0.042317,6.281207
0.020000,4.866604,4.124164,5.497967,0.125835,-2.246173,0.285335,6.282188
0.020000,4.868223,4.124163,5.499586,0.080958,-2.243871,0.115105,6.282818
0.020000,4.868989,4.124163,5.500352,0.038261,-2.134822,5.452449,6.283115
0.020000,4.869169,4.124163,5.500532,0.009009,-1.462608,33.610677,6.283185
0.020000,4.869169,4.124163,5.500532,0.000000,-0.450466,50.607131,6.283185
