dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.063788,4.085064,0.000199,0.019943,0.997128,49.856416,3.245580
0.020000,5.063888,4.085075,0.000300,0.005023,-0.745991,-87.155981,3.245910
0.020000,5.064088,4.085096,0.000501,0.010048,0.251285,49.863799,3.246569
0.020000,5.064388,4.085127,0.000802,0.015080,0.251579,0.014720,3.247559
0.020000,5.063464,4.085028,0.001732,0.046461,1.569053,65.873695,3.248880
0.020000,5.060000,4.084652,0.005216,0.174235,6.388689,240.981824,3.250533
0.020000,5.055844,4.084193,0.009397,0.209029,1.739731,-232.447930,3.252521
0.020000,5.051000,4.083648,0.014272,0.243739,1.735467,-0.213205,3.254847
0.020000,5.045468,4.083011,0.019841,0.278441,1.735099,-0.018413,3.257513
0.020000,5.039249,4.082278,0.026103,0.313106,1.733272,-0.091343,3.260523
0.020000,5.032345,4.081441,0.033057,0.347706,1.730009,-0.163148,3.263880
0.020000,5.024760,4.080495,0.040701,0.382213,1.725340,-0.233453,3.267587
0.020000,5.016494,4.079431,0.049035,0.416693,1.723974,-0.068258,3.271650
0.020000,5.007550,4.078241,0.058057,0.451117,1.721193,-0.139094,3.276073
0.020000,4.997933,4.076916,0.067766,0.485435,1.715946,-0.262314,3.280860
0.020000,4.987644,4.075447,0.078159,0.519648,1.710603,-0.267175,3.286018
0.020000,4.976687,4.073822,0.089235,0.553816,1.708437,-0.108309,3.291551
0.020000,4.965066,4.072031,0.100993,0.587913,1.704833,-0.180186,3.297466
0.020000,4.952785,4.070062,0.113432,0.621910,1.699862,-0.248563,3.303768
0.020000,4.939849,4.067901,0.126547,0.655782,1.693606,-0.312777,3.310464
0.020000,4.926263,4.065535,0.140337,0.689508,1.686280,-0.366282,3.317559
0.020000,4.912030,4.062949,0.154804,0.723312,1.690209,0.196410,3.325061
0.020000,4.897158,4.060129,0.169941,0.756838,1.676313,-0.694762,3.332976
0.020000,4.881653,4.057058,0.185747,0.790324,1.674262,-0.102584,3.341309
0.020000,4.865520,4.053718,0.202222,0.823744,1.671043,-0.160928,3.350068
0.020000,4.848766,4.050094,0.219363,0.857078,1.666693,-0.217514,3.359259
0.020000,4.831399,4.046165,0.237170,0.890306,1.661384,-0.265429,3.368887
0.020000,4.813427,4.041913,0.255638,0.923412,1.655312,-0.303627,3.378957
0.020000,4.794857,4.037317,0.274768,0.956489,1.653857,-0.072756,3.389474
0.020000,4.775699,4.032357,0.294557,0.989463,1.648681,-0.258769,3.400443
0.020000,4.755962,4.027010,0.315006,1.022462,1.649935,0.062681,3.411868
0.020000,4.735655,4.021254,0.336113,1.055353,1.644550,-0.269246,3.423750
0.020000,4.714788,4.015065,0.357878,1.088231,1.643906,-0.032219,3.436091
0.020000,4.693374,4.008420,0.380300,1.121116,1.644241,0.016791,3.448891
0.020000,4.671420,4.001292,0.403381,1.154067,1.647565,0.166177,3.462148
0.020000,4.648942,3.993658,0.427121,1.186963,1.644813,-0.137594,3.475860
0.020000,4.625949,3.985490,0.451522,1.220043,1.653976,0.458166,3.490023
0.020000,4.602455,3.976761,0.476585,1.253161,1.655906,0.096485,3.504628
0.020000,4.578473,3.967444,0.502313,1.286423,1.663114,0.360412,3.519667
0.020000,4.554016,3.957511,0.528710,1.319857,1.671704,0.429484,3.535128
0.020000,4.529098,3.946932,0.555781,1.353526,1.683427,0.586124,3.550999
0.020000,4.503733,3.935680,0.583530,1.387438,1.695638,0.610592,3.567261
0.020000,4.477936,3.923724,0.611962,1.421636,1.709871,0.711612,3.583897
0.020000,4.451722,3.911035,0.641086,1.456169,1.726670,0.839977,3.600882
0.020000,4.425106,3.897584,0.670908,1.491101,1.746562,0.994606,3.618193
0.020000,4.398104,3.883340,0.701437,1.526458,1.767883,1.066039,3.635802
0.020000,4.370731,3.868273,0.732682,1.562276,1.790881,1.149879,3.653677
0.020000,4.343003,3.852355,0.764654,1.598594,1.815893,1.250643,3.671786
0.020000,4.314937,3.835555,0.797364,1.635500,1.845307,1.470659,3.690091
0.020000,4.286548,3.817846,0.830823,1.672959,1.872966,1.382966,3.708555
0.020000,4.257854,3.799199,0.865044,1.711047,1.904391,1.571230,3.727136
0.020000,4.228871,3.779586,0.900040,1.749784,1.936833,1.622104,3.745793
0.020000,4.199614,3.758982,0.935824,1.789186,1.970139,1.665309,3.764481
0.020000,4.170101,3.737361,0.972409,1.829271,2.004242,1.705145,3.783156
0.020000,4.140347,3.714699,1.009810,1.870059,2.039384,1.757125,3.801773
0.020000,4.110369,3.690974,1.048041,1.911536,2.073868,1.724183,3.820284
0.020000,4.080181,3.666165,1.087115,1.953714,2.108867,1.749944,3.838645
0.020000,4.049800,3.640252,1.127047,1.996576,2.143138,1.713539,3.856811
0.020000,4.019239,3.613217,1.167849,2.040113,2.176838,1.685015,3.874737
0.020000,3.988512,3.585047,1.209535,2.084302,2.209435,1.629840,3.892381
0.020000,3.957632,3.555726,1.252118,2.129116,2.240728,1.564655,3.909702
0.020000,3.926612,3.525244,1.295608,2.174541,2.271258,1.526522,3.926659
0.020000,3.895461,3.493590,1.340019,2.220524,2.299104,1.392278,3.943215
0.020000,3.864190,3.460758,1.385360,2.267057,2.326651,1.377371,3.959337
0.020000,3.832807,3.426742,1.431642,2.314083,2.351347,1.234769,3.974989
0.020000,3.801319,3.391539,1.478873,2.361574,2.374517,1.158509,3.990142
0.020000,3.769729,3.355146,1.527063,2.409505,2.396557,1.102020,4.004768
0.020000,3.738042,3.317566,1.576220,2.457829,2.416207,0.982492,4.018839
0.020000,3.706259,3.278799,1.626350,2.506519,2.434489,0.914093,4.032333
0.020000,3.674378,3.238849,1.677461,2.555559,2.452006,0.875883,4.045227
0.020000,3.642397,3.197723,1.729559,2.604901,2.467092,0.754301,4.057500
0.020000,3.610309,3.155426,1.782650,2.654536,2.481743,0.732504,4.069134
0.020000,3.578108,3.111967,1.836739,2.704429,2.494682,0.646982,4.080110
0.020000,3.545782,3.067356,1.891830,2.754588,2.507947,0.663259,4.090413
0.020000,3.513319,3.021603,1.947930,2.804984,2.519760,0.590634,4.100026
0.020000,3.480703,2.974721,2.005042,2.855610,2.531348,0.579390,4.108935
0.020000,3.447915,2.926721,2.063172,2.906469,2.542911,0.578147,4.117123
0.020000,3.414933,2.877618,2.122323,2.957561,2.554637,0.586291,4.124577
0.020000,3.381734,2.827427,2.182501,3.008890,2.566446,0.590467,4.131279
0.020000,3.348288,2.776163,2.243710,3.060458,2.578369,0.596166,4.137215
0.020000,3.314566,2.723843,2.305956,3.112302,2.592215,0.692285,4.142367
0.020000,3.280533,2.670485,2.369244,3.164418,2.605810,0.679736,4.146715
0.020000,3.246149,2.616107,2.433581,3.216842,2.621172,0.768127,4.150241
0.020000,3.211373,2.560728,2.498973,3.269603,2.638070,0.844905,4.152923
0.020000,3.176159,2.504371,2.565428,3.322732,2.656452,0.919084,4.154735
0.020000,3.140455,2.447056,2.632953,3.376269,2.676820,1.018411,4.155652
0.020000,3.104313,2.388979,2.701358,3.420264,2.199753,-23.853343,4.155644
0.020000,3.067947,2.330605,2.770133,3.438743,0.923987,-63.788331,4.154699
0.020000,3.031578,2.272408,2.838760,3.431321,-0.371105,-64.754564,4.152827
0.020000,2.995308,2.214667,2.906947,3.409355,-1.098314,-36.360449,4.150054
0.020000,2.959136,2.157493,2.974603,3.382809,-1.327279,-11.448262,4.146405
0.020000,2.923021,2.100919,3.041722,3.355931,-1.343901,-0.831089,4.141903
0.020000,2.886922,2.044980,3.108297,3.328750,-1.359087,-0.759343,4.136568
0.020000,2.850803,1.989710,3.174322,3.301286,-1.373162,-0.703715,4.130417
0.020000,2.814629,1.935139,3.239794,3.273576,-1.385539,-0.618848,4.123467
