dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.032150,4.388218,0.000199,0.019943,0.997128,49.856416,3.245580
0.020000,5.032150,4.388218,0.000997,0.059828,1.994257,49.856416,3.245910
0.020000,5.032150,4.388218,0.002593,0.099713,1.994257,0.000000,3.246569
0.020000,5.032150,4.388218,0.004986,0.139598,1.994257,0.000000,3.247559
0.020000,5.030826,4.388076,0.008176,0.179483,1.994257,-0.000000,3.248880
0.020000,5.026860,4.387645,0.012165,0.219368,1.994257,-0.000000,3.250533
0.020000,5.022102,4.387120,0.016951,0.259253,1.994257,0.000000,3.252521
0.020000,5.016554,4.386495,0.022535,0.299138,1.994257,0.000000,3.254847
0.020000,5.010214,4.385766,0.028917,0.339024,1.994257,-0.000000,3.257513
0.020000,5.003084,4.384925,0.036096,0.378909,1.994257,0.000000,3.260523
0.020000,4.995165,4.383965,0.044073,0.418794,1.994257,-0.000000,3.263880
0.020000,4.986458,4.382879,0.052848,0.458679,1.994257,0.000000,3.267587
0.020000,4.976964,4.381656,0.062420,0.498564,1.994257,0.000000,3.271650
0.020000,4.966684,4.380289,0.072790,0.538449,1.994257,-0.000000,3.276073
0.020000,4.955621,4.378765,0.083958,0.578334,1.994257,0.000000,3.280860
0.020000,4.943776,4.377073,0.095924,0.618220,1.994257,0.000000,3.286018
0.020000,4.931151,4.375202,0.108687,0.658105,1.994257,0.000000,3.291551
0.020000,4.917748,4.373136,0.122248,0.697990,1.994257,-0.000000,3.297466
0.020000,4.903570,4.370862,0.136607,0.737875,1.994257,0.000000,3.303768
0.020000,4.888621,4.368365,0.151763,0.777760,1.994257,0.000000,3.310464
0.020000,4.872905,4.365628,0.167717,0.817645,1.994257,0.000000,3.317559
0.020000,4.856422,4.362634,0.184469,0.857530,1.994257,-0.000000,3.325061
0.020000,4.839180,4.359364,0.202018,0.897415,1.994257,0.000000,3.332976
0.020000,4.821183,4.355799,0.220365,0.937301,1.994257,-0.000000,3.341309
0.020000,4.802436,4.351919,0.239510,0.977186,1.994257,0.000000,3.350068
0.020000,4.782944,4.347702,0.259453,1.017071,1.994257,-0.000000,3.359259
0.020000,4.762714,4.343125,0.280193,1.056956,1.994257,0.000000,3.368887
0.020000,4.741755,4.338167,0.301731,1.096841,1.994257,0.000000,3.378957
0.020000,4.720074,4.332801,0.324067,1.136726,1.994257,0.000000,3.389474
0.020000,4.697680,4.327002,0.347200,1.176611,1.994257,0.000000,3.400443
0.020000,4.674581,4.320745,0.371131,1.216497,1.994257,0.000000,3.411868
0.020000,4.650790,4.314001,0.395860,1.256382,1.994257,-0.000000,3.423750
0.020000,4.626317,4.306743,0.421386,1.296267,1.994257,0.000000,3.436091
0.020000,4.601176,4.298941,0.447711,1.336152,1.994257,-0.000000,3.448891
0.020000,4.575379,4.290566,0.474833,1.376037,1.994257,0.000000,3.462148
0.020000,4.548944,4.281588,0.502752,1.415922,1.994257,0.000000,3.475860
0.020000,4.521883,4.271974,0.531469,1.455807,1.994257,0.000000,3.490023
0.020000,4.494216,4.261695,0.560984,1.495692,1.994257,0.000000,3.504628
0.020000,4.465961,4.250718,0.591297,1.535578,1.994257,0.000000,3.519667
0.020000,4.437138,4.239011,0.622408,1.575463,1.994257,-0.000000,3.535128
0.020000,4.407768,4.226543,0.654316,1.615348,1.994257,0.000000,3.550999
0.020000,4.377872,4.213280,0.687021,1.655233,1.994257,-0.000000,3.567261
0.020000,4.347475,4.199193,0.720525,1.695118,1.994257,0.000000,3.583897
0.020000,4.316601,4.184248,0.754826,1.735003,1.994257,0.000000,3.600882
0.020000,4.285276,4.168417,0.789925,1.774888,1.994257,0.000000,3.618193
0.020000,4.253526,4.151668,0.825822,1.814774,1.994257,-0.000000,3.635802
0.020000,4.221380,4.133975,0.862516,1.854659,1.994257,-0.000000,3.653677
0.020000,4.188866,4.115309,0.900008,1.894544,1.994257,0.000000,3.671786
0.020000,4.156012,4.095644,0.938298,1.934429,1.994257,0.000000,3.690091
0.020000,4.122849,4.074956,0.977385,1.974314,1.994257,-0.000000,3.708555
0.020000,4.089406,4.053223,1.017270,2.014199,1.994257,0.000000,3.727136
0.020000,4.055713,4.030423,1.057953,2.054084,1.994257,-0.000000,3.745793
0.020000,4.021799,4.006540,1.099434,2.093969,1.994257,0.000000,3.764481
0.020000,3.987694,3.981555,1.141712,2.133855,1.994257,0.000000,3.783156
