dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000511,4.691371,0.000199,0.019943,0.997128,49.856416,3.245580
0.020000,5.000411,4.691361,0.000300,0.005023,-0.745991,-87.155981,3.245910
0.020000,5.000212,4.691340,0.000501,0.010048,0.251285,49.863799,3.246569
0.020000,4.999912,4.691308,0.000802,0.015080,0.251579,0.014720,3.247559
0.020000,4.998187,4.691123,0.002537,0.086717,3.581865,166.514301,3.248880
0.020000,4.993721,4.690638,0.007029,0.224626,6.895438,165.678626,3.250533
0.020000,4.988361,4.690047,0.012422,0.269639,2.250645,-232.239630,3.252521
0.020000,4.982108,4.689343,0.018715,0.314626,2.249353,-0.064596,3.254847
0.020000,4.974961,4.688520,0.025909,0.359701,2.253768,0.220729,3.257513
0.020000,4.966920,4.687572,0.034005,0.404841,2.256973,0.160282,3.260523
0.020000,4.957985,4.686489,0.043006,0.450020,2.258980,0.100328,3.263880
0.020000,4.948157,4.685262,0.052910,0.495216,2.259802,0.041092,3.267587
0.020000,4.937434,4.683882,0.063721,0.540527,2.265522,0.286018,3.271650
0.020000,4.925818,4.682337,0.075439,0.585927,2.270009,0.224367,3.276073
0.020000,4.913309,4.680614,0.088067,0.631364,2.271862,0.092640,3.280860
0.020000,4.899908,4.678700,0.101604,0.676847,2.274110,0.112381,3.286018
0.020000,4.885615,4.676581,0.116053,0.722466,2.280985,0.343768,3.291551
0.020000,4.870430,4.674241,0.131417,0.768195,2.286439,0.272711,3.297466
0.020000,4.854356,4.671663,0.147697,0.814005,2.290494,0.202750,3.303768
0.020000,4.837393,4.668829,0.164894,0.859869,2.293179,0.134210,3.310464
0.020000,4.819547,4.665721,0.183009,0.905762,2.294681,0.075117,3.317559
0.020000,4.800814,4.662318,0.202049,0.951985,2.311134,0.822628,3.325061
0.020000,4.781202,4.658599,0.222011,0.998069,2.304196,-0.346855,3.332976
0.020000,4.760713,4.654540,0.242897,1.044324,2.312760,0.428172,3.341309
0.020000,4.739352,4.650119,0.264711,1.090716,2.319602,0.342085,3.350068
0.020000,4.717122,4.645310,0.287455,1.137208,2.324601,0.249985,3.359259
0.020000,4.694030,4.640086,0.311131,1.183764,2.327803,0.160080,3.368887
0.020000,4.670084,4.634420,0.335738,1.230349,2.329260,0.072866,3.378957
