dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.062496,4.063208,0.000199,0.019934,0.996688,49.834401,3.174321
0.020000,5.062393,4.063205,0.000303,0.005177,-0.737831,-86.725956,3.173982
0.020000,5.062186,4.063198,0.000510,0.010359,0.259087,49.845913,3.173302
0.020000,5.061875,4.063189,0.000821,0.015550,0.259547,0.022989,3.172281
0.020000,5.060254,4.063141,0.002443,0.081092,3.277102,150.877742,3.170919
0.020000,5.055748,4.063012,0.006950,0.225363,7.213561,196.822971,3.169213
0.020000,5.050340,4.062868,0.012361,0.270531,2.258402,-247.757962,3.167158
0.020000,5.044028,4.062715,0.018675,0.315693,2.258115,-0.014354,3.164754
0.020000,5.036810,4.062557,0.025894,0.360978,2.264243,0.306394,3.161994
0.020000,5.028684,4.062404,0.034021,0.406357,2.268959,0.235790,3.158875
0.020000,5.019649,4.062264,0.043057,0.451803,2.272268,0.165468,3.155390
0.020000,5.009704,4.062146,0.053003,0.497286,2.274182,0.095706,3.151536
0.020000,4.998848,4.062061,0.063859,0.542805,2.275923,0.087043,3.147305
0.020000,4.987074,4.062021,0.075633,0.588704,2.294944,0.951047,3.142689
0.020000,4.974386,4.062038,0.088321,0.634395,2.284540,-0.520193,3.137684
0.020000,4.960780,4.062128,0.101928,0.680343,2.297417,0.643871,3.132279
0.020000,4.946251,4.062306,0.116458,0.726504,2.308033,0.530774,3.126465
0.020000,4.930800,4.062588,0.131912,0.772682,2.308896,0.043170,3.120236
0.020000,4.914425,4.062992,0.148292,0.819002,2.316026,0.356486,3.113580
0.020000,4.897120,4.063538,0.165605,0.865650,2.332391,0.818262,3.106487
0.020000,4.878889,4.064247,0.183850,0.912260,2.330515,-0.093836,3.098947
0.020000,4.859728,4.065141,0.203032,0.959079,2.340935,0.521010,3.090949
0.020000,4.839637,4.066245,0.223153,1.006094,2.350750,0.490771,3.082483
0.020000,4.818612,4.067583,0.244221,1.053359,2.363236,0.624303,3.073534
0.020000,4.796656,4.069184,0.266235,1.100700,2.367087,0.192536,3.064093
0.020000,4.773769,4.071076,0.289199,1.148241,2.377043,0.497782,3.054147
