dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.052522,4.367845,0.000199,0.019934,0.996688,49.834401,3.174321
0.020000,5.052522,4.367845,0.000997,0.059801,1.993376,49.834401,3.173982
0.020000,5.052522,4.367845,0.002591,0.099669,1.993376,-0.000000,3.173302
0.020000,5.052522,4.367845,0.004983,0.139536,1.993376,-0.000000,3.172281
0.020000,5.051316,4.367810,0.008173,0.179404,1.993376,0.000000,3.170919
0.020000,5.047331,4.367696,0.012160,0.219271,1.993376,0.000000,3.169213
0.020000,5.042548,4.367569,0.016944,0.259139,1.993376,-0.000000,3.167158
0.020000,5.036969,4.367433,0.022525,0.299006,1.993376,0.000000,3.164754
0.020000,5.030592,4.367294,0.028904,0.338874,1.993376,0.000000,3.161994
0.020000,5.023417,4.367159,0.036080,0.378741,1.993376,0.000000,3.158875
0.020000,5.015444,4.367035,0.044054,0.418609,1.993376,0.000000,3.155390
0.020000,5.006673,4.366931,0.052824,0.458476,1.993376,-0.000000,3.151536
0.020000,4.997107,4.366856,0.062393,0.498344,1.993376,0.000000,3.147305
0.020000,4.986740,4.366820,0.072758,0.538212,1.993376,-0.000000,3.142689
0.020000,4.975578,4.366836,0.083921,0.578079,1.993376,0.000000,3.137684
0.020000,4.963619,4.366915,0.095881,0.617947,1.993376,-0.000000,3.132279
0.020000,4.950861,4.367071,0.108639,0.657814,1.993376,0.000000,3.126465
0.020000,4.937309,4.367318,0.122194,0.697682,1.993376,-0.000000,3.120236
0.020000,4.922962,4.367672,0.136546,0.737549,1.993376,0.000000,3.113580
0.020000,4.907818,4.368150,0.151696,0.777417,1.993376,-0.000000,3.106487
0.020000,4.891883,4.368770,0.167643,0.817284,1.993376,0.000000,3.098947
0.020000,4.875158,4.369551,0.184387,0.857152,1.993376,-0.000000,3.090949
0.020000,4.857643,4.370513,0.201929,0.897019,1.993376,0.000000,3.082483
0.020000,4.839340,4.371678,0.220268,0.936887,1.993376,0.000000,3.073534
0.020000,4.820254,4.373069,0.239404,0.976754,1.993376,-0.000000,3.064093
0.020000,4.800389,4.374711,0.259338,1.016622,1.993376,0.000000,3.054147
0.020000,4.779748,4.376629,0.280069,1.056489,1.993376,0.000000,3.043685
0.020000,4.758333,4.378851,0.301598,1.096357,1.993376,0.000000,3.032694
0.020000,4.736155,4.381405,0.323924,1.136224,1.993376,-0.000000,3.021163
0.020000,4.713216,4.384322,0.347047,1.176092,1.993376,0.000000,3.009079
0.020000,4.689526,4.387632,0.370967,1.215959,1.993376,0.000000,2.996435
0.020000,4.665092,4.391368,0.395685,1.255827,1.993376,0.000000,2.983219
0.020000,4.639925,4.395566,0.421200,1.295694,1.993376,-0.000000,2.969423
0.020000,4.614035,4.400259,0.447513,1.335562,1.993376,0.000000,2.955040
0.020000,4.587434,4.405487,0.474623,1.375429,1.993376,0.000000,2.940064
0.020000,4.560136,4.411285,0.502530,1.415297,1.993376,0.000000,2.924492
0.020000,4.532156,4.417694,0.531235,1.455165,1.993376,-0.000000,2.908323
0.020000,4.503512,4.424754,0.560737,1.495032,1.993376,0.000000,2.891559
0.020000,4.474221,4.432505,0.591036,1.534900,1.993376,0.000000,2.874205
0.020000,4.444306,4.440989,0.622133,1.574767,1.993376,0.000000,2.856270
0.020000,4.413785,4.450249,0.654027,1.614635,1.993376,-0.000000,2.837764
0.020000,4.382687,4.460325,0.686718,1.654502,1.993376,0.000000,2.818706
0.020000,4.351035,4.471262,0.720207,1.694370,1.993376,0.000000,2.799117
0.020000,4.318858,4.483099,0.754493,1.734237,1.993376,-0.000000,2.779022
0.020000,4.286185,4.495879,0.789576,1.774105,1.993376,0.000000,2.758453
0.020000,4.253049,4.509641,0.825457,1.813972,1.993376,-0.000000,2.737446
0.020000,4.219483,4.524424,0.862135,1.853840,1.993376,0.000000,2.716042
0.020000,4.185521,4.540265,0.899611,1.893707,1.993376,-0.000000,2.694288
0.020000,4.151200,4.557200,0.937883,1.933575,1.993376,0.000000,2.672235
0.020000,4.116555,4.575259,0.976954,1.973442,1.993376,0.000000,2.649939
0.020000,4.081624,4.594474,1.016821,2.013310,1.993376,-0.000000,2.627459
0.020000,4.046447,4.614872,1.057486,2.053177,1.993376,0.000000,2.604858
0.020000,4.011059,4.636476,1.098948,2.093045,1.993376,0.000000,2.582201
0.020000,3.975498,4.659307,1.141208,2.132912,1.993376,-0.000000,2.559557
0.020000,3.939802,4.683381,1.184265,2.172780,1.993376,0.000000,2.536992
0.020000,3.904006,4.708714,1.228119,2.212647,1.993376,-0.000000,2.514576
0.020000,3.868143,4.735313,1.272771,2.252515,1.993376,0.000000,2.492376
0.020000,3.832246,4.763187,1.318220,2.292382,1.993376,0.000000,2.470458
0.020000,3.796344,4.792337,1.364466,2.332250,1.993376,-0.000000,2.448885
0.020000,3.760466,4.822763,1.411510,2.372117,1.993376,0.000000,2.427718
0.020000,3.724635,4.854462,1.459351,2.411985,1.993376,0.000000,2.407014
0.020000,3.688874,4.887428,1.507989,2.451853,1.993376,-0.000000,2.386826
0.020000,3.653201,4.921651,1.557425,2.491720,1.993376,0.000000,2.367201
0.020000,3.617631,4.957120,1.607658,2.531588,1.993376,-0.000000,2.348185
0.020000,3.582176,4.993822,1.658688,2.571455,1.993376,0.000000,2.329817
0.020000,3.546845,5.031739,1.710516,2.611323,1.993376,0.000000,2.312133
0.020000,3.511643,5.070857,1.763141,2.651190,1.993376,-0.000000,2.295163
0.020000,3.476571,5.111154,1.816564,2.691058,1.993376,0.000000,2.278935
0.020000,3.441629,5.152612,1.870783,2.730925,1.993376,0.000000,2.263472
0.020000,3.406810,5.195209,1.925801,2.770793,1.993376,-0.000000,2.248794
0.020000,3.372108,5.238923,1.981615,2.810660,1.993376,0.000000,2.234920
0.020000,3.337510,5.283732,2.038227,2.850528,1.993376,-0.000000,2.221865
0.020000,3.303002,5.329612,2.095636,2.890395,1.993376,0.000000,2.209643
0.020000,3.268565,5.376539,2.153843,2.930263,1.993376,0.000000,2.198265
0.020000,3.234180,5.424488,2.212847,2.970130,1.993376,-0.000000,2.187743
0.020000,3.199822,5.473434,2.272648,3.009998,1.993376,0.000000,2.178088
0.020000,3.165465,5.523351,2.333247,3.049865,1.993376,0.000000,2.169312
0.020000,3.131078,5.574213,2.394643,3.089733,1.993376,-0.000000,2.161426
0.020000,3.096628,5.625994,2.456836,3.129600,1.993376,0.000000,2.154443
0.020000,3.062080,5.678665,2.519827,3.169468,1.993376,-0.000000,2.148377
0.020000,3.027394,5.732198,2.583615,3.209335,1.993376,0.000000,2.143245
0.020000,2.992526,5.786563,2.648200,3.249203,1.993376,0.000000,2.139065
0.020000,2.957432,5.841729,2.713583,3.289070,1.993376,0.000000,2.135859
0.020000,2.922062,5.897664,2.779763,3.328938,1.993376,-0.000000,2.133650
0.020000,2.886361,5.954333,2.846740,3.368806,1.993376,0.000000,2.132469
0.020000,2.850378,6.011532,2.914316,3.388739,0.996688,-49.834401,2.132346
0.020000,2.814332,6.068781,2.981968,3.376483,-0.612815,-80.475158,2.133298
0.020000,2.778437,6.125601,3.049176,3.344293,-1.609503,-49.834401,2.135312
0.020000,2.742785,6.181722,3.115663,3.304425,-1.993376,-19.193644,2.138362
0.020000,2.707364,6.237043,3.181353,3.264558,-1.993376,0.000000,2.142420
0.020000,2.672125,6.291534,3.246245,3.224690,-1.993376,-0.000000,2.147464
0.020000,2.637021,6.345161,3.310340,3.184823,-1.993376,0.000000,2.153475
0.020000,2.602012,6.397896,3.373638,3.144955,-1.993376,0.000000,2.160438
0.020000,2.567057,6.449708,3.436139,3.105088,-1.993376,-0.000000,2.168338
0.020000,2.532122,6.500568,3.497842,3.065220,-1.993376,0.000000,2.177163
0.020000,2.497174,6.550449,3.558747,3.025353,-1.993376,-0.000000,2.186902
0.020000,2.462183,6.599323,3.618856,2.985485,-1.993376,0.000000,2.197544
0.020000,2.427124,6.647162,3.678167,2.945618,-1.993376,0.000000,2.209080
0.020000,2.391974,6.693941,3.736680,2.905750,-1.993376,-0.000000,2.221498
