dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.042548,4.672482,0.000199,0.019934,0.996688,49.834401,3.174321
0.020000,5.042652,4.672485,0.000303,0.005177,-0.737831,-86.725956,3.173982
0.020000,5.042859,4.672492,0.000510,0.010359,0.259087,49.845913,3.173302
0.020000,5.043170,4.672502,0.000821,0.015550,0.259547,0.022989,3.172281
0.020000,5.042379,4.672478,0.001612,0.039565,1.200750,47.060136,3.170919
0.020000,5.038913,4.672380,0.005079,0.173348,6.689180,274.421512,3.169213
0.020000,5.034756,4.672269,0.009238,0.207922,1.728698,-248.024106,3.167158
0.020000,5.029910,4.672151,0.014086,0.242400,1.723861,-0.241864,3.164754
0.020000,5.024374,4.672030,0.019623,0.276863,1.723176,-0.034250,3.161994
0.020000,5.018149,4.671913,0.025849,0.311276,1.720622,-0.127666,3.158875
0.020000,5.011238,4.671806,0.032761,0.345600,1.716211,-0.220568,3.155390
0.020000,5.003643,4.671716,0.040357,0.379799,1.709960,-0.312531,3.151536
0.020000,4.995366,4.671651,0.048634,0.413855,1.702816,-0.357210,3.147305
0.020000,4.986406,4.671620,0.057594,0.448016,1.708059,0.262142,3.142689
0.020000,4.976769,4.671634,0.067230,0.481819,1.690130,-0.896424,3.137684
0.020000,4.966457,4.671702,0.077542,0.515603,1.689178,-0.047643,3.132279
0.020000,4.955472,4.671836,0.088529,0.549317,1.685736,-0.172054,3.126465
0.020000,4.943818,4.672049,0.100185,0.582801,1.674204,-0.576646,3.120236
0.020000,4.931499,4.672353,0.112507,0.616136,1.666738,-0.373252,3.113580
0.020000,4.918516,4.672762,0.125496,0.649447,1.665546,-0.059646,3.106487
0.020000,4.904878,4.673293,0.139145,0.682448,1.650047,-0.774924,3.098947
0.020000,4.890587,4.673960,0.153452,0.715313,1.643247,-0.340005,3.090949
0.020000,4.875649,4.674780,0.168412,0.748023,1.635504,-0.387134,3.082483
0.020000,4.860068,4.675772,0.184024,0.780610,1.629337,-0.308385,3.073534
0.020000,4.843853,4.676954,0.200283,0.812939,1.616479,-0.642883,3.064093
0.020000,4.827008,4.678346,0.217185,0.845099,1.607996,-0.424143,3.054147
0.020000,4.809542,4.679970,0.234726,0.877057,1.597908,-0.504393,3.043685
0.020000,4.791460,4.681846,0.252905,0.908962,1.595206,-0.135132,3.032694
0.020000,4.772773,4.683998,0.271716,0.940515,1.577677,-0.876438,3.021163
0.020000,4.753488,4.686450,0.291157,0.972042,1.576336,-0.067062,3.009079
0.020000,4.733615,4.689226,0.311223,1.003309,1.563378,-0.647873,2.996435
0.020000,4.713163,4.692354,0.331912,1.034468,1.557913,-0.273274,2.983219
0.020000,4.692143,4.695859,0.353222,1.065499,1.551560,-0.317646,2.969423
0.020000,4.670567,4.699771,0.375150,1.096394,1.544753,-0.340326,2.955040
0.020000,4.648445,4.704118,0.397695,1.127258,1.543208,-0.077282,2.940064
0.020000,4.625790,4.708930,0.420855,1.158014,1.537800,-0.270398,2.924492
0.020000,4.602614,4.714239,0.444632,1.188824,1.540521,0.136048,2.908323
0.020000,4.578931,4.720076,0.469024,1.219600,1.538802,-0.085922,2.891559
0.020000,4.554753,4.726473,0.494033,1.250461,1.543045,0.212162,2.874205
0.020000,4.530097,4.733466,0.519662,1.281453,1.549558,0.325641,2.856270
0.020000,4.504974,4.741088,0.545916,1.312686,1.561690,0.606608,2.837764
0.020000,4.479401,4.749374,0.572798,1.344087,1.570041,0.417522,2.818706
0.020000,4.453393,4.758361,0.600315,1.375855,1.588387,0.917296,2.799117
0.020000,4.426964,4.768084,0.628475,1.408035,1.608986,1.029981,2.779022
0.020000,4.400130,4.778580,0.657289,1.440677,1.632113,1.156348,2.758453
0.020000,4.372907,4.789886,0.686766,1.473872,1.659771,1.382909,2.737446
0.020000,4.345312,4.802040,0.716920,1.507664,1.689575,1.490183,2.716042
0.020000,4.317358,4.815078,0.747764,1.542223,1.727939,1.918173,2.694288
0.020000,4.289065,4.829038,0.779315,1.577518,1.764769,1.841528,2.672235
0.020000,4.260446,4.843957,0.811588,1.613674,1.807823,2.152697,2.649939
0.020000,4.231519,4.859869,0.844603,1.650739,1.853226,2.270148,2.627459
0.020000,4.202301,4.876812,0.878378,1.688757,1.900908,2.384086,2.604858
0.020000,4.172807,4.894818,0.912934,1.727794,1.951824,2.545795,2.582201
0.020000,4.143055,4.913920,0.948290,1.767832,2.001916,2.504632,2.559557
0.020000,4.113061,4.934149,0.984469,1.808923,2.054548,2.631567,2.536992
0.020000,4.082841,4.955535,1.021490,1.851053,2.106513,2.598268,2.514576
0.020000,4.052413,4.978104,1.059374,1.894212,2.157944,2.571569,2.492376
0.020000,4.021793,5.001881,1.098142,1.938373,2.208047,2.505121,2.470458
0.020000,3.990996,5.026886,1.137812,1.983504,2.256569,2.426119,2.448885
0.020000,3.960039,5.053140,1.178403,2.029562,2.302891,2.316086,2.427718
0.020000,3.928935,5.080658,1.219933,2.076477,2.345766,2.143760,2.407014
0.020000,3.897698,5.109454,1.262417,2.124205,2.386360,2.029695,2.386826
0.020000,3.866342,5.139536,1.305870,2.172675,2.423519,1.857955,2.367201
0.020000,3.834876,5.170913,1.350306,2.221816,2.457040,1.676051,2.348185
0.020000,3.803311,5.203588,1.395738,2.271561,2.487282,1.512093,2.329817
0.020000,3.771655,5.237563,1.442175,2.321849,2.514369,1.354355,2.312133
0.020000,3.739913,5.272836,1.489627,2.372611,2.538130,1.188033,2.295163
0.020000,3.708089,5.309402,1.538102,2.423768,2.557829,0.984976,2.278935
0.020000,3.676185,5.347257,1.587609,2.475320,2.577616,0.989339,2.263472
0.020000,3.644198,5.386390,1.638152,2.527146,2.591270,0.682710,2.248794
0.020000,3.612125,5.426793,1.689737,2.579265,2.605978,0.735408,2.234920
0.020000,3.579959,5.468452,1.742369,2.631618,2.617608,0.581477,2.221865
0.020000,3.547690,5.511355,1.796053,2.684172,2.627738,0.506521,2.209643
0.020000,3.515306,5.555486,1.850791,2.736913,2.637032,0.464691,2.198265
0.020000,3.482790,5.600829,1.906588,2.789830,2.645843,0.440561,2.187743
0.020000,3.450123,5.647366,1.963446,2.842920,2.654503,0.433004,2.178088
0.020000,3.417282,5.695081,2.021370,2.896179,2.662947,0.422152,2.169312
0.020000,3.384242,5.743952,2.080362,2.949604,2.671264,0.415886,2.161426
0.020000,3.350971,5.793960,2.140427,3.003246,2.682104,0.541998,2.154443
0.020000,3.317437,5.845086,2.201568,3.057089,2.692148,0.502180,2.148377
0.020000,3.283602,5.897306,2.263792,3.111184,2.704737,0.629466,2.143245
0.020000,3.249422,5.950598,2.327103,3.165565,2.719060,0.716146,2.139065
0.020000,3.214853,6.004940,2.391509,3.220271,2.735280,0.810974,2.135859
0.020000,3.179842,6.060306,2.457016,3.275353,2.754111,0.941594,2.133650
0.020000,3.144333,6.116671,2.523633,3.330869,2.775817,1.085300,2.132469
0.020000,3.108371,6.173838,2.591171,3.376898,2.301450,-23.718374,2.132346
0.020000,3.072169,6.231332,2.659113,3.397118,1.010970,-64.523975,2.133298
0.020000,3.035947,6.288671,2.726935,3.391089,-0.301408,-65.618911,2.135312
0.020000,2.999796,6.345576,2.794352,3.370840,-1.012464,-35.552794,2.138362
0.020000,2.963708,6.401940,2.861279,3.346333,-1.225340,-10.643831,2.142420
