dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000295,0.304800,0.000200,0.019964,0.998218,49.910921,6.282219
0.020000,0.000255,0.304800,0.000240,0.001993,-0.898576,-94.839743,6.282350
0.020000,0.000175,0.304800,0.000319,0.003987,0.099720,49.914838,6.282611
0.020000,0.000055,0.304800,0.000439,0.005985,0.099877,0.007839,6.283004
0.020000,0.001986,0.304800,0.002369,0.096514,4.526471,221.329718,0.000343
0.020000,0.005778,0.304803,0.006161,0.189609,4.654741,6.413455,0.000999
0.020000,0.010329,0.304809,0.010713,0.227568,1.897936,-137.840206,0.001789
0.020000,0.015638,0.304821,0.016022,0.265437,1.893479,-0.222889,0.002712
0.020000,0.021704,0.304841,0.022087,0.303299,1.893103,-0.018770,0.003770
0.020000,0.028526,0.304871,0.028910,0.341136,1.891844,-0.062959,0.004964
0.020000,0.036106,0.304913,0.036490,0.379004,1.893393,0.077441,0.006297
0.020000,0.044442,0.304972,0.044826,0.416793,1.889419,-0.198694,0.007768
0.020000,0.053533,0.305050,0.053918,0.454569,1.888813,-0.030314,0.009381
0.020000,0.063378,0.305151,0.063763,0.492289,1.886030,-0.139148,0.011136
0.020000,0.073978,0.305279,0.074364,0.530047,1.887870,0.092018,0.013037
0.020000,0.085332,0.305439,0.085719,0.567713,1.883323,-0.227339,0.015086
0.020000,0.097437,0.305635,0.097825,0.605338,1.881226,-0.104849,0.017284
0.020000,0.110294,0.305872,0.110685,0.642979,1.882051,0.041216,0.019636
0.020000,0.123901,0.306156,0.124295,0.680511,1.876597,-0.272699,0.022143
0.020000,0.138258,0.306493,0.138655,0.718004,1.874677,-0.095993,0.024809
0.020000,0.153361,0.306889,0.153764,0.755454,1.872496,-0.109017,0.027638
0.020000,0.169212,0.307351,0.169622,0.792878,1.871186,-0.065536,0.030633
0.020000,0.185808,0.307886,0.186226,0.830203,1.866232,-0.247683,0.033797
0.020000,0.203146,0.308501,0.203575,0.867467,1.863219,-0.150670,0.037136
0.020000,0.221226,0.309205,0.221669,0.904673,1.860318,-0.145054,0.040654
0.020000,0.240046,0.310005,0.240505,0.941841,1.858390,-0.096402,0.044355
0.020000,0.259602,0.310911,0.260082,0.978849,1.850408,-0.399057,0.048244
0.020000,0.279893,0.311932,0.280400,1.015870,1.851051,0.032108,0.052327
0.020000,0.300917,0.313078,0.301455,1.052752,1.844076,-0.348747,0.056609
0.020000,0.322670,0.314360,0.323246,1.089543,1.839581,-0.224738,0.061096
0.020000,0.345150,0.315788,0.345770,1.126236,1.834640,-0.247063,0.065795
0.020000,0.368353,0.317374,0.369027,1.162844,1.830376,-0.213182,0.070713
0.020000,0.392275,0.319130,0.393014,1.199353,1.825460,-0.245819,0.075856
0.020000,0.416913,0.321069,0.417729,1.235711,1.817927,-0.376611,0.081232
0.020000,0.442263,0.323204,0.443168,1.271955,1.812201,-0.286345,0.086849
0.020000,0.468319,0.325550,0.469330,1.308095,1.806994,-0.260340,0.092715
0.020000,0.495078,0.328120,0.496212,1.344102,1.800349,-0.332212,0.098840
0.020000,0.522533,0.330931,0.523811,1.379947,1.792245,-0.405235,0.105233
0.020000,0.550679,0.333999,0.552123,1.415606,1.782918,-0.466316,0.111903
0.020000,0.579510,0.337340,0.581147,1.451197,1.779557,-0.168059,0.118861
0.020000,0.609018,0.340972,0.610878,1.486546,1.767469,-0.604410,0.126119
0.020000,0.639196,0.344914,0.641312,1.521735,1.759437,-0.401629,0.133687
0.020000,0.670037,0.349186,0.672447,1.556735,1.749987,-0.472469,0.141578
0.020000,0.701530,0.353806,0.704278,1.591545,1.740533,-0.472692,0.149805
0.020000,0.733669,0.358798,0.736801,1.626168,1.731121,-0.470605,0.158381
0.020000,0.766440,0.364182,0.770012,1.660553,1.719284,-0.591855,0.167321
0.020000,0.799835,0.369982,0.803907,1.694710,1.707853,-0.571548,0.176639
0.020000,0.833840,0.376221,0.838479,1.728635,1.696219,-0.581693,0.186350
0.020000,0.868442,0.382926,0.873725,1.762289,1.682721,-0.674898,0.196472
0.020000,0.903629,0.390122,0.909640,1.795761,1.673605,-0.455826,0.207021
0.020000,0.939384,0.397836,0.946218,1.828884,1.656112,-0.874640,0.218015
0.020000,0.975691,0.406097,0.983453,1.861756,1.643627,-0.624234,0.229471
0.020000,1.012533,0.414934,1.021340,1.894339,1.629166,-0.723083,0.241410
0.020000,1.049889,0.424378,1.059872,1.926596,1.612831,-0.816726,0.253850
0.020000,1.087742,0.434460,1.099044,1.958618,1.601097,-0.586730,0.266812
0.020000,1.126067,0.445213,1.138849,1.990258,1.582020,-0.953846,0.280317
0.020000,1.164842,0.456670,1.179281,2.021594,1.566788,-0.761590,0.294385
0.020000,1.204040,0.468868,1.220333,2.052592,1.549892,-0.844781,0.309037
0.020000,1.243635,0.481842,1.261999,2.083323,1.536544,-0.667390,0.324296
0.020000,1.283597,0.495628,1.304273,2.113667,1.517203,-0.967085,0.340182
0.020000,1.323895,0.510266,1.347147,2.143713,1.502315,-0.744386,0.356717
0.020000,1.364496,0.525793,1.390616,2.173441,1.486388,-0.796366,0.373920
0.020000,1.405365,0.542251,1.434674,2.202893,1.472611,-0.688832,0.391811
0.020000,1.446463,0.559679,1.479315,2.232044,1.457560,-0.752541,0.410409
0.020000,1.487752,0.578119,1.524534,2.260965,1.446030,-0.576507,0.429729
0.020000,1.529189,0.597612,1.570327,2.289660,1.434768,-0.563105,0.449786
0.020000,1.570730,0.618201,1.616691,2.318172,1.425581,-0.459346,0.470592
0.020000,1.612329,0.639928,1.663622,2.346566,1.419704,-0.293835,0.492154
0.020000,1.653937,0.662837,1.711120,2.374908,1.417079,-0.131258,0.514476
0.020000,1.695506,0.686968,1.759185,2.403244,1.416820,-0.012971,0.537560
0.020000,1.736981,0.712365,1.807818,2.431649,1.420224,0.170227,0.561398
0.020000,1.778309,0.739068,1.857023,2.460247,1.429938,0.485682,0.585980
0.020000,1.819435,0.767120,1.906805,2.489113,1.443276,0.666889,0.611288
0.020000,1.860303,0.796559,1.957172,2.518361,1.462404,0.956403,0.637296
0.020000,1.900854,0.827425,2.008134,2.548085,1.486184,1.188992,0.663973
0.020000,1.941030,0.859755,2.059703,2.578438,1.517665,1.574068,0.691279
0.020000,1.980772,0.893584,2.111893,2.609507,1.553479,1.790714,0.719166
0.020000,2.020020,0.928946,2.164721,2.641427,1.595970,2.124526,0.747577
0.020000,2.058592,0.965751,2.218036,2.665736,1.215478,-19.024573,0.776359
0.020000,2.096147,1.003713,2.271434,2.669916,0.208971,-50.325344,0.805212
0.020000,2.132377,1.042505,2.324514,2.653994,-0.796092,-50.253182,0.833836
0.020000,2.167120,1.081891,2.377034,2.626002,-1.399585,-30.174654,0.862022
0.020000,2.200346,1.121746,2.428922,2.594403,-1.579953,-9.018400,0.889662
0.020000,2.232088,1.162011,2.480195,2.563607,-1.539801,2.007635,0.916704
0.020000,2.262383,1.202626,2.530864,2.533478,-1.506438,1.668135,0.943102
0.020000,2.291268,1.243535,2.580943,2.503930,-1.477408,1.451495,0.968820
0.020000,2.318783,1.284679,2.630439,2.474820,-1.455511,1.094835,0.993828
0.020000,2.344967,1.326002,2.679360,2.446046,-1.438707,0.840203,1.018104
0.020000,2.369863,1.367451,2.727711,2.417522,-1.426189,0.625899,1.041634
0.020000,2.393511,1.408971,2.775493,2.389103,-1.420976,0.260677,1.064407
0.020000,2.415954,1.450511,2.822708,2.360765,-1.416866,0.205494,1.086420
0.020000,2.437234,1.492023,2.869356,2.332404,-1.418041,-0.058737,1.107675
0.020000,2.457394,1.533457,2.915435,2.303927,-1.423883,-0.292122,1.128177
0.020000,2.476476,1.574770,2.960941,2.275340,-1.429361,-0.273885,1.147937
0.020000,2.494522,1.615917,3.005872,2.246546,-1.439688,-0.516351,1.166965
0.020000,2.511574,1.656859,3.050223,2.217527,-1.450965,-0.563877,1.185279
0.020000,2.527672,1.697556,3.093988,2.188248,-1.463915,-0.647503,1.202894
0.020000,2.542856,1.737971,3.137162,2.158693,-1.477760,-0.692259,1.219829
0.020000,2.557167,1.778070,3.179738,2.128811,-1.494077,-0.815805,1.236103
0.020000,2.570642,1.817821,3.221710,2.098619,-1.509601,-0.776210,1.251738
0.020000,2.583320,1.857193,3.263073,2.068142,-1.523892,-0.714538,1.266755
0.020000,2.595237,1.896157,3.303819,2.037301,-1.542008,-0.905820,1.281174
0.020000,2.606428,1.934688,3.343942,2.006162,-1.556982,-0.748703,1.295018
0.020000,2.616928,1.972761,3.383436,1.974699,-1.573162,-0.808976,1.308306
0.020000,2.626771,2.010351,3.422294,1.942902,-1.589820,-0.832905,1.321061
0.020000,2.635988,2.047439,3.460511,1.910811,-1.604575,-0.737774,1.333301
0.020000,2.644612,2.084004,3.498078,1.878392,-1.620951,-0.818784,1.345048
0.020000,2.652671,2.120028,3.534993,1.845708,-1.634176,-0.661280,1.356321
0.020000,2.660194,2.155493,3.571247,1.812716,-1.649606,-0.771457,1.367138
0.020000,2.667211,2.190384,3.606836,1.779452,-1.663185,-0.678989,1.377517
0.020000,2.673746,2.224685,3.641755,1.745935,-1.675873,-0.634407,1.387476
0.020000,2.679827,2.258384,3.675998,1.712164,-1.688564,-0.634523,1.397032
0.020000,2.685478,2.291468,3.709561,1.678138,-1.701271,-0.635345,1.406199
0.020000,2.690722,2.323925,3.742439,1.643896,-1.712105,-0.541708,1.414995
0.020000,2.695582,2.355744,3.774627,1.609415,-1.724074,-0.598448,1.423432
0.020000,2.700080,2.386916,3.806122,1.574745,-1.733458,-0.469189,1.431526
0.020000,2.704236,2.417431,3.836918,1.539830,-1.745768,-0.615509,1.439288
0.020000,2.708071,2.447281,3.867014,1.504767,-1.753145,-0.368833,1.446733
0.020000,2.711604,2.476458,3.896404,1.469502,-1.763285,-0.507033,1.453871
0.020000,2.714852,2.504954,3.925085,1.434047,-1.772708,-0.471155,1.460714
0.020000,2.717833,2.532765,3.953054,1.398485,-1.778106,-0.269860,1.467274
0.020000,2.720564,2.559882,3.980309,1.362711,-1.788716,-0.530513,1.473559
