dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000295,-0.304800,0.000200,0.019964,0.998218,49.910921,6.282219
0.020000,-0.000255,-0.304800,0.000240,0.001993,-0.898576,-94.839743,6.282350
0.020000,-0.000175,-0.304800,0.000319,0.003987,0.099720,49.914838,6.282611
0.020000,-0.000055,-0.304800,0.000439,0.005985,0.099877,0.007839,6.283004
0.020000,0.002195,-0.304800,0.002689,0.112494,5.325437,261.277972,0.000343
0.020000,0.006387,-0.304797,0.006881,0.209610,4.855833,-23.480158,0.000999
0.020000,0.011419,-0.304790,0.011914,0.251628,2.100880,-137.747664,0.001789
0.020000,0.017291,-0.304777,0.017785,0.293577,2.097457,-0.171166,0.002712
0.020000,0.024002,-0.304755,0.024496,0.335553,2.098807,0.067515,0.003770
0.020000,0.031553,-0.304722,0.032047,0.377542,2.099445,0.031907,0.004964
0.020000,0.039945,-0.304675,0.040439,0.419611,2.103463,0.200902,0.006297
0.020000,0.049177,-0.304610,0.049672,0.461644,2.101645,-0.090904,0.007768
0.020000,0.059251,-0.304523,0.059747,0.503721,2.103839,0.109667,0.009381
0.020000,0.070167,-0.304411,0.070663,0.545799,2.103911,0.003645,0.011136
0.020000,0.081926,-0.304269,0.082422,0.587987,2.109412,0.275013,0.013037
0.020000,0.094528,-0.304092,0.095025,0.630150,2.108139,-0.063620,0.015086
0.020000,0.107973,-0.303874,0.108472,0.672348,2.109901,0.088108,0.017284
0.020000,0.122263,-0.303611,0.122765,0.714653,2.115242,0.267048,0.019636
0.020000,0.137399,-0.303294,0.137904,0.756932,2.113951,-0.064587,0.022143
0.020000,0.153380,-0.302919,0.153889,0.799271,2.116940,0.149490,0.024809
0.020000,0.170207,-0.302478,0.170723,0.841671,2.120012,0.153602,0.027638
0.020000,0.187883,-0.301963,0.188406,0.884160,2.124443,0.221502,0.030633
0.020000,0.206407,-0.301366,0.206939,0.926664,2.125213,0.038545,0.033797
0.020000,0.225779,-0.300678,0.226324,0.969236,2.128565,0.167577,0.037136
0.020000,0.246002,-0.299892,0.246562,1.011885,2.132482,0.195844,0.040654
0.020000,0.267075,-0.298995,0.267655,1.054644,2.137950,0.273428,0.044355
0.020000,0.289000,-0.297980,0.289602,1.097387,2.137118,-0.041599,0.048244
0.020000,0.311777,-0.296833,0.312409,1.140316,2.146453,0.466705,0.052327
0.020000,0.335408,-0.295545,0.336074,1.183271,2.147774,0.066090,0.056609
0.020000,0.359891,-0.294103,0.360600,1.226320,2.152427,0.232627,0.061096
0.020000,0.385230,-0.292493,0.385990,1.269463,2.157156,0.236471,0.065795
0.020000,0.411423,-0.290703,0.412244,1.312728,2.163259,0.305146,0.070713
0.020000,0.438473,-0.288717,0.439366,1.356113,2.169269,0.300465,0.075856
0.020000,0.466378,-0.286521,0.467358,1.399573,2.172987,0.185930,0.081232
0.020000,0.495139,-0.284098,0.496221,1.443162,2.179445,0.322901,0.086849
0.020000,0.524757,-0.281432,0.525959,1.486907,2.187235,0.389496,0.092715
0.020000,0.555233,-0.278504,0.556575,1.530790,2.194170,0.346754,0.098840
0.020000,0.586565,-0.275296,0.588071,1.574795,2.200249,0.303923,0.105233
0.020000,0.618753,-0.271788,0.620449,1.618910,2.205767,0.275943,0.111903
0.020000,0.651797,-0.267959,0.653715,1.663290,2.218999,0.661565,0.118861
0.020000,0.685697,-0.263786,0.687870,1.707754,2.223166,0.208367,0.126119
0.020000,0.720450,-0.259246,0.722918,1.752412,2.232933,0.488363,0.133687
0.020000,0.756055,-0.254315,0.758863,1.797254,2.242074,0.457009,0.141578
0.020000,0.792510,-0.248966,0.795709,1.842299,2.252245,0.508588,0.149805
0.020000,0.829815,-0.243172,0.833461,1.887570,2.263543,0.564890,0.158381
0.020000,0.867964,-0.236905,0.872121,1.933032,2.273131,0.479384,0.167321
0.020000,0.906954,-0.230133,0.911696,1.978718,2.284312,0.559041,0.176639
0.020000,0.946782,-0.222825,0.952189,2.024647,2.296406,0.604729,0.186350
0.020000,0.987442,-0.214946,0.993605,2.070796,2.307477,0.553544,0.196472
0.020000,1.028929,-0.206461,1.035951,2.117294,2.324876,0.869932,0.207021
0.020000,1.071235,-0.197334,1.079230,2.163965,2.333571,0.434788,0.218015
0.020000,1.114352,-0.187523,1.123449,2.210951,2.349295,0.786194,0.229471
0.020000,1.158271,-0.176988,1.168613,2.258227,2.363779,0.724187,0.241410
0.020000,1.202980,-0.165686,1.214729,2.305767,2.377046,0.663355,0.253850
0.020000,1.248468,-0.153570,1.261803,2.353703,2.396760,0.985684,0.266812
0.020000,1.294719,-0.140593,1.309840,2.401872,2.408475,0.585777,0.280317
0.020000,1.341718,-0.126705,1.358848,2.450381,2.425434,0.847938,0.294385
0.020000,1.389444,-0.111853,1.408832,2.499197,2.440808,0.768709,0.309037
0.020000,1.437879,-0.095983,1.459800,2.548411,2.460681,0.993632,0.324296
0.020000,1.486995,-0.079038,1.511757,2.597872,2.473076,0.619756,0.340182
0.020000,1.536767,-0.060959,1.564711,2.647679,2.490356,0.863989,0.356717
0.020000,1.587163,-0.041685,1.618667,2.697786,2.505341,0.749258,0.373920
0.020000,1.638148,-0.021153,1.673631,2.748215,2.521424,0.804139,0.391811
0.020000,1.689684,0.000701,1.729609,2.798889,2.533704,0.614026,0.410409
0.020000,1.741726,0.023944,1.786606,2.849837,2.547436,0.686560,0.429729
0.020000,1.794226,0.048643,1.844625,2.900992,2.557730,0.514711,0.449786
0.020000,1.847131,0.074865,1.903672,2.952311,2.565929,0.409937,0.470592
0.020000,1.900380,0.102677,1.963747,3.003763,2.572612,0.334163,0.492154
0.020000,1.953909,0.132149,2.024853,3.055296,2.576653,0.202076,0.514476
0.020000,2.007646,0.163346,2.086989,3.106812,2.575786,-0.043343,0.537560
0.020000,2.061514,0.196331,2.150153,3.158222,2.570519,-0.263349,0.561398
0.020000,2.115428,0.231168,2.214343,3.209485,2.563174,-0.367282,0.585980
0.020000,2.169299,0.267913,2.279553,3.260470,2.549214,-0.698007,0.611288
0.020000,2.223030,0.306619,2.345774,3.311080,2.530517,-0.934830,0.637296
0.020000,2.276521,0.347335,2.412998,3.361177,2.504836,-1.284057,0.663973
0.020000,2.329664,0.390100,2.481211,3.410690,2.475688,-1.457405,0.691279
0.020000,2.382350,0.434948,2.550401,3.459459,2.438444,-1.862169,0.719166
0.020000,2.434465,0.481903,2.620548,3.507387,2.396382,-2.103127,0.747577
0.020000,2.485731,0.530820,2.691408,3.542966,1.778928,-30.872677,0.776359
0.020000,2.535654,0.581285,2.762394,3.549319,0.317648,-73.064024,0.805212
0.020000,2.583795,0.632829,2.832923,3.526421,-1.144871,-73.125968,0.833836
0.020000,2.629904,0.685100,2.902624,3.485098,-2.066135,-46.063162,0.862022
0.020000,2.673919,0.737896,2.971362,3.436852,-2.412300,-17.308240,0.889662
0.020000,2.715867,0.791106,3.039118,3.387812,-2.452039,-1.986951,0.916704
0.020000,2.755783,0.844620,3.105879,3.338071,-2.487047,-1.750422,0.943102
0.020000,2.793712,0.898335,3.171635,3.287790,-2.514047,-1.349994,0.968820
0.020000,2.829701,0.952151,3.236376,3.237049,-2.537042,-1.149741,0.993828
0.020000,2.863807,1.005975,3.300095,3.185970,-2.553941,-0.844990,1.018104
0.020000,2.896088,1.059718,3.362789,3.134679,-2.564532,-0.529540,1.041634
0.020000,2.926607,1.113301,3.424453,3.083205,-2.573703,-0.458554,1.064407
0.020000,2.955429,1.166647,3.485087,3.031715,-2.574505,-0.040091,1.086420
0.020000,2.982620,1.219688,3.544692,2.980246,-2.573487,0.050913,1.107675
0.020000,3.008249,1.272361,3.603269,2.928827,-2.570940,0.127330,1.128177
0.020000,3.032382,1.324608,3.660821,2.877596,-2.561562,0.468938,1.147937
0.020000,3.055087,1.376379,3.717351,2.826535,-2.553029,0.426635,1.166965
0.020000,3.076431,1.427626,3.772866,2.775708,-2.541349,0.583983,1.185279
0.020000,3.096479,1.478307,3.827368,2.725142,-2.528320,0.651445,1.202894
0.020000,3.115295,1.528387,3.880866,2.674866,-2.513755,0.728277,1.219829
0.020000,3.132941,1.577829,3.933363,2.624861,-2.500285,0.673471,1.236103
0.020000,3.149477,1.626606,3.984866,2.575171,-2.484467,0.790921,1.251738
0.020000,3.164961,1.674692,4.035383,2.525845,-2.466315,0.907596,1.266755
0.020000,3.179448,1.722062,4.084919,2.476796,-2.452443,0.693577,1.281174
0.020000,3.192994,1.768696,4.133481,2.428102,-2.434699,0.887203,1.295018
0.020000,3.205648,1.814578,4.181076,2.379728,-2.418694,0.800258,1.308306
0.020000,3.217460,1.859690,4.227709,2.331653,-2.403765,0.746471,1.321061
0.020000,3.228477,1.904020,4.273387,2.283908,-2.387247,0.825873,1.333301
0.020000,3.238744,1.947554,4.318116,2.236438,-2.373517,0.686521,1.345048
0.020000,3.248303,1.990284,4.361902,2.189298,-2.356995,0.826074,1.356321
0.020000,3.257196,2.032199,4.404750,2.142415,-2.344143,0.642641,1.367138
0.020000,3.265460,2.073293,4.446666,2.095811,-2.330196,0.697347,1.377517
0.020000,3.273132,2.113558,4.487656,2.049484,-2.316343,0.692651,1.387476
0.020000,3.280247,2.152989,4.527724,2.003411,-2.303655,0.634393,1.397032
0.020000,3.286839,2.191582,4.566876,1.957568,-2.292144,0.575521,1.406199
0.020000,3.292938,2.229332,4.605115,1.911976,-2.279603,0.627080,1.414995
0.020000,3.298575,2.266236,4.642447,1.866586,-2.269521,0.504074,1.423432
0.020000,3.303777,2.302291,4.678875,1.821435,-2.257555,0.598321,1.431526
0.020000,3.308573,2.337495,4.714404,1.776434,-2.250059,0.374809,1.439288
0.020000,3.312986,2.371846,4.749038,1.731675,-2.237918,0.607025,1.446733
0.020000,3.317041,2.405343,4.782779,1.687075,-2.229989,0.396464,1.453871
0.020000,3.320762,2.437984,4.815632,1.642631,-2.222208,0.389057,1.460714
0.020000,3.324170,2.469770,4.847600,1.598416,-2.210765,0.572129,1.467274
0.020000,3.327284,2.500699,4.878686,1.554292,-2.206194,0.228579,1.473559
