dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.446557,1.295129,0.000199,0.019853,0.992632,49.631579,1.492237
0.020000,2.446563,1.295194,0.000264,0.003259,-0.829679,-91.115520,1.492023
0.020000,2.446619,1.295907,0.000979,0.035782,1.626159,122.791896,1.491596
0.020000,2.446824,1.298476,0.003557,0.128865,4.654143,151.399213,1.490956
0.020000,2.447099,1.301901,0.006992,0.171787,2.146107,-125.401816,1.490105
0.020000,2.447448,1.306181,0.011286,0.214683,2.144774,-0.066644,1.489045
0.020000,2.447872,1.311314,0.016437,0.257543,2.143038,-0.086805,1.487778
0.020000,2.448374,1.317300,0.022444,0.300361,2.140887,-0.107572,1.486307
0.020000,2.448959,1.324138,0.029307,0.343131,2.138483,-0.120155,1.484634
0.020000,2.449630,1.331825,0.037024,0.385843,2.135616,-0.143351,1.482764
0.020000,2.450393,1.340361,0.045593,0.428493,2.132497,-0.155965,1.480701
0.020000,2.451251,1.349744,0.055015,0.471072,2.128942,-0.177736,1.478450
0.020000,2.452210,1.359970,0.065286,0.513571,2.124942,-0.200021,1.476015
0.020000,2.453277,1.371038,0.076406,0.555985,2.120685,-0.212853,1.473402
0.020000,2.454457,1.382946,0.088372,0.598303,2.115934,-0.237558,1.470618
0.020000,2.455757,1.395690,0.101183,0.640521,2.110879,-0.252763,1.467669
0.020000,2.457184,1.409268,0.114835,0.682628,2.105373,-0.275290,1.464563
0.020000,2.458744,1.423676,0.129327,0.724617,2.099441,-0.296607,1.461306
0.020000,2.460445,1.438911,0.144657,0.766481,2.093179,-0.313098,1.457908
0.020000,2.462295,1.454969,0.160821,0.808209,2.086424,-0.337716,1.454377
0.020000,2.464300,1.471847,0.177817,0.849795,2.079310,-0.355692,1.450723
0.020000,2.466468,1.489539,0.195642,0.891230,2.071758,-0.377645,1.446955
0.020000,2.468808,1.508042,0.214292,0.932506,2.063784,-0.398705,1.443085
0.020000,2.471326,1.527350,0.233764,0.973615,2.055423,-0.418028,1.439122
0.020000,2.474031,1.547460,0.254055,1.014547,2.046601,-0.441107,1.435078
0.020000,2.476930,1.568366,0.275161,1.055294,2.037385,-0.460781,1.430967
0.020000,2.480030,1.590063,0.297078,1.095849,2.027751,-0.481714,1.426799
0.020000,2.483339,1.612545,0.319802,1.136204,2.017710,-0.502055,1.422589
0.020000,2.486862,1.635806,0.343329,1.176349,2.007258,-0.522609,1.418350
0.020000,2.490608,1.659842,0.367655,1.216277,1.996400,-0.542881,1.414096
0.020000,2.494581,1.684645,0.392774,1.255980,1.985143,-0.562860,1.409843
0.020000,2.498788,1.710210,0.418683,1.295450,1.973498,-0.582244,1.405605
0.020000,2.503233,1.736531,0.445377,1.334679,1.961469,-0.601442,1.401398
0.020000,2.507921,1.763601,0.472850,1.373660,1.949056,-0.620630,1.397239
0.020000,2.512857,1.791414,0.501098,1.412385,1.936273,-0.639156,1.393144
0.020000,2.518042,1.819964,0.530115,1.450848,1.923124,-0.657456,1.389130
0.020000,2.523481,1.849244,0.559895,1.489040,1.909617,-0.675373,1.385216
0.020000,2.529173,1.879248,0.590434,1.526955,1.895751,-0.693278,1.381419
0.020000,2.535120,1.909970,0.621726,1.564586,1.881542,-0.710483,1.377759
0.020000,2.541322,1.941402,0.653765,1.601926,1.866979,-0.728116,1.374254
0.020000,2.547778,1.973540,0.686544,1.638967,1.852083,-0.744801,1.370923
0.020000,2.554484,2.006376,0.720058,1.675704,1.836841,-0.762103,1.367787
0.020000,2.561438,2.039905,0.754301,1.712129,1.821248,-0.779673,1.364867
0.020000,2.568634,2.074121,0.789265,1.748236,1.805326,-0.796086,1.362182
0.020000,2.576067,2.109019,0.824946,1.784016,1.789038,-0.814380,1.359755
0.020000,2.583729,2.144592,0.861335,1.819465,1.772411,-0.831353,1.357608
0.020000,2.591611,2.180836,0.898427,1.854573,1.755413,-0.849926,1.355762
0.020000,2.599703,2.217746,0.936213,1.889334,1.738038,-0.868721,1.354241
0.020000,2.607993,2.255317,0.974688,1.923740,1.720289,-0.887469,1.353067
0.020000,2.616468,2.293545,1.013844,1.957782,1.702135,-0.907678,1.352265
0.020000,2.625112,2.332425,1.053673,1.991454,1.683577,-0.927945,1.351859
0.020000,2.633909,2.371953,1.094168,2.024746,1.664591,-0.949277,1.351873
0.020000,2.642838,2.412125,1.135321,2.057649,1.645169,-0.971086,1.352334
0.020000,2.651881,2.452939,1.177124,2.090155,1.625297,-0.993595,1.353268
0.020000,2.661013,2.494390,1.219569,2.122254,1.604968,-1.016473,1.354700
0.020000,2.670211,2.536475,1.262648,2.153938,1.584173,-1.039729,1.356659
0.020000,2.679446,2.579192,1.306351,2.185196,1.562916,-1.062868,1.359172
0.020000,2.688691,2.622538,1.350672,2.216020,1.541202,-1.085721,1.362267
0.020000,2.697912,2.666509,1.395600,2.246401,1.519051,-1.107547,1.365975
0.020000,2.707077,2.711104,1.441127,2.276331,1.496493,-1.127888,1.370324
0.020000,2.716149,2.756318,1.487243,2.305803,1.473581,-1.145603,1.375344
0.020000,2.725090,2.802151,1.533939,2.334810,1.450377,-1.160186,1.381067
0.020000,2.733857,2.848598,1.581206,2.363350,1.426974,-1.170149,1.387521
0.020000,2.742406,2.895656,1.629034,2.391420,1.403501,-1.173639,1.394740
0.020000,2.750692,2.943321,1.677415,2.419022,1.380110,-1.169580,1.402752
0.020000,2.758664,2.991591,1.726338,2.446162,1.356997,-1.155645,1.411589
0.020000,2.766271,3.040459,1.775795,2.472850,1.334402,-1.129755,1.421280
0.020000,2.773459,3.089922,1.825777,2.499102,1.312634,-1.088374,1.431853
0.020000,2.780169,3.139973,1.876276,2.524943,1.292015,-1.030953,1.443336
0.020000,2.786342,3.190606,1.927284,2.550403,1.272999,-0.950821,1.455754
0.020000,2.791916,3.241814,1.978794,2.575522,1.255983,-0.850808,1.469128
0.020000,2.796194,3.288682,2.025857,2.353130,-11.119612,-618.779710,1.494135
0.020000,2.799190,3.336969,2.074237,2.419028,3.294885,720.724841,1.522985
0.020000,2.800904,3.386868,2.124166,2.496415,3.869378,28.724661,1.549363
0.020000,2.801383,3.438395,2.175695,2.576465,4.002456,6.653903,1.573094
