dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.424456,1.108228,0.000199,0.019853,0.992632,49.631579,0.130971
0.020000,2.424456,1.108228,0.000993,0.059558,1.985263,49.631579,0.131967
0.020000,2.425569,1.108377,0.002581,0.099263,1.985263,0.000000,0.133966
0.020000,2.427929,1.108699,0.004963,0.138968,1.985263,-0.000000,0.136989
0.020000,2.431075,1.109139,0.008140,0.178674,1.985263,0.000000,0.141067
0.020000,2.435005,1.109707,0.012110,0.218379,1.985263,-0.000000,0.146242
0.020000,2.439716,1.110416,0.016875,0.258084,1.985263,0.000000,0.152569
0.020000,2.445207,1.111282,0.022433,0.297789,1.985263,-0.000000,0.160116
0.020000,2.451474,1.112322,0.028786,0.337495,1.985263,0.000000,0.168965
0.020000,2.458513,1.113560,0.035933,0.377200,1.985263,0.000000,0.179217
0.020000,2.466318,1.115021,0.043874,0.416905,1.985263,0.000000,0.190989
0.020000,2.474883,1.116737,0.052609,0.456611,1.985263,0.000000,0.204424
0.020000,2.484199,1.118742,0.062139,0.496316,1.985263,-0.000000,0.219686
0.020000,2.494254,1.121078,0.072462,0.536021,1.985263,0.000000,0.236971
0.020000,2.505035,1.123792,0.083580,0.575726,1.985263,-0.000000,0.256506
0.020000,2.516523,1.126940,0.095491,0.615432,1.985263,0.000000,0.278553
0.020000,2.528695,1.130583,0.108197,0.655137,1.985263,-0.000000,0.303416
0.020000,2.541521,1.134795,0.121697,0.694842,1.985263,0.000000,0.331442
0.020000,2.554962,1.139657,0.135991,0.734547,1.985263,0.000000,0.363021
0.020000,2.568969,1.145261,0.151079,0.774253,1.985263,-0.000000,0.398578
0.020000,2.583480,1.151713,0.166961,0.813958,1.985263,0.000000,0.438569
0.020000,2.598416,1.159127,0.183637,0.853663,1.985263,-0.000000,0.483449
0.020000,2.613676,1.167629,0.201107,0.893368,1.985263,0.000000,0.533627
0.020000,2.629137,1.177348,0.219372,0.933074,1.985263,0.000000,0.589406
0.020000,2.644647,1.188419,0.238430,0.972779,1.985263,0.000000,0.650878
0.020000,2.660029,1.200963,0.258283,1.012484,1.985263,-0.000000,0.717813
0.020000,2.675083,1.215087,0.278929,1.052189,1.985263,0.000000,0.789546
0.020000,2.689593,1.230865,0.300370,1.091895,1.985263,0.000000,0.864904
0.020000,2.703347,1.248329,0.322605,1.131600,1.985263,-0.000000,0.942234
0.020000,2.716148,1.267465,0.345634,1.171305,1.985263,0.000000,1.019547
0.020000,2.727841,1.288215,0.369457,1.211011,1.985263,-0.000000,1.094766
0.020000,2.738321,1.310484,0.394075,1.250716,1.985263,0.000000,1.165998
0.020000,2.747538,1.334160,0.419486,1.290421,1.985263,0.000000,1.231745
0.020000,2.755498,1.359123,0.445692,1.330126,1.985263,-0.000000,1.290987
0.020000,2.762256,1.385261,0.472691,1.369832,1.985263,0.000000,1.343158
0.020000,2.767899,1.412473,0.500485,1.409537,1.985263,-0.000000,1.388045
0.020000,2.772545,1.440679,0.529073,1.449242,1.985263,0.000000,1.425657
0.020000,2.776332,1.469815,0.558455,1.488947,1.985263,0.000000,1.456115
0.020000,2.779415,1.499832,0.588631,1.528653,1.985263,-0.000000,1.479544
0.020000,2.781964,1.530697,0.619601,1.568358,1.985263,0.000000,1.496004
0.020000,2.784169,1.562384,0.651365,1.608063,1.985263,-0.000000,1.505428
0.020000,2.786240,1.594877,0.683923,1.647768,1.985263,0.000000,1.507567
0.020000,2.788419,1.628158,0.717276,1.687474,1.985263,-0.000000,1.501938
0.020000,2.790985,1.662207,0.751422,1.727179,1.985263,0.000000,1.487761
0.020000,2.794270,1.696992,0.786363,1.766884,1.985263,0.000000,1.463883
0.020000,2.798673,1.732453,0.822097,1.806589,1.985263,-0.000000,1.428703
0.020000,2.804682,1.768481,0.858626,1.846295,1.985263,0.000000,1.380115
0.020000,2.812885,1.804884,0.895949,1.886000,1.985263,-0.000000,1.315556
0.020000,2.823976,1.841341,0.934066,1.925705,1.985263,0.000000,1.232330
0.020000,2.837766,1.876198,0.972977,1.965411,1.985263,-0.000000,1.182697
0.020000,2.852455,1.913085,1.012683,2.005116,1.985263,0.000000,1.200878
0.020000,2.866754,1.950976,1.053182,2.044821,1.985263,-0.000000,1.218943
0.020000,2.880636,1.989865,1.094476,2.084526,1.985263,0.000000,1.236824
0.020000,2.894079,2.029748,1.136563,2.124232,1.985263,0.000000,1.254457
0.020000,2.907063,2.070616,1.179445,2.163937,1.985263,0.000000,1.271774
0.020000,2.919573,2.112461,1.223121,2.203642,1.985263,0.000000,1.288706
0.020000,2.931596,2.155274,1.267591,2.243347,1.985263,-0.000000,1.305188
0.020000,2.943126,2.199045,1.312855,2.283053,1.985263,0.000000,1.321154
0.020000,2.954158,2.243762,1.358913,2.322758,1.985263,-0.000000,1.336537
0.020000,2.964693,2.289413,1.405765,2.362463,1.985263,-0.000000,1.351276
0.020000,2.974739,2.335988,1.453411,2.402168,1.985263,0.000000,1.365309
0.020000,2.984304,2.383475,1.501852,2.441874,1.985263,-0.000000,1.378575
0.020000,2.993404,2.431861,1.551086,2.481579,1.985263,0.000000,1.391017
0.020000,3.002061,2.481134,1.601115,2.521284,1.985263,0.000000,1.402580
0.020000,3.010299,2.531285,1.651937,2.560989,1.985263,0.000000,1.413208
0.020000,3.018148,2.582301,1.703554,2.600695,1.985263,0.000000,1.422848
0.020000,3.025646,2.634173,1.755965,2.640400,1.985263,-0.000000,1.431450
0.020000,3.032833,2.686890,1.809170,2.680105,1.985263,0.000000,1.438961
0.020000,3.039755,2.740444,1.863169,2.719811,1.985263,-0.000000,1.445329
0.020000,3.046465,2.794824,1.917963,2.759516,1.985263,0.000000,1.450505
0.020000,3.053021,2.850024,1.973550,2.799221,1.985263,0.000000,1.454435
0.020000,3.059487,2.906033,2.029932,2.838926,1.985263,0.000000,1.457067
0.020000,3.065933,2.962844,2.087107,2.878632,1.985263,0.000000,1.458344
0.020000,3.072435,3.020448,2.145077,2.918337,1.985263,0.000000,1.458211
0.020000,3.079076,3.078835,2.203841,2.958042,1.985263,0.000000,1.456609
0.020000,3.085947,3.137996,2.263399,2.997747,1.985263,0.000000,1.453474
0.020000,3.093146,3.197917,2.323751,3.037453,1.985263,-0.000000,1.448744
0.020000,3.100233,3.256939,2.384897,3.077158,1.985263,0.000000,1.464238
0.020000,3.105716,3.318633,2.446837,3.116863,1.985263,-0.000000,1.499500
0.020000,3.109158,3.381270,2.509571,3.156568,1.985263,0.000000,1.531723
0.020000,3.110701,3.444778,2.573100,3.196274,1.985263,0.000000,1.560648
0.020000,3.110515,3.509098,2.637422,3.235979,1.985263,0.000000,1.586072
0.020000,3.108790,3.574191,2.702539,3.275684,1.985263,0.000000,1.607838
0.020000,3.105735,3.640030,2.768449,3.315389,1.985263,0.000000,1.625821
0.020000,3.101575,3.706604,2.835154,3.355095,1.985263,0.000000,1.639916
0.020000,3.096549,3.773915,2.902653,3.394800,1.985263,0.000000,1.650023
0.020000,3.090916,3.841976,2.970946,3.434505,1.985263,-0.000000,1.656038
0.020000,3.084947,3.910804,3.040033,3.474211,1.985263,0.000000,1.657841
0.020000,3.078935,3.980427,3.109915,3.513916,1.985263,0.000000,1.655295
0.020000,3.073192,4.050868,3.180590,3.553621,1.985263,0.000000,1.648236
0.020000,3.068054,4.122152,3.252060,3.593326,1.985263,0.000000,1.636474
0.020000,3.063884,4.194295,3.324323,3.633032,1.985263,0.000000,1.619801
0.020000,3.061071,4.267297,3.397381,3.672737,1.985263,0.000000,1.597999
0.020000,3.060032,4.341139,3.471233,3.712442,1.985263,0.000000,1.570857
0.020000,3.061214,4.415772,3.545879,3.752147,1.985263,0.000000,1.538206
0.020000,3.065066,4.490910,3.621120,3.772000,0.992632,-49.631579,1.500062
0.020000,3.071995,4.566025,3.696560,3.772000,0.000000,-49.631579,1.456746
0.020000,3.082349,4.640744,3.772000,3.772000,0.000000,0.000000,1.408722
0.020000,3.096435,4.714849,3.847440,3.772000,0.000000,0.000000,1.356560
0.020000,3.114493,4.788085,3.922880,3.772000,0.000000,0.000000,1.301035
0.020000,3.136681,4.860178,3.998320,3.772000,0.000000,0.000000,1.243104
0.020000,3.161986,4.928286,4.073760,3.772000,0.000000,0.000000,1.191680
0.020000,3.190671,4.998059,4.149200,3.772000,0.000000,0.000000,1.169608
0.020000,3.220931,5.067162,4.224640,3.772000,0.000000,0.000000,1.146271
0.020000,3.252841,5.135519,4.300080,3.772000,0.000000,0.000000,1.121592
0.020000,3.286475,5.203043,4.375520,3.772000,0.000000,0.000000,1.095497
0.020000,3.321909,5.269641,4.450960,3.772000,0.000000,0.000000,1.067912
