dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.464262,0.806038,0.000199,0.019853,0.992632,49.631579,0.130971
0.020000,2.464563,0.806078,0.000502,0.015175,-0.233891,-61.326135,0.131967
0.020000,2.466279,0.806308,0.002234,0.086614,3.571959,190.292506,0.133966
0.020000,2.469553,0.806754,0.005538,0.165192,3.928902,17.847149,0.136989
0.020000,2.473930,0.807367,0.009958,0.220970,2.788876,-57.001314,0.141067
0.020000,2.479421,0.808161,0.015505,0.277398,2.821411,1.626756,0.146242
0.020000,2.486039,0.809157,0.022199,0.334652,2.862687,2.063831,0.152569
0.020000,2.493802,0.810381,0.030058,0.392949,2.914898,2.610517,0.160116
0.020000,2.502730,0.811863,0.039107,0.452492,2.977132,3.111713,0.168965
0.020000,2.512846,0.813642,0.049379,0.513585,3.054634,3.875094,0.179217
0.020000,2.524179,0.815763,0.060908,0.576454,3.143475,4.442050,0.190989
0.020000,2.536759,0.818283,0.073738,0.641501,3.252357,5.444127,0.204424
0.020000,2.550622,0.821267,0.087919,0.709040,3.376913,6.227767,0.219686
0.020000,2.565809,0.824796,0.103511,0.779585,3.527246,7.516653,0.236971
0.020000,2.582364,0.828965,0.120582,0.853581,3.699798,8.627610,0.256506
0.020000,2.600333,0.833889,0.139213,0.931558,3.898848,9.952484,0.278553
0.020000,2.619764,0.839706,0.159497,1.014170,4.130630,11.589125,0.303416
0.020000,2.640705,0.846584,0.181538,1.102073,4.395121,13.224529,0.331442
0.020000,2.663196,0.854721,0.205456,1.195896,4.691186,14.803266,0.363021
0.020000,2.687265,0.864354,0.231381,1.296225,5.016460,16.263705,0.398578
0.020000,2.712912,0.875759,0.259450,1.403468,5.362136,17.283810,0.438569
0.020000,2.740098,0.889258,0.289803,1.517648,5.708988,17.342577,0.483449
0.020000,2.768716,0.905206,0.322564,1.638055,6.020365,15.568871,0.533627
0.020000,2.798566,0.923977,0.357826,1.763078,6.251112,11.537303,0.589406
0.020000,2.829321,0.945934,0.395615,1.889455,6.318890,3.388923,0.650878
