dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.404469,1.576008,0.000199,0.019917,0.995830,49.791491,6.281918
0.020000,2.404409,1.576008,0.000259,0.003001,-0.845783,-92.080659,6.282115
0.020000,2.404289,1.576009,0.000379,0.006007,0.150320,49.805168,6.282509
0.020000,2.404109,1.576009,0.000560,0.009025,0.150868,0.027403,6.283101
0.020000,2.406717,1.576010,0.003168,0.130422,6.069869,295.950024,0.000708
0.020000,2.410397,1.576014,0.006848,0.184001,2.678948,-169.546017,0.001702
0.020000,2.414811,1.576024,0.011262,0.220701,1.835015,-42.196668,0.002902
0.020000,2.419959,1.576043,0.016410,0.257374,1.833629,-0.069292,0.004310
0.020000,2.425838,1.576073,0.022289,0.293963,1.829469,-0.207985,0.005933
0.020000,2.432446,1.576118,0.028897,0.330413,1.822480,-0.349453,0.007773
0.020000,2.439783,1.576183,0.036235,0.366884,1.823564,0.054191,0.009839
0.020000,2.447845,1.576271,0.044297,0.403108,1.811202,-0.618110,0.012135
0.020000,2.456632,1.576389,0.053085,0.439392,1.814168,0.148314,0.014669
0.020000,2.466139,1.576542,0.062594,0.475433,1.802087,-0.604059,0.017451
0.020000,2.476365,1.576736,0.072821,0.511347,1.795674,-0.320667,0.020490
0.020000,2.487305,1.576978,0.083764,0.547181,1.791707,-0.198327,0.023795
0.020000,2.498955,1.577276,0.095417,0.582658,1.773845,-0.893100,0.027379
0.020000,2.511312,1.577638,0.107780,0.618150,1.774592,0.037330,0.031255
0.020000,2.524371,1.578074,0.120846,0.653272,1.756140,-0.922587,0.035436
0.020000,2.538125,1.578592,0.134610,0.688194,1.746097,-0.502151,0.039940
0.020000,2.552568,1.579204,0.149066,0.722829,1.731713,-0.719201,0.044783
0.020000,2.567696,1.579921,0.164211,0.757219,1.719517,-0.609812,0.049985
0.020000,2.583498,1.580756,0.180035,0.791229,1.700496,-0.951019,0.055568
0.020000,2.599969,1.581721,0.196534,0.824941,1.685627,-0.743477,0.061555
0.020000,2.617096,1.582832,0.213698,0.858172,1.661535,-1.204605,0.067974
0.020000,2.634870,1.584103,0.231516,0.890948,1.638799,-1.136768,0.074852
0.020000,2.653281,1.585552,0.249984,0.923376,1.621415,-0.869223,0.082224
0.020000,2.672311,1.587195,0.269085,0.955057,1.584005,-1.870465,0.090125
