dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.404083,1.271209,0.000199,0.019917,0.995830,49.791491,6.281918
0.020000,2.404083,1.271209,0.000996,0.059750,1.991660,49.791491,6.282115
0.020000,2.404083,1.271209,0.002589,0.099583,1.991660,0.000000,6.282509
0.020000,2.404083,1.271209,0.004979,0.139416,1.991660,-0.000000,6.283101
0.020000,2.406933,1.271210,0.008166,0.179249,1.991660,0.000000,0.000708
0.020000,2.410916,1.271214,0.012149,0.219083,1.991660,0.000000,0.001702
0.020000,2.415696,1.271225,0.016929,0.258916,1.991660,0.000000,0.002902
0.020000,2.421272,1.271246,0.022506,0.298749,1.991660,0.000000,0.004310
0.020000,2.427646,1.271278,0.028879,0.338582,1.991660,-0.000000,0.005933
0.020000,2.434815,1.271327,0.036049,0.378415,1.991660,0.000000,0.007773
0.020000,2.442782,1.271397,0.044016,0.418249,1.991660,0.000000,0.009839
0.020000,2.451543,1.271494,0.052779,0.458082,1.991660,0.000000,0.012135
0.020000,2.461103,1.271622,0.062339,0.497915,1.991660,0.000000,0.014669
0.020000,2.471458,1.271788,0.072696,0.537748,1.991660,0.000000,0.017451
0.020000,2.482609,1.272000,0.083849,0.577581,1.991660,-0.000000,0.020490
0.020000,2.494558,1.272264,0.095799,0.617414,1.991660,0.000000,0.023795
0.020000,2.507299,1.272590,0.108545,0.657248,1.991660,0.000000,0.027379
0.020000,2.520837,1.272987,0.122089,0.697081,1.991660,0.000000,0.031255
0.020000,2.535169,1.273465,0.136429,0.736914,1.991660,0.000000,0.035436
0.020000,2.550295,1.274035,0.151565,0.776747,1.991660,-0.000000,0.039940
0.020000,2.566214,1.274710,0.167499,0.816580,1.991660,0.000000,0.044783
0.020000,2.582925,1.275502,0.184229,0.856414,1.991660,0.000000,0.049985
0.020000,2.600427,1.276426,0.201755,0.896247,1.991660,0.000000,0.055568
0.020000,2.618719,1.277499,0.220078,0.936080,1.991660,-0.000000,0.061555
0.020000,2.637799,1.278736,0.239198,0.975913,1.991660,0.000000,0.067974
0.020000,2.657664,1.280157,0.259115,1.015746,1.991660,0.000000,0.074852
0.020000,2.678314,1.281781,0.279828,1.055580,1.991660,0.000000,0.082224
0.020000,2.699744,1.283632,0.301338,1.095413,1.991660,-0.000000,0.090125
0.020000,2.721951,1.285733,0.323645,1.135246,1.991660,0.000000,0.098597
0.020000,2.744932,1.288111,0.346748,1.175079,1.991660,-0.000000,0.107683
0.020000,2.768680,1.290795,0.370648,1.214912,1.991660,0.000000,0.117434
0.020000,2.793192,1.293816,0.395344,1.254746,1.991660,0.000000,0.127907
0.020000,2.818458,1.297209,0.420838,1.294579,1.991660,0.000000,0.139164
0.020000,2.844470,1.301012,0.447128,1.334412,1.991660,0.000000,0.151276
0.020000,2.871221,1.305268,0.474214,1.374245,1.991660,0.000000,0.164323
0.020000,2.898696,1.310021,0.502097,1.414078,1.991660,0.000000,0.178394
0.020000,2.926881,1.315322,0.530777,1.453912,1.991660,0.000000,0.193588
0.020000,2.955760,1.321229,0.560254,1.493745,1.991660,-0.000000,0.210020
0.020000,2.985310,1.327801,0.590527,1.533578,1.991660,0.000000,0.227815
0.020000,3.015508,1.335107,0.621597,1.573411,1.991660,-0.000000,0.247117
0.020000,3.046324,1.343222,0.653464,1.613244,1.991660,0.000000,0.268086
0.020000,3.077719,1.352229,0.686127,1.653077,1.991660,0.000000,0.290902
0.020000,3.109653,1.362219,0.719587,1.692911,1.991660,0.000000,0.315763
0.020000,3.142068,1.373292,0.753843,1.732744,1.991660,0.000000,0.342891
0.020000,3.174904,1.385560,0.788896,1.772577,1.991660,0.000000,0.372526
0.020000,3.208080,1.399140,0.824746,1.812410,1.991660,0.000000,0.404925
0.020000,3.241503,1.414164,0.861393,1.852243,1.991660,0.000000,0.440361
0.020000,3.275060,1.430770,0.898836,1.892077,1.991660,-0.000000,0.479106
0.020000,3.308616,1.449103,0.937076,1.931910,1.991660,0.000000,0.521422
0.020000,3.342009,1.469312,0.976112,1.971743,1.991660,-0.000000,0.567533
0.020000,3.375053,1.491548,1.015946,2.011576,1.991660,0.000000,0.617597
0.020000,3.407531,1.515952,1.056575,2.051409,1.991660,-0.000000,0.671661
0.020000,3.439200,1.542649,1.098002,2.091243,1.991660,0.000000,0.729621
0.020000,3.469794,1.571739,1.140225,2.131076,1.991660,-0.000000,0.791172
0.020000,3.499033,1.603286,1.183245,2.170909,1.991660,0.000000,0.855776
0.020000,3.526635,1.637305,1.227062,2.210742,1.991660,-0.000000,0.922658
0.020000,3.552333,1.673762,1.271675,2.250575,1.991660,0.000000,0.990837
0.020000,3.575895,1.712570,1.317085,2.290409,1.991660,0.000000,1.059199
0.020000,3.597133,1.753597,1.363291,2.330242,1.991660,0.000000,1.126598
0.020000,3.615918,1.796674,1.410294,2.370075,1.991660,-0.000000,1.191967
0.020000,3.632182,1.841613,1.458094,2.409908,1.991660,0.000000,1.254410
0.020000,3.645916,1.888221,1.506691,2.449741,1.991660,0.000000,1.313254
0.020000,3.657161,1.936311,1.556084,2.489575,1.991660,-0.000000,1.368065
0.020000,3.665999,1.985711,1.606273,2.529408,1.991660,0.000000,1.418627
0.020000,3.672538,2.036272,1.657260,2.569241,1.991660,0.000000,1.464901
0.020000,3.676906,2.087867,1.709043,2.609074,1.991660,0.000000,1.506978
0.020000,3.679240,2.140391,1.761623,2.648907,1.991660,-0.000000,1.545039
0.020000,3.679682,2.193763,1.814999,2.688741,1.991660,0.000000,1.579311
0.020000,3.678371,2.247919,1.869173,2.728574,1.991660,0.000000,1.610045
0.020000,3.675444,2.302809,1.924142,2.768407,1.991660,-0.000000,1.637492
0.020000,3.671034,2.358399,1.979909,2.808240,1.991660,0.000000,1.661893
0.020000,3.665267,2.414667,2.036472,2.848073,1.991660,-0.000000,1.683470
0.020000,3.658264,2.471597,2.093832,2.887906,1.991660,0.000000,1.702420
0.020000,3.650144,2.529183,2.151988,2.927740,1.991660,-0.000000,1.718917
0.020000,3.641019,2.587425,2.210941,2.967573,1.991660,0.000000,1.733104
0.020000,3.630999,2.646328,2.270691,3.007406,1.991660,-0.000000,1.745101
0.020000,3.620193,2.705902,2.331238,3.047239,1.991660,0.000000,1.755000
0.020000,3.608709,2.766161,2.392581,3.087072,1.991660,0.000000,1.762868
0.020000,3.596658,2.827121,2.454721,3.126906,1.991660,0.000000,1.768743
0.020000,3.584150,2.888802,2.517657,3.166739,1.991660,-0.000000,1.772639
0.020000,3.571303,2.951227,2.581390,3.206572,1.991660,0.000000,1.774539
0.020000,3.558240,3.014420,2.645920,3.246405,1.991660,0.000000,1.774399
0.020000,3.545092,3.078410,2.711246,3.286238,1.991660,-0.000000,1.772137
0.020000,3.532002,3.143224,2.777369,3.326072,1.991660,0.000000,1.767637
0.020000,3.519128,3.208894,2.844289,3.365905,1.991660,0.000000,1.760737
0.020000,3.506645,3.275450,2.912006,3.405738,1.991660,0.000000,1.751226
0.020000,3.494752,3.342922,2.980519,3.445571,1.991660,-0.000000,1.738827
0.020000,3.483831,3.410333,3.049828,3.485404,1.991660,0.000000,1.722267
0.020000,3.472143,3.477490,3.119935,3.525238,1.991660,0.000000,1.761775
0.020000,3.457521,3.546663,3.190639,3.545154,0.995830,-49.791491,1.795473
0.020000,3.440753,3.615407,3.261402,3.531123,-0.701542,-84.868573,1.823781
0.020000,3.422342,3.683234,3.331685,3.497176,-1.697371,-49.791491,1.847174
0.020000,3.402708,3.749950,3.401230,3.457343,-1.991660,-14.714409,1.866204
0.020000,3.382176,3.815560,3.469978,3.417510,-1.991660,0.000000,1.881397
0.020000,3.361010,3.880131,3.537930,3.377676,-1.991660,0.000000,1.893187
0.020000,3.339440,3.943728,3.605085,3.337843,-1.991660,-0.000000,1.901917
0.020000,3.317667,4.006412,3.671444,3.298010,-1.991660,0.000000,1.907853
0.020000,3.295869,4.068244,3.737006,3.258177,-1.991660,-0.000000,1.911199
0.020000,3.274206,4.129279,3.801771,3.218344,-1.991660,0.000000,1.912105
0.020000,3.252826,4.189569,3.865739,3.178510,-1.991660,-0.000000,1.910674
0.020000,3.231865,4.249162,3.928911,3.138677,-1.991660,0.000000,1.906969
0.020000,3.211453,4.308103,3.991286,3.098844,-1.991660,-0.000000,1.901017
0.020000,3.191714,4.366432,4.052865,3.059011,-1.991660,0.000000,1.892810
0.020000,3.172769,4.424185,4.113647,3.019178,-1.991660,0.000000,1.882311
0.020000,3.154739,4.481397,4.173632,2.979344,-1.991660,-0.000000,1.869449
0.020000,3.137745,4.538092,4.232821,2.939511,-1.991660,0.000000,1.854127
0.020000,3.121910,4.594296,4.291213,2.899678,-1.991660,0.000000,1.836216
0.020000,3.107363,4.650022,4.348808,2.859845,-1.991660,-0.000000,1.815559
0.020000,3.094235,4.705282,4.405606,2.820012,-1.991660,0.000000,1.791975
0.020000,3.082664,4.760073,4.461608,2.780178,-1.991660,0.000000,1.765256
0.020000,3.072795,4.814387,4.516814,2.740345,-1.991660,0.000000,1.735177
0.020000,3.064777,4.868199,4.571222,2.700512,-1.991660,-0.000000,1.701503
