dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.403697,0.966409,0.000199,0.019917,0.995830,49.791491,6.281918
0.020000,2.403757,0.966409,0.000259,0.003001,-0.845783,-92.080659,6.282115
0.020000,2.403877,0.966409,0.000379,0.006007,0.150320,49.805168,6.282509
0.020000,2.404057,0.966409,0.000560,0.009025,0.150868,0.027403,6.283101
0.020000,2.407149,0.966410,0.003651,0.154567,7.277133,356.313263,0.000708
0.020000,2.411435,0.966415,0.007937,0.214300,2.986629,-214.525207,0.001702
0.020000,2.416580,0.966427,0.013082,0.257261,2.148073,-41.927803,0.002902
0.020000,2.422586,0.966448,0.019089,0.300312,2.152540,0.223358,0.004310
0.020000,2.429454,0.966484,0.025957,0.343410,2.154905,0.118216,0.005933
0.020000,2.437184,0.966536,0.033687,0.386513,2.155142,0.011856,0.007773
0.020000,2.445781,0.966612,0.042284,0.429835,2.166079,0.546840,0.009839
0.020000,2.455242,0.966716,0.051746,0.473087,2.162601,-0.173880,0.012135
0.020000,2.465574,0.966855,0.062079,0.516657,2.178529,0.796416,0.014669
0.020000,2.476777,0.967034,0.073283,0.560224,2.178326,-0.010139,0.017451
0.020000,2.488854,0.967264,0.085362,0.603952,2.186425,0.404925,0.020490
0.020000,2.501810,0.967550,0.098321,0.647937,2.199230,0.640237,0.023795
0.020000,2.515643,0.967904,0.112159,0.691887,2.197523,-0.085358,0.027379
0.020000,2.530362,0.968336,0.126884,0.736288,2.220027,1.125203,0.031255
0.020000,2.545968,0.968856,0.142499,0.780729,2.222062,0.101748,0.035436
0.020000,2.562466,0.969478,0.159008,0.825462,2.236665,0.730154,0.039940
0.020000,2.579859,0.970215,0.176417,0.870441,2.248926,0.613062,0.044783
0.020000,2.598154,0.971083,0.194733,0.915781,2.266990,0.903206,0.049985
0.020000,2.617355,0.972097,0.213960,0.961387,2.280331,0.667045,0.055568
0.020000,2.637469,0.973276,0.234109,1.007440,2.302631,1.115022,0.061555
0.020000,2.658501,0.974640,0.255185,1.053801,2.318073,0.772076,0.067974
0.020000,2.680457,0.976210,0.277197,1.100602,2.340032,1.097980,0.074852
0.020000,2.703348,0.978011,0.300159,1.148086,2.374219,1.709331,0.082224
0.020000,2.727177,0.980069,0.324077,1.195882,2.389790,0.778532,0.090125
0.020000,2.751955,0.982414,0.348965,1.244416,2.426701,1.845555,0.098597
0.020000,2.777690,0.985077,0.374838,1.293657,2.462043,1.767127,0.107683
0.020000,2.804392,0.988094,0.401709,1.343558,2.495061,1.650864,0.117434
0.020000,2.832071,0.991506,0.429599,1.394466,2.545380,2.515990,0.127907
0.020000,2.860738,0.995356,0.458523,1.446212,2.587317,2.096812,0.139164
0.020000,2.890403,0.999693,0.488503,1.499025,2.640618,2.665059,0.151276
0.020000,2.921082,1.004574,0.519568,1.553207,2.709113,3.424753,0.164323
0.020000,2.952783,1.010058,0.551739,1.608582,2.768756,2.982175,0.178394
0.020000,2.985519,1.016216,0.585050,1.665523,2.847027,3.913534,0.193588
0.020000,3.019304,1.023126,0.619534,1.724236,2.935665,4.431922,0.210020
0.020000,3.054149,1.030876,0.655231,1.784836,3.030027,4.718069,0.227815
0.020000,3.090065,1.039566,0.692183,1.847606,3.138502,5.423758,0.247117
0.020000,3.127061,1.049309,0.730441,1.912880,3.263673,6.258567,0.268086
0.020000,3.165141,1.060235,0.770057,1.980788,3.395416,6.587143,0.290902
0.020000,3.204306,1.072488,0.811094,2.051860,3.553592,7.908794,0.315763
0.020000,3.244545,1.086236,0.853617,2.126160,3.714994,8.070078,0.342891
0.020000,3.285842,1.101666,0.897702,2.204231,3.903565,9.428551,0.372526
0.020000,3.328155,1.118989,0.943424,2.286132,4.095038,9.573687,0.404925
0.020000,3.371429,1.138443,0.990869,2.372259,4.306327,10.564409,0.440361
0.020000,3.415569,1.160288,1.040119,2.462479,4.511043,10.235817,0.479106
0.020000,3.460441,1.184807,1.091253,2.556702,4.711106,10.003153,0.521422
0.020000,3.505855,1.212296,1.144339,2.654300,4.879934,8.441415,0.567533
0.020000,3.551556,1.243053,1.199426,2.754343,5.002121,6.109322,0.617597
0.020000,3.597204,1.277358,1.256527,2.855063,5.036035,1.695727,0.671661
0.020000,3.642376,1.315443,1.315612,2.954228,4.958253,-3.889102,0.729621
0.020000,3.686561,1.357461,1.376586,3.048711,4.724109,-11.707224,0.791172
0.020000,3.729181,1.403449,1.439286,3.135005,4.314736,-20.468627,0.855776
0.020000,3.769624,1.453296,1.503476,3.209507,3.725077,-29.482985,0.922658
0.020000,3.807294,1.506735,1.568857,3.269064,2.977859,-37.360892,0.990837
0.020000,3.841669,1.563349,1.635091,3.311677,2.130649,-42.360478,1.059199
0.020000,3.872354,1.622614,1.701828,3.336846,1.258457,-43.609594,1.126598
0.020000,3.899107,1.683949,1.768744,3.345783,0.446824,-40.581669,1.191967
0.020000,3.921853,1.746779,1.835565,3.341073,-0.235475,-34.114968,1.254410
0.020000,3.940663,1.810587,1.902088,3.326128,-0.747236,-25.588010,1.313254
0.020000,3.955719,1.874941,1.968179,3.304565,-1.078172,-16.546798,1.368065
0.020000,3.967277,1.939509,2.033773,3.279700,-1.243227,-8.252779,1.418627
0.020000,3.975630,2.004055,2.098858,3.254242,-1.272926,-1.484923,1.464901
0.020000,3.981085,2.068428,2.163461,3.230183,-1.202969,3.497848,1.506978
0.020000,3.983939,2.132541,2.227638,3.208841,-1.067084,6.794245,1.545039
0.020000,3.984471,2.196359,2.291458,3.190974,-0.893337,8.687316,1.579311
0.020000,3.982936,2.259878,2.354996,3.176913,-0.703067,9.513520,1.610045
