dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.527909,4.468919,0.000231,0.023116,1.155816,57.790803,0.000499
0.020000,1.527950,4.468919,0.000272,0.002043,-1.053673,-110.474435,0.000365
0.020000,1.528041,4.468919,0.000364,0.004593,0.127501,59.058666,0.000064
0.020000,1.531222,4.468918,0.003545,0.159040,7.722335,379.741723,6.282747
0.020000,1.536290,4.468914,0.008613,0.253400,4.718032,-150.215143,6.282047
0.020000,1.542805,4.468904,0.015128,0.325762,3.618078,-54.997729,6.281148
0.020000,1.550767,4.468884,0.023090,0.398094,3.616601,-0.073851,6.280054
0.020000,1.560175,4.468848,0.032498,0.470391,3.614878,-0.086125,6.278767
0.020000,1.571028,4.468792,0.043351,0.542645,3.612667,-0.110554,6.277288
0.020000,1.583325,4.468709,0.055648,0.614851,3.610298,-0.118434,6.275623
0.020000,1.597064,4.468593,0.069388,0.686999,3.607414,-0.144202,6.273773
0.020000,1.612245,4.468434,0.084569,0.759087,3.604404,-0.150538,6.271744
0.020000,1.628866,4.468226,0.101191,0.831105,3.600898,-0.175300,6.269540
0.020000,1.646925,4.467958,0.119252,0.903045,3.596978,-0.195991,6.267166
0.020000,1.666420,4.467621,0.138750,0.974903,3.592909,-0.203435,6.264627
0.020000,1.687349,4.467204,0.159684,1.046669,3.588325,-0.229229,6.261930
0.020000,1.709710,4.466697,0.182050,1.118337,3.583396,-0.246451,6.259080
0.020000,1.733500,4.466087,0.205848,1.189900,3.578134,-0.263062,6.256085
0.020000,1.758717,4.465364,0.231075,1.261350,3.572507,-0.281376,6.252952
0.020000,1.785357,4.464515,0.257729,1.332680,3.566479,-0.301365,6.249689
0.020000,1.813417,4.463527,0.285807,1.403881,3.560087,-0.319647,6.246305
0.020000,1.842894,4.462388,0.315306,1.474948,3.553319,-0.338379,6.242808
0.020000,1.873784,4.461084,0.346223,1.545871,3.546156,-0.358154,6.239208
0.020000,1.906083,4.459603,0.378556,1.616643,3.538614,-0.377094,6.235514
0.020000,1.939787,4.457931,0.412301,1.687257,3.530716,-0.394883,6.231737
0.020000,1.974891,4.456055,0.447455,1.757706,3.522433,-0.414160,6.227888
0.020000,2.011390,4.453963,0.484015,1.827980,3.513713,-0.436008,6.223979
0.020000,2.049281,4.451641,0.521976,1.898074,3.504689,-0.451203,6.220020
0.020000,2.088557,4.449078,0.561336,1.967979,3.495263,-0.471321,6.216025
0.020000,2.129213,4.446261,0.602090,2.037688,3.485440,-0.491108,6.212007
0.020000,2.171244,4.443178,0.644233,2.107194,3.475292,-0.507437,6.207978
0.020000,2.214644,4.439820,0.687763,2.176489,3.464752,-0.526968,6.203952
0.020000,2.259407,4.436175,0.732675,2.245566,3.453874,-0.543897,6.199945
0.020000,2.305528,4.432234,0.778963,2.314419,3.442631,-0.562141,6.195970
0.020000,2.352999,4.427989,0.826624,2.383040,3.431048,-0.579182,6.192042
0.020000,2.401815,4.423431,0.875652,2.451423,3.419123,-0.596260,6.188178
0.020000,2.451970,4.418555,0.926043,2.519560,3.406859,-0.613162,6.184394
0.020000,2.503457,4.413355,0.977792,2.587445,3.394273,-0.629337,6.180706
0.020000,2.556270,4.407828,1.030894,2.655072,3.381350,-0.646119,6.177131
0.020000,2.610402,4.401970,1.085342,2.722435,3.368120,-0.661533,6.173686
0.020000,2.665849,4.395780,1.141133,2.789526,3.354550,-0.678476,6.170389
0.020000,2.722602,4.389260,1.198260,2.856339,3.340677,-0.693679,6.167258
0.020000,2.780657,4.382412,1.256717,2.922869,3.326494,-0.709146,6.164313
0.020000,2.840007,4.375239,1.316499,2.989108,3.311970,-0.726196,6.161572
0.020000,2.900647,4.367749,1.377600,3.055051,3.297142,-0.741393,6.159054
0.020000,2.962572,4.359950,1.440014,3.120691,3.281995,-0.757354,6.156779
0.020000,3.025776,4.351851,1.503735,3.186021,3.266506,-0.774442,6.154769
0.020000,3.090254,4.343467,1.568755,3.251035,3.250687,-0.790966,6.153042
0.020000,3.156001,4.334812,1.635070,3.315725,3.234519,-0.808403,6.151622
0.020000,3.223013,4.325905,1.702671,3.380085,3.217998,-0.826045,6.150529
0.020000,3.291057,4.316798,1.771322,3.432521,2.621778,-29.810997,6.149787
0.020000,3.359671,4.307575,1.840553,3.461535,1.450723,-58.552712,6.149416
0.020000,3.428371,4.298328,1.909873,3.466005,0.223476,-61.362392,6.149427
0.020000,3.496679,4.289148,1.978795,3.446092,-0.995637,-60.955623,6.149819
0.020000,3.564142,4.280121,2.046859,3.403231,-2.143062,-57.371244,6.150580
0.020000,3.630337,4.271326,2.113636,3.338842,-3.219468,-53.820298,6.151690
0.020000,3.695070,4.262810,2.178927,3.264534,-3.715373,-24.795251,6.153126
0.020000,3.758349,4.254588,2.242738,3.190556,-3.698894,0.823952,6.154866
0.020000,3.820183,4.246671,2.305076,3.116901,-3.682765,0.806409,6.156888
0.020000,3.880578,4.239071,2.365947,3.043561,-3.666986,0.788989,6.159172
0.020000,3.939541,4.231796,2.425358,2.970530,-3.651535,0.772525,6.161697
0.020000,3.997079,4.224850,2.483314,2.897802,-3.636419,0.755797,6.164444
0.020000,4.053199,4.218237,2.539821,2.825370,-3.621622,0.739869,6.167394
0.020000,4.107904,4.211960,2.594886,2.753227,-3.607151,0.723533,6.170527
0.020000,4.161201,4.206018,2.648513,2.681367,-3.592990,0.708056,6.173824
0.020000,4.213095,4.200409,2.700709,2.609784,-3.579154,0.691820,6.177269
0.020000,4.263589,4.195131,2.751478,2.538471,-3.565626,0.676393,6.180842
