dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.528061,4.164119,0.000231,0.023116,1.155816,57.790803,0.000499
0.020000,1.528061,4.164119,0.001156,0.069349,2.311632,57.790803,0.000365
0.020000,1.528061,4.164119,0.003236,0.138698,3.467448,57.790803,0.000064
0.020000,1.531089,4.164118,0.006704,0.208047,3.467448,-0.000000,6.282747
0.020000,1.535943,4.164115,0.011558,0.277396,3.467448,0.000000,6.282047
0.020000,1.542185,4.164105,0.017800,0.346745,3.467448,-0.000000,6.281148
0.020000,1.549813,4.164085,0.025428,0.416094,3.467448,-0.000000,6.280054
0.020000,1.558828,4.164051,0.034443,0.485443,3.467448,0.000000,6.278767
0.020000,1.569230,4.163997,0.044846,0.554792,3.467448,-0.000000,6.277288
0.020000,1.581020,4.163918,0.056635,0.624141,3.467448,0.000000,6.275623
0.020000,1.594195,4.163806,0.069811,0.693490,3.467448,0.000000,6.273773
0.020000,1.608758,4.163654,0.084375,0.762839,3.467448,-0.000000,6.271744
0.020000,1.624707,4.163454,0.100325,0.832188,3.467448,0.000000,6.269540
0.020000,1.642042,4.163197,0.117662,0.901537,3.467448,0.000000,6.267166
0.020000,1.660764,4.162873,0.136386,0.970885,3.467448,-0.000000,6.264627
0.020000,1.680871,4.162473,0.156497,1.040234,3.467448,-0.000000,6.261930
0.020000,1.702363,4.161985,0.177996,1.109583,3.467448,0.000000,6.259080
0.020000,1.725241,4.161399,0.200881,1.178932,3.467448,-0.000000,6.256085
0.020000,1.749503,4.160704,0.225153,1.248281,3.467448,0.000000,6.252952
0.020000,1.775149,4.159886,0.250812,1.317630,3.467448,0.000000,6.249689
0.020000,1.802179,4.158934,0.277858,1.386979,3.467448,-0.000000,6.246305
0.020000,1.830590,4.157836,0.306291,1.456328,3.467448,0.000000,6.242808
0.020000,1.860384,4.156579,0.336111,1.525677,3.467448,0.000000,6.239208
0.020000,1.891558,4.155149,0.367318,1.595026,3.467448,0.000000,6.235514
0.020000,1.924112,4.153534,0.399912,1.664375,3.467448,-0.000000,6.231737
0.020000,1.958045,4.151721,0.433893,1.733724,3.467448,0.000000,6.227888
0.020000,1.993355,4.149697,0.469261,1.803073,3.467448,0.000000,6.223979
0.020000,2.030041,4.147449,0.506016,1.872422,3.467448,-0.000000,6.220020
0.020000,2.068102,4.144965,0.544158,1.941771,3.467448,0.000000,6.216025
0.020000,2.107536,4.142233,0.583687,2.011120,3.467448,-0.000000,6.212007
0.020000,2.148342,4.139240,0.624603,2.080469,3.467448,0.000000,6.207978
0.020000,2.190519,4.135976,0.666906,2.149818,3.467448,0.000000,6.203952
0.020000,2.234065,4.132430,0.710596,2.219167,3.467448,-0.000000,6.199945
0.020000,2.278978,4.128592,0.755673,2.288516,3.467448,0.000000,6.195970
0.020000,2.325257,4.124454,0.802136,2.357865,3.467448,0.000000,6.192042
0.020000,2.372901,4.120006,0.849987,2.427214,3.467448,0.000000,6.188178
0.020000,2.421907,4.115241,0.899225,2.496563,3.467448,0.000000,6.184394
0.020000,2.472276,4.110154,0.949850,2.565912,3.467448,0.000000,6.180706
0.020000,2.524005,4.104740,1.001861,2.635261,3.467448,0.000000,6.177131
0.020000,2.577094,4.098995,1.055260,2.704610,3.467448,-0.000000,6.173686
0.020000,2.631541,4.092917,1.110046,2.773959,3.467448,0.000000,6.170389
0.020000,2.687347,4.086506,1.166218,2.843308,3.467448,0.000000,6.167258
0.020000,2.744510,4.079763,1.223778,2.912656,3.467448,0.000000,6.164313
0.020000,2.803031,4.072691,1.282725,2.982005,3.467448,0.000000,6.161572
0.020000,2.862909,4.065294,1.343058,3.051354,3.467448,0.000000,6.159054
0.020000,2.924146,4.057581,1.404779,3.120703,3.467448,0.000000,6.156779
0.020000,2.986742,4.049561,1.467886,3.190052,3.467448,-0.000000,6.154769
0.020000,3.050698,4.041245,1.532381,3.259401,3.467448,-0.000000,6.153042
0.020000,3.116016,4.032646,1.598262,3.328750,3.467448,0.000000,6.151622
0.020000,3.182698,4.023783,1.665531,3.398099,3.467448,0.000000,6.150529
0.020000,3.250518,4.014706,1.733955,3.444332,2.311632,-57.790803,6.149787
0.020000,3.319019,4.005498,1.803073,3.467448,1.155816,-57.790803,6.149416
0.020000,3.387723,3.996250,1.872396,3.464895,-0.127671,-64.174366,6.149427
0.020000,3.456149,3.987054,1.941438,3.439225,-1.283487,-57.790803,6.149819
0.020000,3.523842,3.977997,2.009734,3.390439,-2.439303,-57.790803,6.150580
0.020000,3.590373,3.969158,2.076850,3.321090,-3.467448,-51.407241,6.151690
0.020000,3.655540,3.960585,2.142578,3.251741,-3.467448,-0.000000,6.153126
0.020000,3.719345,3.952294,2.206919,3.182392,-3.467448,0.000000,6.154866
0.020000,3.781790,3.944299,2.269874,3.113043,-3.467448,-0.000000,6.156888
0.020000,3.842875,3.936612,2.331441,3.043694,-3.467448,0.000000,6.159172
0.020000,3.902603,3.929242,2.391621,2.974345,-3.467448,-0.000000,6.161697
0.020000,3.960972,3.922196,2.450415,2.904996,-3.467448,0.000000,6.164444
0.020000,4.017984,3.915478,2.507821,2.835647,-3.467448,0.000000,6.167394
0.020000,4.073638,3.909092,2.563841,2.766298,-3.467448,0.000000,6.170527
0.020000,4.127934,3.903039,2.618473,2.696949,-3.467448,-0.000000,6.173824
0.020000,4.180872,3.897317,2.671719,2.627600,-3.467448,0.000000,6.177269
0.020000,4.232449,3.891926,2.723577,2.558251,-3.467448,-0.000000,6.180842
