dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.528213,3.859319,0.000231,0.023116,1.155816,57.790803,0.000499
0.020000,1.528172,3.859319,0.000272,0.002043,-1.053673,-110.474435,0.000365
0.020000,1.528080,3.859319,0.000364,0.004593,0.127501,59.058666,0.000064
0.020000,1.530955,3.859318,0.003239,0.143752,6.957938,341.521891,6.282747
0.020000,1.535596,3.859315,0.007880,0.232042,4.414532,-127.170334,6.282047
0.020000,1.541564,3.859305,0.013847,0.298379,3.316831,-54.885023,6.281148
0.020000,1.548859,3.859286,0.021142,0.364744,3.318266,0.071750,6.280054
0.020000,1.557481,3.859254,0.029765,0.431146,3.320106,0.091973,6.278767
0.020000,1.567433,3.859203,0.039717,0.497589,3.322133,0.101335,6.277288
0.020000,1.578714,3.859127,0.050999,0.564082,3.324656,0.126183,6.275623
0.020000,1.591327,3.859020,0.063611,0.630629,3.327356,0.134980,6.273773
0.020000,1.605271,3.858874,0.077556,0.697241,3.330595,0.161985,6.271744
0.020000,1.620548,3.858683,0.092834,0.763922,3.334045,0.172478,6.269540
0.020000,1.637160,3.858436,0.109448,0.830678,3.337787,0.187104,6.267166
0.020000,1.655107,3.858126,0.127398,0.897519,3.342074,0.214331,6.264627
0.020000,1.674393,3.857742,0.146687,0.964451,3.346576,0.225094,6.261930
0.020000,1.695017,3.857274,0.167317,1.031480,3.351458,0.244132,6.259080
0.020000,1.716982,3.856711,0.189289,1.098615,3.356741,0.264112,6.256085
0.020000,1.740290,3.856043,0.212607,1.165863,3.362398,0.282872,6.252952
0.020000,1.764942,3.855257,0.237271,1.233231,3.368406,0.300392,6.249689
0.020000,1.790940,3.854342,0.263286,1.300727,3.374801,0.319747,6.246305
0.020000,1.818287,3.853285,0.290653,1.368358,3.381579,0.338897,6.242808
0.020000,1.846984,3.852073,0.319376,1.436133,3.388723,0.357225,6.239208
0.020000,1.877034,3.850695,0.349457,1.504058,3.396251,0.376412,6.235514
0.020000,1.908438,3.849137,0.380899,1.572142,3.404185,0.396686,6.231737
0.020000,1.941199,3.847387,0.413707,1.640392,3.412496,0.415523,6.227888
0.020000,1.975319,3.845431,0.447884,1.708814,3.421132,0.431823,6.223979
0.020000,2.010801,3.843257,0.483432,1.777418,3.430215,0.454131,6.220020
0.020000,2.047647,3.840852,0.520356,1.846211,3.439646,0.471574,6.216025
0.020000,2.085859,3.838204,0.558660,1.915200,3.449426,0.488978,6.212007
0.020000,2.125441,3.835302,0.598348,1.984392,3.459610,0.509228,6.207978
0.020000,2.166394,3.832132,0.639424,2.053795,3.470131,0.526022,6.203952
0.020000,2.208722,3.828686,0.681892,2.123415,3.481026,0.544771,6.199945
0.020000,2.252428,3.824951,0.725757,2.193260,3.492261,0.561759,6.195970
0.020000,2.297515,3.820919,0.771024,2.263337,3.503848,0.579343,6.192042
0.020000,2.343986,3.816580,0.817697,2.333653,3.515775,0.596353,6.188178
0.020000,2.391845,3.811927,0.865782,2.404214,3.528035,0.613004,6.184394
0.020000,2.441095,3.806953,0.915282,2.475026,3.540632,0.629857,6.180706
0.020000,2.491740,3.801653,0.966204,2.546097,3.553546,0.645688,6.177131
0.020000,2.543785,3.796021,1.018553,2.617433,3.566795,0.662459,6.173686
0.020000,2.597234,3.790054,1.072333,2.689040,3.580345,0.677478,6.170389
0.020000,2.652091,3.783752,1.127552,2.760925,3.594225,0.693989,6.167258
0.020000,2.708363,3.777114,1.184214,2.833093,3.608429,0.710195,6.164313
0.020000,2.766054,3.770142,1.242325,2.905552,3.622928,0.724943,6.161572
0.020000,2.825171,3.762840,1.301891,2.978307,3.637762,0.741712,6.159054
0.020000,2.885720,3.755213,1.362918,3.051365,3.652924,0.758126,6.156779
0.020000,2.947708,3.747271,1.425413,3.124733,3.668404,0.773979,6.154769
0.020000,3.011142,3.739022,1.489381,3.198418,3.684226,0.791080,6.153042
0.020000,3.076031,3.730480,1.554830,3.272426,3.700388,0.808137,6.151622
0.020000,3.142383,3.721661,1.621765,3.346764,3.716908,0.825974,6.150529
0.020000,3.209978,3.712614,1.689963,3.409910,3.157315,-27.979631,6.149787
0.020000,3.278368,3.703421,1.758968,3.450245,2.016730,-57.029276,6.149416
0.020000,3.347075,3.694173,1.828295,3.466338,0.804670,-60.602997,6.149427
0.020000,3.415619,3.684961,1.897456,3.458028,-0.415523,-61.009613,6.149819
0.020000,3.483543,3.675872,1.965984,3.426433,-1.579733,-58.210543,6.150580
0.020000,3.550409,3.666989,2.033438,3.372687,-2.687297,-55.378170,6.151690
0.020000,3.616010,3.658359,2.099604,3.308296,-3.219532,-26.611769,6.153126
0.020000,3.680340,3.650000,2.164475,3.243576,-3.236016,-0.824198,6.154866
0.020000,3.743396,3.641927,2.228046,3.178533,-3.252143,-0.806319,6.156888
0.020000,3.805173,3.634153,2.290310,3.113175,-3.267929,-0.789303,6.159172
0.020000,3.865664,3.626689,2.351260,3.047507,-3.283372,-0.772164,6.161697
0.020000,3.924865,3.619542,2.410890,2.981537,-3.298492,-0.755996,6.164444
0.020000,3.982770,3.612719,2.469196,2.915272,-3.313283,-0.739550,6.167394
0.020000,4.039373,3.606224,2.526170,2.848717,-3.327761,-0.723905,6.170527
0.020000,4.094668,3.600060,2.581808,2.781878,-3.341913,-0.707595,6.173824
0.020000,4.148649,3.594226,2.636103,2.714763,-3.355756,-0.692141,6.177269
0.020000,4.201309,3.588721,2.689051,2.647378,-3.369271,-0.675781,6.180842
0.020000,4.252643,3.583544,2.740645,2.579728,-3.382479,-0.660379,6.184526
0.020000,4.302645,3.578689,2.790882,2.511821,-3.395352,-0.643652,6.188305
0.020000,4.351307,3.574152,2.839755,2.443663,-3.407909,-0.627872,6.192163
0.020000,4.398624,3.569926,2.887260,2.375260,-3.420129,-0.610993,6.196082
0.020000,4.444589,3.566003,2.933392,2.306620,-3.432016,-0.594336,6.200048
0.020000,4.489197,3.562376,2.978147,2.237749,-3.443560,-0.577188,6.204045
0.020000,4.532441,3.559033,3.021521,2.168654,-3.454755,-0.559784,6.208059
0.020000,4.574315,3.555965,3.063507,2.099342,-3.465603,-0.542389,6.212076
0.020000,4.614815,3.553161,3.104104,2.029820,-3.476101,-0.524896,6.216081
0.020000,4.653934,3.550610,3.143306,1.960095,-3.486210,-0.505446,6.220061
0.020000,4.691667,3.548300,3.181109,1.890176,-3.495979,-0.488444,6.224004
