dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.112946,3.533358,0.000189,0.018861,0.943060,47.153023,3.139316
0.020000,5.113077,3.533358,0.000319,0.006523,-0.616894,-77.997703,3.139744
0.020000,5.113370,3.533357,0.000613,0.014691,0.408370,51.263204,3.140708
0.020000,5.112431,3.533357,0.001552,0.046950,1.612970,60.229977,3.142425
0.020000,5.108693,3.533349,0.005290,0.186902,6.997569,269.229942,3.145013
0.020000,5.103717,3.533323,0.010266,0.248805,3.095164,-195.120254,3.148487
0.020000,5.097508,3.533267,0.016475,0.310473,3.083397,-0.588327,3.152869
0.020000,5.090076,3.533163,0.023908,0.371647,3.058733,-1.233224,3.158183
0.020000,5.081429,3.532993,0.032557,0.432425,3.038902,-0.991537,3.164464
0.020000,5.071582,3.532732,0.042408,0.492545,3.005973,-1.646457,3.171748
0.020000,5.060548,3.532353,0.053448,0.552010,2.973270,-1.635144,3.180080
0.020000,5.048345,3.531826,0.065663,0.610727,2.935815,-1.872739,3.189511
0.020000,5.034993,3.531115,0.079033,0.668527,2.890000,-2.290768,3.200099
0.020000,5.020516,3.530182,0.093540,0.725348,2.841050,-2.447501,3.211908
0.020000,5.004941,3.528983,0.109162,0.781082,2.786707,-2.717147,3.225012
0.020000,4.988298,3.527470,0.125873,0.835590,2.725395,-3.065578,3.239489
0.020000,4.970621,3.525593,0.143649,0.888776,2.659324,-3.303563,3.255426
0.020000,4.951952,3.523294,0.162459,0.940503,2.586339,-3.649246,3.272918
0.020000,4.932334,3.520512,0.182274,0.990744,2.512061,-3.713902,3.292064
0.020000,4.911814,3.517183,0.203062,1.039423,2.433961,-3.904990,3.312970
0.020000,4.890447,3.513236,0.224790,1.086387,2.348165,-4.289808,3.335742
0.020000,4.868293,3.508596,0.247425,1.131738,2.267547,-4.030923,3.360485
0.020000,4.845413,3.503186,0.270936,1.175580,2.192101,-3.772263,3.387304
0.020000,4.821871,3.496920,0.295297,1.218032,2.122634,-3.473367,3.416289
0.020000,4.797738,3.489713,0.320484,1.259324,2.064593,-2.902050,3.447512
0.020000,4.773080,3.481471,0.346483,1.299975,2.032525,-1.603420,3.481018
0.020000,4.747961,3.472096,0.373294,1.340537,2.028119,-0.220290,3.516815
0.020000,4.722446,3.461484,0.400928,1.381725,2.059410,1.564537,3.554855
0.020000,4.696587,3.449522,0.429420,1.424588,2.143119,4.185443,3.595034
0.020000,4.670431,3.436088,0.458824,1.470197,2.280467,6.867445,3.637170
