dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.113640,3.838157,0.000189,0.018861,0.943060,47.153023,3.139316
0.020000,5.113640,3.838157,0.000943,0.056584,1.886121,47.153023,3.139744
0.020000,5.113640,3.838157,0.002641,0.113167,2.829181,47.153023,3.140708
0.020000,5.112178,3.838157,0.005658,0.188612,3.772242,47.153023,3.142425
0.020000,5.107651,3.838147,0.010185,0.264057,3.772242,0.000000,3.145013
0.020000,5.101616,3.838116,0.016221,0.339502,3.772242,-0.000000,3.148487
0.020000,5.094071,3.838048,0.023765,0.414947,3.772242,0.000000,3.152869
0.020000,5.085019,3.837921,0.032819,0.490391,3.772242,-0.000000,3.158183
0.020000,5.074458,3.837713,0.043381,0.565836,3.772242,0.000000,3.164464
0.020000,5.062392,3.837393,0.055452,0.641281,3.772242,0.000000,3.171748
0.020000,5.048820,3.836927,0.069032,0.716726,3.772242,-0.000000,3.180080
0.020000,5.033745,3.836276,0.084121,0.792171,3.772242,0.000000,3.189511
0.020000,5.017171,3.835393,0.100719,0.867616,3.772242,0.000000,3.200099
0.020000,4.999102,3.834228,0.118826,0.943060,3.772242,-0.000000,3.211908
0.020000,4.979544,3.832723,0.138441,1.018505,3.772242,0.000000,3.225012
0.020000,4.958506,3.830811,0.159566,1.093950,3.772242,-0.000000,3.239489
0.020000,4.936000,3.828420,0.182199,1.169395,3.772242,0.000000,3.255426
0.020000,4.912039,3.825469,0.206342,1.244840,3.772242,0.000000,3.272918
0.020000,4.886643,3.821868,0.231993,1.320285,3.772242,-0.000000,3.292064
0.020000,4.859833,3.817518,0.259153,1.395729,3.772242,0.000000,3.312970
0.020000,4.831642,3.812309,0.287822,1.471174,3.772242,0.000000,3.335742
0.020000,4.802106,3.806123,0.318000,1.546619,3.772242,-0.000000,3.360485
0.020000,4.771271,3.798831,0.349687,1.622064,3.772242,0.000000,3.387304
0.020000,4.739193,3.790293,0.382883,1.697509,3.772242,-0.000000,3.416289
0.020000,4.705941,3.780362,0.417587,1.772954,3.772242,-0.000000,3.447512
0.020000,4.671598,3.768881,0.453801,1.848399,3.772242,0.000000,3.481018
0.020000,4.636259,3.755690,0.491523,1.923843,3.772242,0.000000,3.516815
0.020000,4.600038,3.740625,0.530754,1.999288,3.772242,0.000000,3.554855
0.020000,4.563066,3.723520,0.571495,2.074733,3.772242,0.000000,3.595034
0.020000,4.525487,3.704219,0.613744,2.150178,3.772242,-0.000000,3.637170
0.020000,4.487461,3.682573,0.657502,2.225623,3.772242,0.000000,3.681000
0.020000,4.449161,3.658453,0.702769,2.301068,3.772242,0.000000,3.726180
0.020000,4.410763,3.631747,0.749544,2.376512,3.772242,0.000000,3.772287
0.020000,4.372448,3.602372,0.797829,2.451957,3.772242,0.000000,3.818835
0.020000,4.334387,3.570273,0.847623,2.527402,3.772242,0.000000,3.865294
0.020000,4.296741,3.535427,0.898925,2.602847,3.772242,-0.000000,3.911121
0.020000,4.259651,3.497838,0.951737,2.678292,3.772242,0.000000,3.955783
0.020000,4.223234,3.457539,1.006057,2.753737,3.772242,0.000000,3.998786
0.020000,4.187576,3.414586,1.061886,2.829181,3.772242,0.000000,4.039693
0.020000,4.152733,3.369053,1.119224,2.904626,3.772242,0.000000,4.078137
0.020000,4.118730,3.321028,1.178071,2.980071,3.772242,0.000000,4.113826
0.020000,4.085560,3.270607,1.238427,3.055516,3.772242,0.000000,4.146536
0.020000,4.053186,3.217892,1.300292,3.130961,3.772242,0.000000,4.176104
0.020000,4.021544,3.162985,1.363665,3.206406,3.772242,0.000000,4.202412
0.020000,3.990543,3.105990,1.428548,3.281850,3.772242,0.000000,4.225378
0.020000,3.960067,3.047007,1.494939,3.357295,3.772242,0.000000,4.244937
0.020000,3.929979,2.986138,1.562840,3.432740,3.772242,0.000000,4.261025
0.020000,3.900116,2.923482,1.632249,3.508185,3.772242,0.000000,4.273572
0.020000,3.870292,2.859140,1.703167,3.583630,3.772242,-0.000000,4.282484
0.020000,3.840297,2.793216,1.775594,3.659075,3.772242,0.000000,4.287634
0.020000,3.809969,2.725993,1.849342,3.715658,2.829181,-47.153023,4.288850
0.020000,3.779198,2.657936,1.924032,3.753381,1.886121,-47.153023,4.285956
0.020000,3.747849,2.589520,1.999288,3.772242,0.943060,-47.153023,4.278798
0.020000,3.715783,2.521230,2.074733,3.772242,0.000000,-47.153023,4.267235
0.020000,3.682775,2.453390,2.150178,3.772242,0.000000,0.000000,4.251105
0.020000,3.648518,2.386172,2.225623,3.772242,0.000000,0.000000,4.230172
0.020000,3.612694,2.319778,2.301068,3.772242,0.000000,0.000000,4.204149
0.020000,3.574980,2.254439,2.376512,3.772242,0.000000,0.000000,4.172715
