dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.114334,4.142957,0.000189,0.018861,0.943060,47.153023,3.139316
0.020000,5.114204,4.142957,0.000319,0.006523,-0.616894,-77.997703,3.139744
0.020000,5.113910,4.142957,0.000613,0.014691,0.408370,51.263204,3.140708
0.020000,5.111924,4.142957,0.002599,0.099305,4.230711,191.117002,3.142425
0.020000,5.106608,4.142945,0.007915,0.265776,8.323529,204.640916,3.145013
0.020000,5.099515,4.142909,0.015008,0.354685,4.445456,-193.903667,3.148487
0.020000,5.090634,4.142828,0.023889,0.444026,4.467067,1.080562,3.152869
0.020000,5.079963,4.142679,0.034561,0.533636,4.480493,0.671315,3.158183
0.020000,5.067488,4.142433,0.047039,0.623866,4.511517,1.551200,3.164464
0.020000,5.053202,4.142055,0.061330,0.714564,4.534866,1.167449,3.171748
0.020000,5.037092,4.141502,0.077449,0.805968,4.570223,1.767837,3.180080
0.020000,5.019145,4.140726,0.095413,0.898188,4.611026,2.040148,3.189511
0.020000,4.999348,4.139672,0.115238,0.991238,4.652483,2.072876,3.200099
0.020000,4.977687,4.138275,0.136944,1.085293,4.702745,2.513101,3.211908
0.020000,4.954147,4.136463,0.160553,1.180471,4.758906,2.808030,3.225012
0.020000,4.928715,4.134151,0.186090,1.276845,4.818711,2.990276,3.239489
0.020000,4.901378,4.131247,0.213581,1.374551,4.885259,3.327402,3.255426
0.020000,4.872126,4.127645,0.243054,1.473639,4.954443,3.459181,3.272918
0.020000,4.840952,4.123224,0.274540,1.574309,5.033474,3.951555,3.292064
0.020000,4.807853,4.117853,0.308073,1.676627,5.115890,4.120809,3.312970
0.020000,4.772836,4.111383,0.343682,1.780446,5.190987,3.754846,3.335742
0.020000,4.735919,4.103650,0.381400,1.885911,5.273240,4.112663,3.360485
0.020000,4.697129,4.094476,0.421260,1.992997,5.354271,4.051545,3.387304
0.020000,4.656514,4.083665,0.463289,2.101466,5.423465,3.459659,3.416289
0.020000,4.614145,4.071010,0.507508,2.210949,5.474165,2.535010,3.447512
0.020000,4.570116,4.056291,0.553932,2.321194,5.512237,1.903602,3.481018
0.020000,4.524556,4.039284,0.602563,2.431551,5.517848,0.280562,3.516815
0.020000,4.477631,4.019765,0.653386,2.541138,5.479363,-1.924247,3.554855
0.020000,4.429544,3.997518,0.706369,2.649160,5.401072,-3.914564,3.595034
0.020000,4.380542,3.972350,0.761457,2.754400,5.262014,-6.952880,3.637170
0.020000,4.330907,3.944096,0.818570,2.855641,5.062061,-9.997676,3.681000
0.020000,4.280955,3.912638,0.877602,2.951632,4.799530,-13.126535,3.726180
0.020000,4.231021,3.877909,0.938426,3.041179,4.477372,-16.107915,3.772287
0.020000,4.181446,3.839904,1.000893,3.123339,4.108013,-18.467938,3.818835
