dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.387039,1.025948,0.000189,0.018861,0.943060,47.153023,0.000512
0.020000,0.387069,1.025948,0.000219,0.001507,-0.867735,-90.539779,0.000413
0.020000,0.387137,1.025948,0.000286,0.003385,0.093925,48.083020,0.000191
0.020000,0.388812,1.025948,0.001961,0.083752,4.018336,196.220534,6.282983
0.020000,0.393518,1.025946,0.006667,0.235299,7.577355,177.950939,6.282394
0.020000,0.399791,1.025938,0.012941,0.313662,3.918136,-182.960946,6.281615
0.020000,0.407630,1.025922,0.020780,0.391959,3.914855,-0.164042,6.280648
0.020000,0.417034,1.025893,0.030184,0.470183,3.911241,-0.180694,6.279499
0.020000,0.428000,1.025845,0.041150,0.548311,3.906384,-0.242848,6.278173
0.020000,0.440526,1.025773,0.053676,0.626336,3.901266,-0.255899,6.276679
0.020000,0.454611,1.025670,0.067761,0.704239,3.895109,-0.307866,6.275023
0.020000,0.470250,1.025528,0.083401,0.782002,3.888146,-0.348134,6.273215
0.020000,0.487441,1.025340,0.100594,0.859615,3.880667,-0.373954,6.271265
0.020000,0.506181,1.025097,0.119335,0.937062,3.872379,-0.414413,6.269183
0.020000,0.526465,1.024790,0.139621,1.014326,3.863153,-0.461293,6.266982
0.020000,0.548290,1.024411,0.161449,1.091398,3.853599,-0.477674,6.264674
0.020000,0.571650,1.023950,0.184814,1.168258,3.843011,-0.529426,6.262274
0.020000,0.596542,1.023399,0.209712,1.244897,3.831974,-0.551849,6.259795
0.020000,0.622960,1.022747,0.236138,1.321298,3.820045,-0.596439,6.257253
0.020000,0.650899,1.021986,0.264087,1.397452,3.807698,-0.617349,6.254665
0.020000,0.680352,1.021107,0.293554,1.473339,3.794367,-0.666579,6.252047
0.020000,0.711315,1.020101,0.324533,1.548951,3.780570,-0.689819,6.249419
0.020000,0.743781,1.018962,0.357019,1.624277,3.766300,-0.713522,6.246799
0.020000,0.777743,1.017681,0.391005,1.699298,3.751039,-0.763041,6.244206
0.020000,0.813194,1.016253,0.426485,1.774004,3.735337,-0.785119,6.241662
0.020000,0.850128,1.014672,0.463453,1.848387,3.719149,-0.809386,6.239187
0.020000,0.888537,1.012934,0.501901,1.922429,3.702081,-0.853392,6.236805
0.020000,0.928414,1.011037,0.541824,1.996121,3.684584,-0.874872,6.234537
0.020000,0.969752,1.008980,0.583212,2.069447,3.666332,-0.912571,6.232409
0.020000,1.012543,1.006762,0.626060,2.142399,3.647581,-0.937571,6.230444
0.020000,1.056778,1.004387,0.670360,2.214960,3.628037,-0.977208,6.228669
0.020000,1.102451,1.001858,0.716102,2.287119,3.607987,-1.002495,6.227109
0.020000,1.149552,0.999181,0.763279,2.358862,3.587156,-1.041511,6.225792
0.020000,1.198074,0.996367,0.811883,2.430175,3.565637,-1.075967,6.224746
0.020000,1.248008,0.993425,0.861904,2.501043,3.543382,-1.112744,6.224000
0.020000,1.299346,0.990371,0.913333,2.571450,3.520338,-1.152224,6.223585
0.020000,1.352080,0.987221,0.966160,2.641379,3.496458,-1.193999,6.223532
0.020000,1.406200,0.983996,1.020376,2.710813,3.471696,-1.238103,6.223873
0.020000,1.461698,0.980720,1.075971,2.779732,3.445973,-1.286131,6.224643
0.020000,1.518565,0.977420,1.132933,2.848117,3.419266,-1.335351,6.225875
0.020000,1.576791,0.974128,1.191252,2.915947,3.391461,-1.390258,6.227608
0.020000,1.636366,0.970879,1.250916,2.983197,3.362492,-1.448443,6.229878
