dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.387195,0.721148,0.000189,0.018861,0.943060,47.153023,0.000512
0.020000,0.387195,0.721148,0.000943,0.056584,1.886121,47.153023,0.000413
0.020000,0.387195,0.721148,0.002641,0.113167,2.829181,47.153023,0.000191
0.020000,0.388750,0.721148,0.005658,0.188612,3.772242,47.153023,6.282983
0.020000,0.393276,0.721146,0.010185,0.264057,3.772242,0.000000,6.282394
0.020000,0.399312,0.721139,0.016221,0.339502,3.772242,-0.000000,6.281615
0.020000,0.406856,0.721123,0.023765,0.414947,3.772242,0.000000,6.280648
0.020000,0.415910,0.721095,0.032819,0.490391,3.772242,-0.000000,6.279499
0.020000,0.426472,0.721049,0.043381,0.565836,3.772242,0.000000,6.278173
0.020000,0.438543,0.720979,0.055452,0.641281,3.772242,0.000000,6.276679
0.020000,0.452123,0.720880,0.069032,0.716726,3.772242,-0.000000,6.275023
0.020000,0.467211,0.720743,0.084121,0.792171,3.772242,0.000000,6.273215
0.020000,0.483808,0.720561,0.100719,0.867616,3.772242,0.000000,6.271265
0.020000,0.501913,0.720326,0.118826,0.943060,3.772242,-0.000000,6.269183
0.020000,0.521527,0.720030,0.138441,1.018505,3.772242,0.000000,6.266982
0.020000,0.542648,0.719663,0.159566,1.093950,3.772242,-0.000000,6.264674
0.020000,0.565277,0.719217,0.182199,1.169395,3.772242,0.000000,6.262274
0.020000,0.589413,0.718682,0.206342,1.244840,3.772242,0.000000,6.259795
0.020000,0.615057,0.718049,0.231993,1.320285,3.772242,-0.000000,6.257253
0.020000,0.642207,0.717310,0.259153,1.395729,3.772242,0.000000,6.254665
0.020000,0.670863,0.716455,0.287822,1.471174,3.772242,0.000000,6.252047
0.020000,0.701025,0.715475,0.318000,1.546619,3.772242,-0.000000,6.249419
0.020000,0.732693,0.714363,0.349687,1.622064,3.772242,0.000000,6.246799
0.020000,0.765865,0.713112,0.382883,1.697509,3.772242,-0.000000,6.244206
0.020000,0.800541,0.711715,0.417587,1.772954,3.772242,-0.000000,6.241662
0.020000,0.836722,0.710167,0.453801,1.848399,3.772242,0.000000,6.239187
0.020000,0.874405,0.708462,0.491523,1.923843,3.772242,0.000000,6.236805
0.020000,0.913592,0.706598,0.530754,1.999288,3.772242,0.000000,6.234537
