dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.387351,0.416348,0.000189,0.018861,0.943060,47.153023,0.000512
0.020000,0.387321,0.416348,0.000219,0.001507,-0.867735,-90.539779,0.000413
0.020000,0.387253,0.416348,0.000286,0.003385,0.093925,48.083020,0.000191
0.020000,0.388688,0.416348,0.001721,0.071748,3.418149,166.211178,6.282983
0.020000,0.393035,0.416346,0.006069,0.217370,7.281100,193.147547,6.282394
0.020000,0.398833,0.416339,0.011867,0.289900,3.626505,-182.729726,6.281615
0.020000,0.406083,0.416324,0.019117,0.362488,3.629394,0.144431,6.280648
0.020000,0.414786,0.416297,0.027820,0.435157,3.633445,0.202537,6.279499
0.020000,0.424944,0.416253,0.037978,0.507913,3.637809,0.218201,6.278173
0.020000,0.436560,0.416186,0.049594,0.580781,3.643386,0.278881,6.276679
0.020000,0.449635,0.416090,0.062669,0.653770,3.649447,0.303026,6.275023
0.020000,0.464172,0.415958,0.077207,0.726894,3.656195,0.337388,6.273215
0.020000,0.480175,0.415783,0.093210,0.800171,3.663885,0.384516,6.271265
0.020000,0.497645,0.415556,0.110683,0.873616,3.672231,0.417316,6.269183
0.020000,0.516588,0.415270,0.129627,0.947238,3.681097,0.443270,6.266982
0.020000,0.537006,0.414916,0.150049,1.021058,3.691033,0.496804,6.264674
0.020000,0.558904,0.414484,0.171950,1.095086,3.701360,0.516372,6.262274
0.020000,0.582285,0.413966,0.195337,1.169338,3.712608,0.562371,6.259795
0.020000,0.607153,0.413352,0.220213,1.243825,3.724339,0.586578,6.257253
0.020000,0.633515,0.412634,0.246585,1.318564,3.736979,0.632007,6.254665
0.020000,0.661374,0.411802,0.274456,1.393564,3.749974,0.649736,6.252047
0.020000,0.690735,0.410849,0.303833,1.468840,3.763793,0.690967,6.249419
0.020000,0.721604,0.409765,0.334721,1.544408,3.778412,0.730953,6.246799
0.020000,0.753987,0.408544,0.367126,1.620274,3.793324,0.745597,6.244206
0.020000,0.787888,0.407178,0.401056,1.696455,3.809037,0.785616,6.241662
0.020000,0.823315,0.405662,0.436515,1.772965,3.825500,0.823184,6.239187
0.020000,0.860274,0.403990,0.473511,1.849812,3.842332,0.841597,6.236805
0.020000,0.898770,0.402159,0.512051,1.927011,3.859965,0.881634,6.234537
0.020000,0.938812,0.400166,0.552143,2.004573,3.878094,0.906463,6.232409
0.020000,0.980407,0.398010,0.593793,2.082512,3.896980,0.944312,6.230444
0.020000,1.023561,0.395692,0.637010,2.160840,3.916364,0.969165,6.228669
0.020000,1.068284,0.393216,0.681801,2.239571,3.936557,1.009648,6.227109
0.020000,1.114584,0.390585,0.728176,2.318718,3.957336,1.038968,6.225792
0.020000,1.162469,0.387807,0.776141,2.398295,3.978846,1.075500,6.224746
0.020000,1.211950,0.384892,0.825708,2.478317,4.001109,1.113160,6.224000
0.020000,1.263035,0.381853,0.876884,2.558800,4.024153,1.152190,6.223585
0.020000,1.315737,0.378705,0.929679,2.639760,4.048026,1.193640,6.223532
0.020000,1.370065,0.375468,0.984103,2.721216,4.072788,1.238133,6.223873
0.020000,1.426031,0.372164,1.040167,2.803186,4.098483,1.284711,6.224643
0.020000,1.483648,0.368821,1.097881,2.885690,4.125217,1.336723,6.225875
0.020000,1.542928,0.365469,1.157256,2.968750,4.153021,1.390174,6.227608
0.020000,1.603885,0.362145,1.218304,3.052390,4.181978,1.447888,6.229878
0.020000,1.666534,0.358889,1.281036,3.136633,4.212158,1.508978,6.232725
0.020000,1.730887,0.355747,1.345466,3.221506,4.243620,1.573111,6.236192
0.020000,1.796961,0.352774,1.411607,3.307039,4.276667,1.652318,6.240320
0.020000,1.864770,0.350026,1.479472,3.393256,4.310866,1.709970,6.245155
0.020000,1.934331,0.347570,1.549076,3.480192,4.346809,1.797142,6.250744
0.020000,2.005658,0.345480,1.620434,3.567876,4.384172,1.868167,6.257136
0.020000,2.078766,0.343836,1.693561,3.656341,4.423274,1.955111,6.264383
0.020000,2.153670,0.342728,1.768473,3.745614,4.463608,2.016706,6.272537
0.020000,2.230187,0.342256,1.844991,3.825928,4.015722,-22.394331,6.281630
0.020000,2.307934,0.342520,1.922738,3.887345,3.070855,-47.243325,0.008474
0.020000,2.386519,0.343611,2.001331,3.929623,2.113913,-47.847118,0.019421
0.020000,2.465543,0.345608,2.080381,3.952495,1.143587,-48.516293,0.031250
0.020000,2.544800,0.348583,2.159693,3.965622,0.656341,-24.362310,0.043941
0.020000,2.624274,0.352612,2.239269,3.978802,0.658997,0.132823,0.057497
0.020000,2.703947,0.357770,2.319109,3.992010,0.660388,0.069507,0.071919
0.020000,2.783798,0.364131,2.399213,4.005199,0.659482,-0.045264,0.087208
0.020000,2.863801,0.371771,2.479580,4.018327,0.656405,-0.153850,0.103358
0.020000,2.943924,0.380766,2.560206,4.031333,0.650300,-0.305270,0.120362
0.020000,3.024133,0.391189,2.641090,4.044155,0.641107,-0.459632,0.138208
