dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.469047,0.985203,0.000189,0.018861,0.943060,47.153023,6.281999
0.020000,0.469011,0.985203,0.000225,0.001805,-0.852789,-89.792475,6.282118
0.020000,0.468929,0.985203,0.000306,0.004061,0.112792,48.279039,6.282384
0.020000,0.468785,0.985203,0.000450,0.007217,0.157775,2.249179,6.282858
0.020000,0.471006,0.985203,0.002672,0.111072,5.192753,251.748898,0.000382
0.020000,0.476754,0.985208,0.008419,0.287362,8.814509,181.087779,0.001328
0.020000,0.483938,0.985222,0.015604,0.359229,3.593339,-261.058483,0.002509
0.020000,0.492560,0.985250,0.024226,0.431110,3.594065,0.036302,0.003923
0.020000,0.502620,0.985298,0.034286,0.502998,3.594407,0.017086,0.005572
0.020000,0.514118,0.985372,0.045784,0.574901,3.595126,0.035947,0.007452
0.020000,0.527054,0.985482,0.058720,0.646835,3.596705,0.078942,0.009562
0.020000,0.541429,0.985637,0.073096,0.718797,3.598085,0.069002,0.011902
0.020000,0.557244,0.985845,0.088912,0.790777,3.599005,0.046021,0.014468
0.020000,0.574498,0.986119,0.106168,0.862808,3.601562,0.127824,0.017259
0.020000,0.593191,0.986470,0.124865,0.934847,3.601931,0.018467,0.020273
0.020000,0.613325,0.986911,0.145004,1.006952,3.605267,0.166817,0.023507
0.020000,0.634900,0.987455,0.166586,1.079084,3.606588,0.066008,0.026958
0.020000,0.657916,0.988118,0.189611,1.151267,3.609149,0.128082,0.030622
0.020000,0.682373,0.988915,0.214081,1.223500,3.611646,0.124833,0.034497
0.020000,0.708272,0.989862,0.239997,1.295808,3.615403,0.187884,0.038579
0.020000,0.735612,0.990976,0.267360,1.368155,3.617387,0.099154,0.042863
0.020000,0.764395,0.992275,0.296172,1.440579,3.621177,0.189498,0.047346
0.020000,0.794619,0.993778,0.326433,1.513077,3.624933,0.187812,0.052022
0.020000,0.826285,0.995504,0.358146,1.585649,3.628569,0.181809,0.056887
0.020000,0.859392,0.997473,0.391312,1.658305,3.632817,0.212390,0.061934
0.020000,0.893941,0.999706,0.425933,1.731050,3.637236,0.220984,0.067158
0.020000,0.929931,1.002225,0.462011,1.803897,3.642364,0.256358,0.072554
0.020000,0.967361,1.005050,0.499548,1.876837,3.646976,0.230639,0.078113
0.020000,1.006232,1.008205,0.538546,1.949897,3.653020,0.302183,0.083829
0.020000,1.046540,1.011711,0.579007,2.023056,3.657935,0.245729,0.089695
0.020000,1.088287,1.015592,0.620934,2.096349,3.664672,0.336845,0.095702
0.020000,1.131471,1.019872,0.664329,2.169763,3.670672,0.300026,0.101842
0.020000,1.176090,1.024573,0.709196,2.243313,3.677507,0.341762,0.108107
0.020000,1.222144,1.029720,0.755536,2.317002,3.684476,0.348413,0.114487
0.020000,1.269630,1.035337,0.803353,2.390850,3.692407,0.396550,0.120971
0.020000,1.318546,1.041448,0.852650,2.464842,3.699563,0.357821,0.127551
0.020000,1.368892,1.048075,0.903430,2.538999,3.707884,0.416050,0.134216
0.020000,1.420664,1.055244,0.955696,2.613326,3.716331,0.422353,0.140953
0.020000,1.473862,1.062978,1.009453,2.687825,3.724957,0.431316,0.147753
0.020000,1.528482,1.071299,1.064703,2.762507,3.734102,0.457236,0.154603
0.020000,1.584522,1.080231,1.121450,2.837374,3.743343,0.462041,0.161490
0.020000,1.641980,1.089797,1.179699,2.912436,3.753112,0.488477,0.168403
0.020000,1.700853,1.100017,1.239453,2.987697,3.763026,0.495675,0.175328
0.020000,1.761140,1.110913,1.300716,3.063160,3.773148,0.506128,0.182252
0.020000,1.822837,1.122505,1.363493,3.138831,3.783555,0.520345,0.189161
