dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.468685,0.680403,0.000189,0.018861,0.943060,47.153023,6.281999
0.020000,0.468685,0.680403,0.000943,0.056584,1.886121,47.153023,6.282118
0.020000,0.468685,0.680403,0.002641,0.113167,2.829181,47.153023,6.282384
0.020000,0.468685,0.680403,0.005658,0.188612,3.772242,47.153023,6.282858
0.020000,0.471123,0.680403,0.010185,0.264057,3.772242,0.000000,0.000382
0.020000,0.477158,0.680409,0.016221,0.339502,3.772242,-0.000000,0.001328
0.020000,0.484703,0.680423,0.023765,0.414947,3.772242,0.000000,0.002509
0.020000,0.493756,0.680452,0.032819,0.490391,3.772242,-0.000000,0.003923
0.020000,0.504319,0.680502,0.043381,0.565836,3.772242,0.000000,0.005572
0.020000,0.516389,0.680581,0.055452,0.641281,3.772242,0.000000,0.007452
0.020000,0.529969,0.680696,0.069032,0.716726,3.772242,-0.000000,0.009562
0.020000,0.545057,0.680858,0.084121,0.792171,3.772242,0.000000,0.011902
0.020000,0.561653,0.681077,0.100719,0.867616,3.772242,0.000000,0.014468
0.020000,0.579758,0.681364,0.118826,0.943060,3.772242,-0.000000,0.017259
0.020000,0.599370,0.681733,0.138441,1.018505,3.772242,0.000000,0.020273
0.020000,0.620490,0.682195,0.159566,1.093950,3.772242,-0.000000,0.023507
0.020000,0.643116,0.682766,0.182199,1.169395,3.772242,0.000000,0.026958
0.020000,0.667248,0.683461,0.206342,1.244840,3.772242,0.000000,0.030622
0.020000,0.692886,0.684296,0.231993,1.320285,3.772242,-0.000000,0.034497
0.020000,0.720028,0.685288,0.259153,1.395729,3.772242,0.000000,0.038579
0.020000,0.748673,0.686455,0.287822,1.471174,3.772242,0.000000,0.042863
0.020000,0.778820,0.687816,0.318000,1.546619,3.772242,-0.000000,0.047346
0.020000,0.810468,0.689390,0.349687,1.622064,3.772242,0.000000,0.052022
0.020000,0.843614,0.691197,0.382883,1.697509,3.772242,-0.000000,0.056887
0.020000,0.878258,0.693258,0.417587,1.772954,3.772242,-0.000000,0.061934
0.020000,0.914396,0.695594,0.453801,1.848399,3.772242,0.000000,0.067158
0.020000,0.952026,0.698227,0.491523,1.923843,3.772242,0.000000,0.072554
