dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.468324,0.375603,0.000189,0.018861,0.943060,47.153023,6.281999
0.020000,0.468360,0.375603,0.000225,0.001805,-0.852789,-89.792475,6.282118
0.020000,0.468441,0.375603,0.000306,0.004061,0.112792,48.279039,6.282384
0.020000,0.468585,0.375603,0.000450,0.007217,0.157775,2.249179,6.282858
0.020000,0.471239,0.375603,0.003104,0.132708,6.274561,305.839290,0.000382
0.020000,0.477563,0.375609,0.009428,0.316184,9.173777,144.960816,0.001328
0.020000,0.485467,0.375624,0.017332,0.395217,3.951684,-261.104659,0.002509
0.020000,0.494952,0.375654,0.026817,0.474239,3.951092,-0.029602,0.003923
0.020000,0.506017,0.375707,0.037882,0.553235,3.949779,-0.065647,0.005572
0.020000,0.518661,0.375789,0.050526,0.632206,3.948573,-0.060334,0.007452
0.020000,0.532883,0.375910,0.064749,0.711166,3.947990,-0.029117,0.009562
0.020000,0.548685,0.376080,0.080551,0.790103,3.946854,-0.056822,0.011902
0.020000,0.566063,0.376309,0.097931,0.869000,3.944862,-0.099606,0.014468
0.020000,0.585018,0.376610,0.116889,0.947886,3.944300,-0.028083,0.017259
0.020000,0.605549,0.376995,0.137423,1.026705,3.940950,-0.167496,0.020273
0.020000,0.627654,0.377479,0.159534,1.105514,3.940455,-0.024770,0.023507
0.020000,0.651332,0.378077,0.183219,1.184261,3.937320,-0.156718,0.026958
0.020000,0.676580,0.378804,0.208478,1.262963,3.935104,-0.110832,0.030622
0.020000,0.703398,0.379677,0.235310,1.341610,3.932349,-0.137755,0.034497
0.020000,0.731784,0.380715,0.263715,1.420220,3.930487,-0.093101,0.038579
0.020000,0.761734,0.381935,0.293689,1.498743,3.926168,-0.215934,0.042863
0.020000,0.793246,0.383358,0.325234,1.577209,3.923296,-0.143586,0.047346
0.020000,0.826317,0.385002,0.358346,1.655605,3.919831,-0.173248,0.052022
0.020000,0.860944,0.386890,0.393024,1.733919,3.915658,-0.208668,0.056887
0.020000,0.897123,0.389042,0.429267,1.812150,3.911556,-0.205098,0.061934
0.020000,0.934850,0.391481,0.467073,1.890290,3.907024,-0.226586,0.067158
0.020000,0.974121,0.394229,0.506440,1.968343,3.902629,-0.219769,0.072554
0.020000,1.014931,0.397309,0.547365,2.046283,3.897019,-0.280477,0.078113
0.020000,1.057274,0.400745,0.589848,2.124129,3.892302,-0.235852,0.083829
0.020000,1.101145,0.404561,0.633885,2.201843,3.885674,-0.331396,0.089695
0.020000,1.146538,0.408782,0.679474,2.279449,3.880340,-0.266731,0.095702
0.020000,1.193447,0.413430,0.726612,2.356920,3.873504,-0.341769,0.101842
0.020000,1.241864,0.418532,0.775297,2.434257,3.866873,-0.331587,0.108107
0.020000,1.291782,0.424111,0.825526,2.511451,3.859679,-0.359675,0.114487
0.020000,1.343194,0.430192,0.877297,2.588507,3.852824,-0.342777,0.120971
0.020000,1.396091,0.436800,0.930604,2.665396,3.844428,-0.419761,0.127551
0.020000,1.450464,0.443958,0.985447,2.742128,3.836601,-0.391363,0.134216
0.020000,1.506305,0.451690,1.041821,2.818692,3.828227,-0.418690,0.140953
0.020000,1.563605,0.460020,1.099722,2.895080,3.819379,-0.442392,0.147753
0.020000,1.622353,0.468970,1.159148,2.971289,3.810440,-0.446962,0.154603
0.020000,1.682539,0.478563,1.220094,3.047308,3.800975,-0.473270,0.161490
0.020000,1.744154,0.488820,1.282557,3.123137,3.791471,-0.475173,0.168403
0.020000,1.807186,0.499762,1.346532,3.198768,3.781542,-0.496487,0.175328
0.020000,1.871626,0.511409,1.412016,3.274194,3.771284,-0.512888,0.182252
0.020000,1.937463,0.523778,1.479005,3.349410,3.760808,-0.523780,0.189161
0.020000,2.004684,0.536889,1.547493,3.424415,3.750231,-0.528848,0.196040
0.020000,2.073281,0.550757,1.617477,3.499200,3.739282,-0.547458,0.202877
0.020000,2.143241,0.565396,1.688952,3.573764,3.728184,-0.554901,0.209656
0.020000,2.214553,0.580822,1.761914,3.648102,3.716885,-0.564957,0.216362
0.020000,2.287208,0.597045,1.836358,3.722210,3.705429,-0.572777,0.222980
0.020000,2.361006,0.614033,1.912087,3.786407,3.209805,-24.781205,0.229480
0.020000,2.435563,0.631700,1.988708,3.831058,2.232552,-48.862641,0.235815
0.020000,2.510497,0.649950,2.065832,3.856239,1.259077,-48.673765,0.241945
0.020000,2.585433,0.668679,2.143073,3.862030,0.289536,-48.477061,0.247837
0.020000,2.660184,0.687820,2.220236,3.858150,-0.193999,-24.176723,0.253475
0.020000,2.734754,0.707353,2.297321,3.854271,-0.193952,0.002319,0.258857
0.020000,2.809145,0.727257,2.374329,3.850394,-0.193817,0.006777,0.263986
0.020000,2.883361,0.747513,2.451260,3.846522,-0.193605,0.010590,0.268860
0.020000,2.957405,0.768101,2.528113,3.842656,-0.193329,0.013790,0.273481
0.020000,3.031282,0.789000,2.604889,3.838795,-0.193033,0.014776,0.277848
0.020000,3.104995,0.810190,2.681588,3.834942,-0.192639,0.019705,0.281962
0.020000,3.178550,0.831653,2.758210,3.831098,-0.192230,0.020449,0.285824
0.020000,3.251950,0.853369,2.834755,3.827262,-0.191807,0.021186,0.289435
0.020000,3.325201,0.875319,2.911224,3.823434,-0.191370,0.021817,0.292794
0.020000,3.398307,0.897483,2.987616,3.819616,-0.190930,0.022035,0.295903
0.020000,3.471274,0.919843,3.063932,3.815806,-0.190492,0.021871,0.298761
0.020000,3.544107,0.942380,3.140172,3.812004,-0.190065,0.021357,0.301370
0.020000,3.616811,0.965075,3.216336,3.808211,-0.189655,0.020527,0.303731
0.020000,3.689393,0.987910,3.292425,3.804426,-0.189266,0.019410,0.305842
0.020000,3.761856,1.010866,3.368438,3.800648,-0.188906,0.018036,0.307706
0.020000,3.834208,1.033925,3.444375,3.796876,-0.188577,0.016436,0.309323
0.020000,3.906453,1.057070,3.520238,3.793110,-0.188307,0.013515,0.310692
0.020000,3.978598,1.080281,3.596025,3.789350,-0.188024,0.014148,0.311815
0.020000,4.050649,1.103541,3.671736,3.785594,-0.187810,0.010691,0.312691
0.020000,4.122610,1.126833,3.747373,3.781841,-0.187643,0.008361,0.313321
0.020000,4.194488,1.150138,3.822935,3.778090,-0.187522,0.006039,0.313704
0.020000,4.266289,1.173438,3.898422,3.774341,-0.187449,0.003655,0.313842
0.020000,4.338018,1.196717,3.973834,3.770593,-0.187424,0.001234,0.313734
0.020000,4.409681,1.219955,4.049171,3.766844,-0.187448,-0.001199,0.313380
0.020000,4.481284,1.243137,4.124432,3.763093,-0.187520,-0.003617,0.312780
0.020000,4.552832,1.266243,4.199619,3.759341,-0.187640,-0.005995,0.311933
0.020000,4.624331,1.289257,4.274731,3.755585,-0.187783,-0.007138,0.310840
0.020000,4.695787,1.312162,4.349767,3.751825,-0.188008,-0.011259,0.309500
0.020000,4.767204,1.334938,4.424729,3.748060,-0.188262,-0.012696,0.307914
0.020000,4.838588,1.357570,4.499614,3.744288,-0.188555,-0.014652,0.306079
0.020000,4.909944,1.380039,4.574425,3.740511,-0.188884,-0.016453,0.303997
0.020000,4.981277,1.402328,4.649159,3.736726,-0.189245,-0.018056,0.301667
0.020000,5.052593,1.424420,4.723818,3.732933,-0.189634,-0.019433,0.299088
0.020000,5.123895,1.446296,4.798400,3.729132,-0.190045,-0.020557,0.296259
0.020000,5.195188,1.467940,4.872907,3.725323,-0.190473,-0.021397,0.293180
0.020000,5.266478,1.489333,4.947337,3.721505,-0.190912,-0.021924,0.289851
0.020000,5.337767,1.510458,5.021691,3.717678,-0.191354,-0.022106,0.286271
0.020000,5.409061,1.531297,5.095967,3.713842,-0.191757,-0.020177,0.282439
0.020000,5.480363,1.551832,5.170167,3.709998,-0.192213,-0.022776,0.278355
0.020000,5.551676,1.572046,5.244290,3.706146,-0.192626,-0.020673,0.274018
0.020000,5.623005,1.591921,5.318336,3.702286,-0.193003,-0.018821,0.269428
0.020000,5.694351,1.611439,5.392304,3.698419,-0.193339,-0.016796,0.264585
0.020000,5.765720,1.630582,5.466195,3.694546,-0.193623,-0.014230,0.259487
0.020000,5.837112,1.649332,5.540009,3.690669,-0.193845,-0.011090,0.254134
0.020000,5.908531,1.667671,5.613744,3.686790,-0.193992,-0.007343,0.248528
0.020000,5.979978,1.685581,5.687403,3.682909,-0.194051,-0.002956,0.242666
0.020000,6.051281,1.703003,5.760803,3.669995,-0.645662,-22.580576,0.236566
0.020000,6.122085,1.719838,5.833581,3.638907,-1.554421,-45.437916,0.230260
0.020000,6.192034,1.735998,5.905372,3.589562,-2.467238,-45.640868,0.223789
0.020000,6.260769,1.751405,5.975813,3.522038,-3.376210,-45.448604,0.217198
0.020000,6.328107,1.766031,6.044721,3.445402,-3.831785,-22.778756,0.210517
0.020000,6.394043,1.779889,6.112097,3.368837,-3.828253,0.176600,0.203763
0.020000,6.458575,1.792996,6.177947,3.292498,-3.816969,0.564201,0.196951
0.020000,6.521702,1.805368,6.242275,3.216380,-3.805893,0.553829,0.190094
0.020000,6.583420,1.817025,6.305085,3.140481,-3.794964,0.546426,0.183208
0.020000,6.643728,1.827985,6.366381,3.064795,-3.784297,0.533363,0.176305
0.020000,6.702624,1.838268,6.426167,2.989318,-3.773833,0.523187,0.169401
0.020000,6.760104,1.847897,6.484448,2.914044,-3.763699,0.506694,0.162507
0.020000,6.816166,1.856891,6.541227,2.838969,-3.753775,0.496235,0.155638
0.020000,6.870809,1.865275,6.596509,2.764089,-3.743995,0.488992,0.148806
0.020000,6.924029,1.873069,6.650297,2.689391,-3.734906,0.454419,0.142023
0.020000,6.975824,1.880298,6.702594,2.614878,-3.725612,0.464702,0.135302
0.020000,7.026193,1.886985,6.753405,2.540539,-3.716968,0.432218,0.128652
0.020000,7.075133,1.893154,6.802732,2.466369,-3.708505,0.423178,0.122087
0.020000,7.122643,1.898827,6.850580,2.392361,-3.700392,0.405631,0.115615
0.020000,7.168720,1.904030,6.896950,2.318505,-3.692777,0.380740,0.109248
0.020000,7.213364,1.908786,6.941846,2.244800,-3.685290,0.374363,0.102995
0.020000,7.256572,1.913118,6.985271,2.171238,-3.678077,0.360621,0.096865
0.020000,7.298343,1.917051,7.027227,2.097814,-3.671224,0.342690,0.090868
0.020000,7.338677,1.920608,7.067717,2.024504,-3.665467,0.287827,0.085012
0.020000,7.377572,1.923810,7.106744,1.951335,-3.658462,0.350265,0.079304
0.020000,7.415027,1.926683,7.144309,1.878270,-3.653244,0.260900,0.073752
0.020000,7.451042,1.929246,7.180415,1.805313,-3.647854,0.269512,0.068364
0.020000,7.485617,1.931523,7.215064,1.732456,-3.642865,0.249413,0.063146
0.020000,7.518750,1.933534,7.248258,1.659705,-3.637528,0.266882,0.058105
0.020000,7.550441,1.935301,7.279999,1.587035,-3.633524,0.200205,0.053245
0.020000,7.580691,1.936842,7.310288,1.514455,-3.628981,0.227120,0.048574
0.020000,7.609499,1.938178,7.339127,1.441949,-3.625327,0.182723,0.044095
0.020000,7.636865,1.939327,7.366518,1.369517,-3.621557,0.188471,0.039814
0.020000,7.662790,1.940307,7.392461,1.297157,-3.618011,0.177321,0.035735
0.020000,7.687273,1.941135,7.416958,1.224847,-3.615494,0.125830,0.031862
0.020000,7.710315,1.941827,7.440010,1.152603,-3.612229,0.163246,0.028199
0.020000,7.731915,1.942399,7.461618,1.080413,-3.609468,0.138046,0.024750
0.020000,7.752075,1.942865,7.481784,1.008275,-3.606899,0.128460,0.021517
0.020000,7.770795,1.943240,7.500507,0.936160,-3.605766,0.056679,0.018503
0.020000,7.788075,1.943536,7.517789,0.864116,-3.602208,0.177895,0.015712
0.020000,7.803915,1.943764,7.533631,0.792083,-3.601648,0.027998,0.013145
0.020000,7.818316,1.943937,7.548033,0.720094,-3.599456,0.109603,0.010805
